E(MeV)	Mg-nat
1.49853E-02	1.9662
1.49870E-02	1.96627
1.49896E-02	1.9664
1.50010E-02	1.96703
1.50045E-02	1.9672
1.50071E-02	1.96728
1.50095E-02	1.96733
1.50125E-02	1.96734
1.50170E-02	1.9673
1.50215E-02	1.96722
1.50238E-02	1.96714
1.50260E-02	1.96701
1.50275E-02	1.96688
1.50283E-02	1.96679
1.50297E-02	1.96657
1.50309E-02	1.96636
1.50320E-02	1.9661
1.50331E-02	1.96613
1.50341E-02	1.96613
1.50352E-02	1.96609
1.50368E-02	1.96597
1.50384E-02	1.96579
1.50410E-02	1.96543
1.50437E-02	1.96506
1.50453E-02	1.96488
1.50463E-02	1.96477
1.50474E-02	1.96469
1.50485E-02	1.96464
1.50494E-02	1.96461
1.50503E-02	1.9646
1.50512E-02	1.96461
1.50521E-02	1.96463
1.50534E-02	1.9647
1.50547E-02	1.96479
1.50560E-02	1.96491
1.50578E-02	1.96508
1.50595E-02	1.96528
1.50630E-02	1.96569
1.50658E-02	1.96603
1.50665E-02	1.96602
1.50700E-02	1.96598
1.50717E-02	1.96597
1.50735E-02	1.96597
1.50752E-02	1.96598
1.50766E-02	1.96601
1.50770E-02	1.96602
1.50780E-02	1.96592
1.50791E-02	1.96581
1.50808E-02	1.96567
1.50827E-02	1.96552
1.50846E-02	1.96538
1.50884E-02	1.96513
1.50961E-02	1.96465
1.51008E-02	1.96436
1.51027E-02	1.96425
1.51042E-02	1.96419
1.51051E-02	1.96417
1.51061E-02	1.96415
1.51070E-02	1.96416
1.51077E-02	1.96418
1.51085E-02	1.96422
1.51092E-02	1.96429
1.51099E-02	1.96437
1.51106E-02	1.96448
1.51113E-02	1.96462
1.51120E-02	1.96479
1.51127E-02	1.965
1.51135E-02	1.96524
1.51142E-02	1.96551
1.51149E-02	1.96582
1.51151E-02	1.96594
1.51156E-02	1.96584
1.51163E-02	1.96574
1.51170E-02	1.96566
1.51180E-02	1.96561
1.51189E-02	1.96561
1.51199E-02	1.96564
1.51213E-02	1.96576
1.51232E-02	1.96599
1.51304E-02	1.96711
1.51332E-02	1.96744
1.51351E-02	1.96755
1.51370E-02	1.96753
1.51387E-02	1.96737
1.51401E-02	1.96712
1.51414E-02	1.96674
1.51428E-02	1.9662
1.51435E-02	1.96584
1.51442E-02	1.96589
1.51449E-02	1.96585
1.51452E-02	1.96595
1.51456E-02	1.96603
1.51466E-02	1.96615
1.51476E-02	1.96613
1.51487E-02	1.96595
1.51490E-02	1.96584
1.51495E-02	1.96612
1.51506E-02	1.96653
1.51517E-02	1.96678
1.51527E-02	1.96689
1.51538E-02	1.96687
1.51554E-02	1.96665
1.51575E-02	1.96616
1.51602E-02	1.96548
1.51615E-02	1.96522
1.51625E-02	1.9651
1.51633E-02	1.96506
1.51641E-02	1.96508
1.51649E-02	1.96516
1.51657E-02	1.9653
1.51663E-02	1.96544
1.51669E-02	1.96563
1.51675E-02	1.96584
1.51676E-02	1.96581
1.51682E-02	1.96556
1.51688E-02	1.96534
1.51694E-02	1.96515
1.51701E-02	1.965
1.51707E-02	1.96487
1.51713E-02	1.96478
1.51719E-02	1.96471
1.51729E-02	1.96464
1.51738E-02	1.96461
1.51748E-02	1.96461
1.51760E-02	1.96465
1.51772E-02	1.96472
1.51785E-02	1.96481
1.51797E-02	1.96492
1.51810E-02	1.96505
1.51823E-02	1.96519
1.51835E-02	1.96535
1.51847E-02	1.96554
1.51860E-02	1.96574
1.51871E-02	1.96559
1.51882E-02	1.96545
1.51892E-02	1.96533
1.51909E-02	1.96518
1.51925E-02	1.96505
1.51946E-02	1.9649
1.51979E-02	1.96471
1.52227E-02	1.96338
1.52270E-02	1.96317
1.52291E-02	1.96309
1.52307E-02	1.96307
1.52318E-02	1.96308
1.52329E-02	1.96312
1.52340E-02	1.96319
1.52351E-02	1.9633
1.52361E-02	1.96346
1.52372E-02	1.96367
1.52383E-02	1.96393
1.52394E-02	1.96425
1.52404E-02	1.96463
1.52415E-02	1.96506
1.52426E-02	1.96555
1.52429E-02	1.96569
1.52437E-02	1.96533
1.52448E-02	1.96491
1.52458E-02	1.96457
1.52469E-02	1.96432
1.52477E-02	1.9642
1.52485E-02	1.96416
1.52493E-02	1.96421
1.52501E-02	1.96437
1.52510E-02	1.96465
1.52518E-02	1.96507
1.52526E-02	1.96565
1.52526E-02	1.9657
1.52534E-02	1.96497
1.52542E-02	1.96438
1.52550E-02	1.96397
1.52558E-02	1.96376
1.52566E-02	1.96374
1.52574E-02	1.96392
1.52582E-02	1.9643
1.52591E-02	1.96486
1.52599E-02	1.96561
1.52599E-02	1.96568
1.52607E-02	1.96496
1.52619E-02	1.96414
1.52631E-02	1.96372
1.52643E-02	1.96373
1.52656E-02	1.9642
1.52668E-02	1.96515
1.52673E-02	1.96572
1.52680E-02	1.96508
1.52691E-02	1.9646
1.52702E-02	1.96459
1.52714E-02	1.96507
1.52721E-02	1.9657
1.52725E-02	1.96532
1.52742E-02	1.96453
1.52759E-02	1.96483
1.52770E-02	1.96578
1.52777E-02	1.96511
1.52798E-02	1.96453
1.52846E-02	1.96607
1.52864E-02	1.96546
1.52866E-02	1.96596
1.52880E-02	1.96717
1.52895E-02	1.96654
1.52901E-02	1.96544
1.52905E-02	1.96622
1.52915E-02	1.96711
1.52925E-02	1.96673
1.52932E-02	1.96547
1.52934E-02	1.96571
1.52943E-02	1.96564
1.52944E-02	1.96554
