E(MeV)	C-nat			
3.52000E+00	2.64419			
3.56000E+00	2.63528			
3.60000E+00	2.60808			
3.64000E+00	2.56539			
3.70000E+00	2.47949			
3.76000E+00	2.37619			
3.94000E+00	2.03671			
4.00000E+00	1.93211			
4.04000E+00	1.87142			
4.07000E+00	1.83502			
4.09000E+00	1.81802			
4.11000E+00	1.80982			
4.12500E+00	1.8124			
4.14000E+00	1.82333			
4.15000E+00	1.83723			
4.16000E+00	1.85724			
4.17000E+00	1.88394			
4.18000E+00	1.91754			
4.19000E+00	1.95793			
4.20000E+00	2.00432			
4.23000E+00	2.15586			
4.24000E+00	2.19875			
4.25000E+00	2.23183			
4.26000E+00	2.25273			
4.27000E+00	2.26083			
4.28000E+00	2.25674			
4.29000E+00	2.24216			
4.30000E+00	2.21946			
4.32000E+00	2.15848			
4.37000E+00	1.98542			
4.40000E+00	1.89332			
4.43000E+00	1.81445			
4.46000E+00	1.74541			
4.50000E+00	1.66771			
4.54000E+00	1.60151			
4.58000E+00	1.54381			
4.64000E+00	1.46881			
4.70000E+00	1.4036			
4.81200E+00	1.29641			
4.85000E+00	1.27051			
4.90000E+00	1.25188			
4.91941E+00	1.27547			
4.92000E+00	1.27976			
4.93000E+00	1.35333			
4.93423E+00	1.38391			
4.93436E+00	1.38932			
4.93447E+00	1.4007			
4.93456E+00	1.42063			
4.93469E+00	1.45858			
4.93538E+00	1.71346			
4.93550E+00	1.7535			
4.93565E+00	1.79249			
4.93647E+00	1.96423			
4.93663E+00	1.98993			
4.93679E+00	2.00498			
4.93692E+00	2.00756			
4.93827E+00	1.9884			
4.93845E+00	1.97978			
4.93862E+00	1.95757			
4.93941E+00	1.8034			
4.93962E+00	1.77488			
4.94000E+00	1.74118			
4.94089E+00	1.66325			
4.94308E+00	1.47487			
4.94335E+00	1.4602			
4.94810E+00	1.32682			
4.95000E+00	1.31309			
4.95460E+00	1.28067			
4.95840E+00	1.25952			
4.98000E+00	1.22417			
5.00000E+00	1.18407			
5.00100E+00	1.19466			
5.03000E+00	1.17728			
5.05300E+00	1.17247			
5.10000E+00	1.1511			
5.12000E+00	1.11265			
5.15000E+00	1.13563			
5.18000E+00	1.12467			
5.20000E+00	1.10783			
5.23000E+00	1.09818			
5.28000E+00	1.06491			
5.30000E+00	1.05807			
5.33000E+00	1.0459			
5.33500E+00	1.07873			
5.34000E+00	1.0292			
5.34034E+00	1.03659			
5.35977E+00	1.5722			
5.36000E+00	1.58446			
5.36002E+00	1.58576			
5.36028E+00	1.61322			
5.36183E+00	1.8033			
5.36200E+00	1.81954			
5.36225E+00	1.8304			
5.36800E+00	1.95059			
5.37000E+00	1.98986			
5.37100E+00	1.97093			
5.37800E+00	1.75721			
5.38000E+00	1.68061			
5.39000E+00	1.46318			
5.40000E+00	1.32809			
5.41000E+00	1.2613			
5.42000E+00	1.22783			
5.43000E+00	1.19911			
5.44000E+00	1.19092			
5.46000E+00	1.14579			
5.47474E+00	1.13592			
5.50000E+00	1.11901			
5.55000E+00	1.1014			
5.55300E+00	1.11068			
5.60000E+00	1.0888			
5.64109E+00	1.0809			
5.65000E+00	1.07918			
5.70000E+00	1.06821			
5.79737E+00	1.0785			
5.80000E+00	1.07878			
5.90000E+00	1.0797			
6.00000E+00	1.09749			
6.05000E+00	1.10416			
6.05300E+00	1.10716			
6.05469E+00	1.10858			
6.12500E+00	1.13322			
6.16000E+00	1.16234			
6.17400E+00	1.18935			
6.18000E+00	1.19666			
6.18120E+00	1.19792			
6.19000E+00	1.21194			
6.20000E+00	1.22795			
6.21000E+00	1.27445			
6.22000E+00	1.29339			
6.23000E+00	1.34528			
6.24000E+00	1.42874			
6.25000E+00	1.5043			
6.27284E+00	2.09889			
6.28500E+00	2.41558			
6.29500E+00	2.7079			
6.30297E+00	2.59835			
6.30300E+00	2.59726			
6.31000E+00	2.36002			
6.32000E+00	1.93631			
6.33000E+00	1.70342			
6.34000E+00	1.52143			
6.35000E+00	1.4827			
6.36000E+00	1.59933			
6.37000E+00	1.40684			
6.39000E+00	1.17885			
6.40000E+00	1.15483			
6.41000E+00	1.11771			
6.42000E+00	1.09023			
6.43000E+00	1.10269			
6.44000E+00	1.07971			
6.45000E+00	1.07972			
6.47000E+00	1.06021			
6.49000E+00	1.05749			
6.51000E+00	1.03715			
6.54000E+00	0.971922			
6.55300E+00	0.895221			
6.55650E+00	0.872367			
6.55808E+00	0.861639			
6.56000E+00	0.848603			
6.57000E+00	0.76965			
6.58000E+00	0.73244			
6.59000E+00	0.743247			
6.60000E+00	0.737961			
6.62000E+00	0.78168			
6.64000E+00	0.7643			
6.65575E+00	0.914328			
6.65800E+00	0.934768			
6.66500E+00	0.863839			
6.66512E+00	0.862857			
6.67000E+00	0.849127			
6.68000E+00	0.842799			
6.70000E+00	0.836562			
6.75000E+00	0.815812			
6.77544E+00	0.808204			
6.81000E+00	0.797868			
6.92000E+00	0.769873			
7.00000E+00	0.745061			
7.05300E+00	0.749061			
7.10000E+00	0.748812			
7.14000E+00	0.768073			
7.18000E+00	0.797697			
7.20000E+00	0.844597			
7.22000E+00	0.878249			
7.22250E+00	0.882705			
7.22500E+00	0.887908			
7.25000E+00	0.976755			
7.27000E+00	1.06913			
7.27371E+00	1.09497			
7.28000E+00	1.13876			
7.34000E+00	1.64463			
7.35000E+00	1.75542			
7.36000E+00	1.75582			
7.37000E+00	1.80815			
7.40000E+00	1.78241			
7.40125E+00	1.7807			
7.42000E+00	1.77077			
7.47000E+00	1.75561			
7.52900E+00	1.75387			
7.54200E+00	1.73464			
7.55300E+00	1.72516			
7.56985E+00	1.7163			
7.59400E+00	1.70359			
7.62000E+00	1.70102			
7.64141E+00	1.71632			
7.64937E+00	1.72202			
7.65000E+00	1.72412			
7.66113E+00	1.76166			
7.66700E+00	1.78227			
7.68000E+00	1.80887			
7.69800E+00	1.92701			
7.70000E+00	1.93296			
7.72500E+00	2.22517			
7.74500E+00	2.42461			
7.75000E+00	2.39206			
7.76700E+00	2.29275			
7.77000E+00	2.27294			
7.78900E+00	2.14334			
7.81000E+00	2.05393			
7.81900E+00	2.05874			
7.86000E+00	2.00169			
7.88640E+00	1.96981			
7.88800E+00	1.94958			
7.89700E+00	1.9456			
7.93000E+00	1.91258			
7.93600E+00	1.89157			
8.00000E+00	1.85288			
8.00500E+00	1.86298			
8.01000E+00	1.81762			
8.01400E+00	1.85424			
8.04400E+00	1.84333			
8.05300E+00	1.88236			
8.07900E+00	1.88449			
8.08000E+00	1.87647			
8.10000E+00	1.88706			
8.10002E+00	1.88712			
8.10100E+00	1.90252			
8.10500E+00	1.88788			
8.10900E+00	1.86758			
8.12000E+00	1.84996			
8.13100E+00	1.81399			
8.13800E+00	1.79836			
8.16000E+00	1.71473			
8.16600E+00	1.66995			
8.17009E+00	1.65153			
8.20000E+00	1.517			
8.21000E+00	1.47118			
8.24000E+00	1.39995			
8.28000E+00	1.29972			
8.29580E+00	1.26339			
8.29620E+00	1.2596			
8.32000E+00	1.23409			
8.33000E+00	1.21342			
8.40000E+00	1.13701			
8.42600E+00	1.13551			
8.44800E+00	1.11798			
8.45000E+00	1.10222			
8.47238E+00	1.10577			
8.48000E+00	1.10698			
8.49950E+00	1.08283			
8.50000E+00	1.07611			
8.52000E+00	1.08331			
8.55300E+00	1.06644			
8.60000E+00	1.07876			
8.60375E+00	1.0795			
8.61100E+00	1.07935			
8.66400E+00	1.06609			
8.67775E+00	1.06638			
8.70000E+00	1.06811			
8.70800E+00	1.06286			
8.72474E+00	1.06232			
8.75000E+00	1.0615			
8.76800E+00	1.06776			
8.80000E+00	1.07195			
8.83300E+00	1.07637			
8.85000E+00	1.07726			
8.88500E+00	1.09753			
8.92000E+00	1.08644			
8.94000E+00	1.10397			
8.98000E+00	1.13139			
9.00000E+00	1.1328			
9.00500E+00	1.15275			
9.02000E+00	1.15464			
9.03000E+00	1.16729			
9.03094E+00	1.16822			
9.04500E+00	1.17491			
9.05300E+00	1.19752			
9.06700E+00	1.19699			
9.08000E+00	1.22352			
9.14900E+00	1.28881			
9.16300E+00	1.3073			
9.18000E+00	1.30213			
9.20650E+00	1.32155			
9.21900E+00	1.32961			
9.25000E+00	1.32597			
9.25400E+00	1.33918			
9.30000E+00	1.31979			
9.36000E+00	1.29298			
9.40000E+00	1.27011			
9.45000E+00	1.253			
9.50000E+00	1.23529			
9.52200E+00	1.23498			
9.55300E+00	1.22365			
9.55888E+00	1.22899			
9.56000E+00	1.22935			
9.59000E+00	1.22159			
9.60000E+00	1.21931			
9.63000E+00	1.22293			
9.64000E+00	1.23143			
9.67800E+00	1.225			
9.68000E+00	1.22409			
9.69200E+00	1.22603			
9.70000E+00	1.23612			
9.72600E+00	1.23094			
9.74000E+00	1.24591			
9.75000E+00	1.22667			
9.80000E+00	1.22937			
9.80808E+00	1.22481			
9.82100E+00	1.21752			
9.83000E+00	1.21875			
9.86800E+00	1.19827			
9.90000E+00	1.18222			
9.91700E+00	1.18295			
9.92100E+00	1.17322			
1.00000E+01	1.17299			
1.00500E+01	1.14744			
1.00530E+01	1.13888			
1.01700E+01	1.11829			
1.02500E+01	1.11221			
1.02842E+01	1.11181			
1.03000E+01	1.11162			
1.03720E+01	1.13829			
1.03750E+01	1.13855			
1.04000E+01	1.14571			
1.04480E+01	1.16153			
1.04780E+01	1.17929			
1.05000E+01	1.19565			
1.05060E+01	1.19655			
1.05098E+01	1.19851			
1.05360E+01	1.21205			
1.05500E+01	1.20991			
1.05530E+01	1.22214			
1.06200E+01	1.25461			
1.06900E+01	1.29848			
1.07000E+01	1.29885			
1.07500E+01	1.33139			
1.08000E+01	1.35521			
1.08300E+01	1.37426			
1.09000E+01	1.41109			
1.09400E+01	1.42013			
1.10000E+01	1.40836			
1.10040E+01	1.40065			
1.10530E+01	1.40117			
1.10960E+01	1.38902			
1.11000E+01	1.39339			
1.11006E+01	1.39397			
1.11700E+01	1.40116			
1.12350E+01	1.38952			
1.12500E+01	1.38787			
1.13000E+01	1.3832			
1.13152E+01	1.38171			
