E(MeV)	Xe-124
3.833291E-07	4.56586825
3.948269E-07	4.56479125
4.066622E-07	4.5637273
4.188598E-07	4.56267484
4.314156E-07	4.56163486
4.443556E-07	4.56060584
4.576756E-07	4.5595888
4.714033E-07	4.55858259
4.855341E-07	4.55758834
5.000974E-07	4.55660366
5.150884E-07	4.55562905
5.305381E-07	4.55466353
5.464416E-07	4.55370824
5.628318E-07	4.55276175
5.797032E-07	4.55182495
5.970911E-07	4.55089644
6.149895E-07	4.54997705
6.334357E-07	4.5490654
6.524236E-07	4.54816233
6.551889E-07	4.54803573
6.719927E-07	4.54732941
6.921364E-07	4.54651703
7.128966E-07	4.54571362
7.342664E-07	4.54491994
7.562903E-07	4.54413484
7.789609E-07	4.54335905
8.023253E-07	4.54259143
8.263759E-07	4.5418327
8.511625E-07	4.54108175
8.766770E-07	4.54033927
9.029724E-07	4.53960417
9.300399E-07	4.53887715
9.579359E-07	4.53815752
9.866511E-07	4.53744626
1.011956E-06	4.53684134
1.040510E-06	4.53618203
1.069869E-06	4.5355286
1.100057E-06	4.53488091
1.131097E-06	4.53423881
1.163013E-06	4.53360213
1.195829E-06	4.53297068
1.229571E-06	4.53234432
1.264265E-06	4.53172286
1.299938E-06	4.53110614
1.336618E-06	4.530494
1.374333E-06	4.52988626
1.413111E-06	4.52928275
1.452984E-06	4.5286833
1.493983E-06	4.52808775
1.579482E-06	4.52690793
1.646962E-06	4.5260317
1.716992E-06	4.52516435
1.790347E-06	4.52429936
1.866475E-06	4.52344423
1.946216E-06	4.52259037
2.028971E-06	4.52174497
2.115654E-06	4.52089962
2.205614E-06	4.52006155
2.299844E-06	4.51922223
2.397636E-06	4.51838884
2.500070E-06	4.51755299
2.606375E-06	4.51672506
2.717727E-06	4.5158892
2.833287E-06	4.51505657
2.954333E-06	4.51421886
3.079955E-06	4.51338299
3.211539E-06	4.51254041
3.348097E-06	4.51169811
3.539706E-06	4.51056499
3.742280E-06	4.50942243
3.956448E-06	4.50826756
4.125479E-06	4.50739414
4.361576E-06	4.5062127
4.611186E-06	4.50501417
4.875080E-06	4.50379609
5.154077E-06	4.50255591
5.449040E-06	4.50129067
5.841030E-06	4.49967062
6.262430E-06	4.4980001
6.620823E-06	4.49662726
7.197236E-06	4.49449788
7.714985E-06	4.49265196
8.271582E-06	4.49072889
8.866617E-06	4.48873122
9.638549E-06	4.48621214
1.047769E-05	4.48355808
1.123360E-05	4.48122594
1.221160E-05	4.47827456
1.327475E-05	4.47514027
1.443045E-05	4.47180394
1.546854E-05	4.46885681
1.658452E-05	4.46573436
1.753363E-05	4.46311345
1.777756E-05	4.46265859
1.906012E-05	4.46030858
2.043125E-05	4.45783987
2.190526E-05	4.45522699
2.348107E-05	4.45247212
2.517511E-05	4.44954929
2.661586E-05	4.44709297
2.853053E-05	4.44385756
3.058886E-05	4.44041619
3.278934E-05	4.43677227
3.466585E-05	4.43368781
3.664975E-05	4.43044824
3.874718E-05	4.42704404
4.096465E-05	4.42346508
4.330902E-05	4.41970057
4.701268E-05	4.41378715
5.110563E-05	4.40729369
5.328901E-05	4.40384466
5.633869E-05	4.39904141
5.712248E-05	4.39781078
5.900614E-05	4.39619075
6.208200E-05	4.39355805
6.532540E-05	4.39079481
6.906392E-05	4.38762396
7.200058E-05	4.38514298
7.612112E-05	4.38167436
8.047747E-05	4.37801991
8.487012E-05	4.37434731
8.891035E-05	4.37097894
9.295058E-05	4.36761841
9.699081E-05	4.36426478
1.011345E-04	4.36083162
1.050713E-04	4.35757522
1.095602E-04	4.35386779
1.131517E-04	4.35090519
1.212322E-04	4.34425086
1.264116E-04	4.34216235
1.317867E-04	4.33999959
1.373931E-04	4.3377482
1.432629E-04	4.33539597
1.493546E-04	4.33295874
1.555741E-04	4.33047468
1.616345E-04	4.32805733
1.676948E-04	4.32564325
1.737552E-04	4.32323162
1.798155E-04	4.32082264
1.858759E-04	4.31841566
1.919362E-04	4.31601086
1.979966E-04	4.31360775
2.040569E-04	4.31120651
2.101172E-04	4.30880674
2.161776E-04	4.30640864
2.222379E-04	4.3040119
2.282983E-04	4.30161676
2.343586E-04	4.29922299
2.404190E-04	4.2968309
2.464793E-04	4.29444035
2.545598E-04	4.29125598
2.586000E-04	4.28966527
2.658968E-04	4.28679552
2.706600E-04	4.28492473
2.746800E-04	4.28334794
2.776950E-04	4.28216691
2.807100E-04	4.28098738
2.837250E-04	4.27980985
2.877450E-04	4.27824343
2.897550E-04	4.27746218
2.927700E-04	4.27629327
2.947800E-04	4.27551653
2.970413E-04	4.27464553
2.984483E-04	4.27410546
3.004080E-04	4.2733561
3.023165E-04	4.27262997
3.037235E-04	4.27209756
3.052652E-04	4.27151751
3.063918E-04	4.27109614
3.074591E-04	4.27069935
3.088822E-04	4.27017441
3.101228E-04	4.26972114
3.113635E-04	4.26927288
3.125188E-04	4.26886078
3.135032E-04	4.26851418
3.144875E-04	4.2681727
3.148157E-04	4.26806092
3.154790E-04	4.26696704
3.161423E-04	4.26587709
3.168056E-04	4.26479071
3.174689E-04	4.26370837
3.182287E-04	4.26247442
3.189884E-04	4.26124701
3.195583E-04	4.26033179
3.203181E-04	4.25911944
3.208587E-04	4.25826284
3.213849E-04	4.25743515
3.219110E-04	4.2566139
3.224371E-04	4.25579994
3.229632E-04	4.25499411
3.234729E-04	4.25422226
3.239496E-04	4.25350928
3.244264E-04	4.25280637
3.249031E-04	4.25211457
3.253799E-04	4.25143521
3.258566E-04	4.25077084
3.263612E-04	4.25008636
3.266977E-04	4.24964203
3.270341E-04	4.24920866
3.272023E-04	4.24899815
3.273705E-04	4.24809882
3.277069E-04	4.24631396
3.280434E-04	4.24454461
3.283798E-04	4.24279271
3.286787E-04	4.24125285
3.290706E-04	4.23926024
3.293319E-04	4.2379513
3.295932E-04	4.23665992
3.298545E-04	4.23538798
3.301158E-04	4.23413781
3.303771E-04	4.23291207
3.306384E-04	4.23171386
3.309399E-04	4.23037056
3.312414E-04	4.22907593
3.314424E-04	4.22824377
3.316434E-04	4.22743954
3.318444E-04	4.22666644
3.320454E-04	4.22592817
3.322464E-04	4.225229
3.324072E-04	4.22470873
3.324876E-04	4.22368673
3.327288E-04	4.22069428
3.328896E-04	4.21874611
3.330504E-04	4.21684025
3.332112E-04	4.21498154
3.333720E-04	4.21317555
3.335328E-04	4.21142863
