E(MeV)	pendfb7/Ce142:1	
1.14526E-03	2728.33	
1.14624E-03	2755.27	
1.14695E-03	2766.22	
1.14779E-03	2779.36	
1.14864E-03	2783.41	
1.14882E-03	2784.31	
1.15000E-03	2777.75	
1.15013E-03	2777.03	
1.15143E-03	2754.4	
1.15160E-03	2749.45	
1.15250E-03	2723.03	
1.15280E-03	2714.22	
1.15364E-03	2679.5	
1.15420E-03	2656.18	
1.15501E-03	2613.93	
1.15545E-03	2591.18	
1.15633E-03	2536.17	
1.15733E-03	2473.29	
1.15820E-03	2409.15	
1.15920E-03	2335.85	
1.16008E-03	2264.72	
1.16171E-03	2132.63	
1.16196E-03	2111.43	
1.16446E-03	1899.4	
1.16696E-03	1687.37	
1.16902E-03	1521.68	
1.16946E-03	1488.72	
1.17096E-03	1375.69	
1.17196E-03	1305.87	
1.17284E-03	1244.77	
1.17409E-03	1163.5	
1.17446E-03	1140.57	
1.17534E-03	1087.09	
1.17634E-03	1029.85	
1.17659E-03	1015.54	
1.17784E-03	948.744	
1.17822E-03	930.089	
1.17909E-03	886.564	
1.18009E-03	840.377	
1.18034E-03	828.831	
1.18159E-03	775.351	
1.18197E-03	760.521	
1.18284E-03	725.919	
1.18384E-03	689.442	
1.18409E-03	680.323	
1.18534E-03	638.352	
1.18572E-03	626.786	
1.18660E-03	599.799	
1.18760E-03	571.529	
1.18785E-03	564.462	
1.18910E-03	532.149	
1.18947E-03	523.307	
1.19035E-03	502.678	
1.19135E-03	481.239	
1.19160E-03	475.879	
1.19285E-03	451.592	
1.19322E-03	445.016	
1.19410E-03	429.671	
1.19510E-03	413.916	
1.19535E-03	409.978	
1.19660E-03	392.39	
1.19698E-03	387.711	
1.19785E-03	376.794	
1.19910E-03	363.085	
1.19948E-03	359.531	
1.20045E-03	350.362	
1.20188E-03	338.937	
1.20191E-03	338.725	
1.20332E-03	329.649	
1.20428E-03	324.813	
1.20475E-03	322.477	
1.20601E-03	317.769	
1.20690E-03	315.581	
1.20762E-03	313.831	
1.20905E-03	312.386	
1.20923E-03	312.205	
1.20976E-03	312.164	
1.21119E-03	313.269	
1.21262E-03	316.111	
1.21361E-03	319.218	
1.21405E-03	320.631	
1.21441E-03	322.204	
1.21548E-03	326.922	
1.21691E-03	334.947	
1.21709E-03	336.162	
1.21835E-03	344.667	
1.21978E-03	356.132	
1.22121E-03	369.369	
1.22264E-03	384.415	
1.22407E-03	401.313	
1.22550E-03	420.113	
1.22693E-03	440.874	
1.22836E-03	463.658	
1.22979E-03	488.539	
1.23122E-03	515.59	
1.23265E-03	544.893	
1.23408E-03	576.531	
1.23551E-03	610.593	
1.23694E-03	647.165	
1.23909E-03	706.925	
1.23980E-03	728.883	
1.24123E-03	772.8	
