E(MeV)	"O-16(N,TOT)"
1.64844E+00	5.15984
1.64856E+00	5.37399
1.64887E+00	5.97331
1.64900E+00	6.22317
1.64950E+00	7.33492
1.64994E+00	8.24983
1.65000E+00	8.35948
1.65013E+00	8.52255
1.65044E+00	8.84807
1.65053E+00	8.88449
1.65062E+00	8.85579
1.65094E+00	8.67158
1.65103E+00	8.56755
1.65119E+00	8.29707
1.65150E+00	7.70326
1.65200E+00	6.59161
1.65225E+00	6.11782
1.65294E+00	4.85472
1.65303E+00	4.71169
1.65313E+00	4.59885
1.65394E+00	3.72084
1.65400E+00	3.66305
1.65412E+00	3.57343
1.65494E+00	3.07713
1.65506E+00	3.01616
1.65575E+00	2.76457
1.65600E+00	2.6777
1.65675E+00	2.5025
1.65700E+00	2.44763
1.65800E+00	2.29514
1.65900E+00	2.18945
1.66000E+00	2.11374
1.66500E+00	1.92987
1.67000E+00	1.86139
1.67500E+00	1.82658
1.68350E+00	1.79305
1.68500E+00	1.78951
1.68600E+00	1.80798
1.68700E+00	1.85522
1.68800E+00	1.91377
1.68900E+00	1.9636
1.69000E+00	1.98307
1.69100E+00	1.95805
1.69400E+00	1.78907
1.69500E+00	1.76621
1.73213E+00	1.70403
1.76000E+00	1.66069
1.78000E+00	1.62479
1.80000E+00	1.57935
1.82000E+00	1.57036
1.82200E+00	1.60633
1.82400E+00	1.6847
1.82550E+00	1.81065
1.82600E+00	1.85639
1.82650E+00	1.94968
1.82794E+00	2.22942
1.82800E+00	2.24657
1.82812E+00	2.29335
1.82987E+00	3.04329
1.83000E+00	3.10325
1.83025E+00	3.25898
1.83187E+00	4.30645
1.83200E+00	4.37813
1.83250E+00	4.5618
1.83294E+00	4.71093
1.83306E+00	4.72779
1.83375E+00	4.67675
1.83400E+00	4.64824
1.83450E+00	4.4766
1.83500E+00	4.29434
1.83600E+00	3.86997
1.83700E+00	3.48795
1.83800E+00	3.17846
1.83900E+00	2.93634
1.84000E+00	2.74841
1.84200E+00	2.48423
1.84400E+00	2.31364
1.84600E+00	2.19812
1.84800E+00	2.11664
1.85000E+00	2.05713
1.85200E+00	2.01287
1.85229E+00	2.00802
1.85400E+00	1.97942
1.85600E+00	1.9541
1.85900E+00	1.9284
1.86000E+00	1.92172
1.86500E+00	1.90675
1.86536E+00	1.90744
1.87000E+00	1.91637
1.87500E+00	1.95353
1.88000E+00	2.02876
1.88500E+00	2.16215
1.89000E+00	2.38387
1.89500E+00	2.71305
1.90000E+00	3.06463
1.90500E+00	3.18029
1.91000E+00	2.95871
