MeV	K-0
3.45493E-03	10.9301
3.45581E-03	10.7426
3.45872E-03	10.1211
3.45875E-03	10.1159
3.46216E-03	9.44552
3.46252E-03	9.377
3.46558E-03	8.82231
3.46653E-03	8.65041
3.46900E-03	8.23939
3.47055E-03	7.9805
3.47241E-03	7.69474
3.47457E-03	7.36389
3.47583E-03	7.18579
3.47859E-03	6.79498
3.47901E-03	6.73986
3.48208E-03	6.3391
3.48256E-03	6.27726
3.48515E-03	5.96484
3.48652E-03	5.80033
3.48822E-03	5.6111
3.49049E-03	5.35943
3.49129E-03	5.27678
3.49432E-03	4.96591
3.49446E-03	4.95219
3.49629E-03	4.78137
3.49737E-03	4.68092
3.49825E-03	4.6109
3.49883E-03	4.56588
3.49973E-03	4.51039
3.50028E-03	4.47659
3.50120E-03	4.43775
3.50174E-03	4.41536
3.50317E-03	4.3752
3.50320E-03	4.37439
3.50906E-03	4.26242
3.51698E-03	4.11232
3.51776E-03	4.09763
3.52490E-03	3.97367
3.53258E-03	3.84114
3.53358E-03	3.82388
3.54025E-03	3.71661
3.54863E-03	3.58257
3.54940E-03	3.57032
3.55701E-03	3.45745
3.56531E-03	3.33499
3.56707E-03	3.30915
3.56739E-03	3.30445
3.57361E-03	3.22031
3.58211E-03	3.10582
3.58774E-03	3.03026
3.59061E-03	2.99447
3.59760E-03	2.90757
3.59796E-03	2.90312
3.60155E-03	2.87242
3.60156E-03	2.87239
3.60948E-03	2.84205
3.61740E-03	2.81197
3.62686E-03	2.77638
3.63632E-03	2.74108
3.64535E-03	2.70763
3.64966E-03	2.69177
3.65438E-03	2.6758
3.66219E-03	2.64956
3.67000E-03	2.62346
3.67866E-03	2.59469
3.68731E-03	2.56607
3.69674E-03	2.53508
3.70000E-03	2.52444
3.70146E-03	2.52075
3.70617E-03	2.5089
3.71706E-03	2.48167
3.72795E-03	2.45456
3.73805E-03	2.42955
3.74815E-03	2.40464
3.75815E-03	2.38004
3.76816E-03	2.35554
3.77475E-03	2.33944
3.77895E-03	2.33003
3.78974E-03	2.3059
3.79822E-03	2.28699
3.80105E-03	2.28071
3.81236E-03	2.25565
3.82462E-03	2.22856
3.82476E-03	2.22827
3.83689E-03	2.20367
3.84906E-03	2.17906
3.86122E-03	2.15451
3.87241E-03	2.13198
3.87762E-03	2.1215
3.88359E-03	2.10949
3.89692E-03	2.08273
3.90000E-03	2.07659
3.90234E-03	2.07305
3.98738E-03	1.94492
4.00000E-03	1.92591
4.09878E-03	1.81748
4.20000E-03	1.71557
4.23603E-03	1.68826
4.37456E-03	1.58327
4.40000E-03	1.56534
4.59447E-03	1.4679
4.60000E-03	1.46513
4.80000E-03	1.38503
5.00000E-03	1.32544
5.09927E-03	1.3555
5.19391E-03	1.38416
5.19725E-03	1.38519
5.19816E-03	1.38548
5.19948E-03	1.38829
5.20156E-03	1.39275
5.20214E-03	1.39399
5.20312E-03	1.39775
5.20625E-03	1.40965
5.21249E-03	1.43349
5.21874E-03	1.45737
5.22499E-03	1.48127
5.23205E-03	1.50835
5.23416E-03	1.51645
5.23911E-03	1.53693
5.24382E-03	1.55643
5.25017E-03	1.58273
5.25651E-03	1.60908
5.25758E-03	1.61355
5.26285E-03	1.63701
5.26919E-03	1.66532
5.27647E-03	1.69788
5.28375E-03	1.73053
5.29113E-03	1.76369
5.29160E-03	1.76584
5.29617E-03	1.78948
5.29739E-03	1.79584
5.29806E-03	1.80184
5.29995E-03	1.81882
5.30028E-03	1.82181
5.30184E-03	1.84368
5.30317E-03	1.86242
5.30373E-03	1.8721
5.30625E-03	1.91585
5.30895E-03	1.96287
5.30981E-03	1.97918
5.31294E-03	2.03863
5.31607E-03	2.0982
5.31827E-03	2.14005
5.31920E-03	2.15942
5.32234E-03	2.22434
5.32547E-03	2.28942
5.32759E-03	2.3336
5.32893E-03	2.36373
5.33239E-03	2.44172
5.33585E-03	2.51996
5.33639E-03	2.53224
5.33931E-03	2.60374
5.34277E-03	2.68879
5.34416E-03	2.72314
5.34560E-03	2.76552
5.34675E-03	2.79982
5.34727E-03	2.82018
5.34805E-03	2.85088
5.34852E-03	2.87564
5.34934E-03	2.91822
5.34978E-03	2.94802
5.35064E-03	3.0067
5.35103E-03	3.04063
5.35193E-03	3.11757
5.35229E-03	3.15352
5.35323E-03	3.24822
5.35354E-03	3.28388
5.35452E-03	3.39422
5.35480E-03	3.42859
5.35647E-03	3.63688
5.35685E-03	3.68446
5.35797E-03	3.83681
5.35919E-03	4.00299
5.35995E-03	4.11692
5.36152E-03	4.34933
5.36194E-03	4.4169
5.36385E-03	4.72525
5.36392E-03	4.73776
5.36591E-03	5.08487
5.36618E-03	5.13338
5.36789E-03	5.4584
5.36862E-03	5.59826
5.36995E-03	5.87427
5.37112E-03	6.1171
5.37201E-03	6.32011
5.37361E-03	6.68352
5.37407E-03	6.79785
5.37610E-03	7.30153
5.37613E-03	7.30943
5.37819E-03	7.86719
5.37860E-03	7.97669
5.38032E-03	8.48684
5.38108E-03	8.71014
5.38249E-03	9.16469
5.38353E-03	9.50153
5.38465E-03	9.89553
5.38599E-03	10.3645
5.38682E-03	10.6834
5.38844E-03	11.3056
5.38898E-03	11.5326
5.39089E-03	12.3316
5.39102E-03	12.3911
5.39282E-03	13.2056
5.39335E-03	13.4453
5.39581E-03	14.6048
5.39584E-03	14.6191
5.39701E-03	15.1191
5.39709E-03	15.1537
5.39791E-03	15.447
5.39792E-03	15.4524
5.39875E-03	15.6804
5.39880E-03	15.6891
5.39940E-03	15.7897
5.39958E-03	15.8199
5.40000E-03	15.8411
5.40040E-03	15.8603
5.40070E-03	15.8383
5.40133E-03	15.7894
5.40140E-03	15.7776
5.40210E-03	15.6463
5.40213E-03	15.6391
5.40314E-03	15.3546
5.40320E-03	15.3387
5.40419E-03	14.9897
5.40427E-03	14.9633
5.40768E-03	13.6234
5.40853E-03	13.2916
5.40978E-03	12.8358
5.41173E-03	12.1243
5.41184E-03	12.0887
5.41382E-03	11.4286
5.41493E-03	11.0618
5.41581E-03	10.7945
5.41780E-03	10.1926
5.41809E-03	10.104
5.41978E-03	9.634
5.42117E-03	9.25043
5.42177E-03	9.09775
5.42380E-03	8.58329
5.42425E-03	8.47007
5.42583E-03	8.10302
5.42732E-03	7.75664
5.42786E-03	7.64321
5.42989E-03	7.21253
5.43040E-03	7.10342
5.43192E-03	6.80916
5.43348E-03	6.50591
5.43385E-03	6.43967
5.43574E-03	6.10417
5.43658E-03	5.95601
5.43763E-03	5.78464
5.43952E-03	5.47787
5.43967E-03	5.45279
5.44141E-03	5.19508
5.44277E-03	4.99298
5.44350E-03	4.89271
5.44484E-03	4.71035
5.44517E-03	4.66826
5.44684E-03	4.46
5.44690E-03	4.45278
5.44810E-03	4.32357
5.44845E-03	4.28535
5.44935E-03	4.20607
5.45000E-03	4.14885
5.45060E-03	4.10791
5.45133E-03	4.05849
5.45185E-03	4.0314
5.45266E-03	3.98969
5.45353E-03	3.9536
5.45355E-03	3.95251
5.45603E-03	3.87067
5.45710E-03	3.83541
5.45918E-03	3.7755
5.46234E-03	3.68504
5.46549E-03	3.59487
5.46609E-03	3.57761
5.46776E-03	3.5302
5.46864E-03	3.50685
5.47180E-03	3.42394
5.47505E-03	3.33849
5.47837E-03	3.25187
5.47841E-03	3.25068
5.48168E-03	3.17221
5.48499E-03	3.09283
5.48830E-03	3.01362
5.48921E-03	2.992
5.49051E-03	2.96332
5.49354E-03	2.89672
5.49581E-03	2.84686
5.49730E-03	2.81417
5.49732E-03	2.81377
5.49884E-03	2.78721
5.50000E-03	2.7669
5.50035E-03	2.76251
5.50187E-03	2.74378
5.50310E-03	2.72855
5.50414E-03	2.71953
5.50868E-03	2.68011
5.51474E-03	2.6276
5.52277E-03	2.55814
5.52483E-03	2.54029
5.53079E-03	2.49323
5.53877E-03	2.43034
5.54664E-03	2.36831
5.55056E-03	2.33749
5.55451E-03	2.30863
5.56246E-03	2.25074
5.56996E-03	2.19613
5.57044E-03	2.1929
5.57842E-03	2.13924
5.58651E-03	2.08489
5.59191E-03	2.04868
5.59595E-03	2.02153
5.59686E-03	2.01543
5.59865E-03	2.007
5.60062E-03	1.99775
5.60247E-03	1.98907
5.60249E-03	1.98898
5.60494E-03	1.98249
5.64934E-03	1.86505
5.68664E-03	1.77338
5.74304E-03	1.6443
5.80000E-03	1.52557
5.89915E-03	1.42094
5.98178E-03	1.34251
6.00000E-03	1.32521
6.48074E-03	1.25227
6.64238E-03	1.23073
7.13414E-03	1.16517
7.19752E-03	1.15673
7.48331E-03	1.11713
7.75524E-03	1.08366
8.00000E-03	1.05353
8.20000E-03	0.973704
8.37500E-03	0.894932
8.39688E-03	0.885089
8.40000E-03	0.883696
8.40175E-03	0.8828
8.41049E-03	0.878367
8.42798E-03	0.869516
8.45597E-03	0.855373
8.48219E-03	0.842141
8.49941E-03	0.833468
8.51149E-03	0.827805
8.54300E-03	0.813068
8.57831E-03	0.796594
8.57859E-03	0.796464
8.59643E-03	0.78816
8.60000E-03	0.78651
8.60872E-03	0.783218
8.62615E-03	0.776678
8.64448E-03	0.769844
8.65408E-03	0.766274
8.67329E-03	0.759174
8.69410E-03	0.751541
8.71491E-03	0.743968
8.73135E-03	0.738036
8.74779E-03	0.732149
8.76829E-03	0.724877
8.78109E-03	0.72039
8.79318E-03	0.716977
8.79606E-03	0.716187
8.79758E-03	0.717203
8.80000E-03	0.718857
8.80198E-03	0.722826
8.80327E-03	0.725428
8.81078E-03	0.748039
8.81308E-03	0.754979
8.82398E-03	0.791001
8.83488E-03	0.827124
8.83550E-03	0.829372
8.84703E-03	0.870924
8.85409E-03	0.896455
8.85471E-03	0.898863
8.86741E-03	0.948361
8.87331E-03	0.971397
8.88012E-03	1.00007
8.89129E-03	1.04729
8.89260E-03	1.05318
