MeV	Eu-nat	
9.36798E-07	302.785	
9.41710E-07	316.651	
9.43969E-07	323.921	
9.46693E-07	332.691	
9.51675E-07	351.016	
9.56064E-07	369.476	
9.56680E-07	372.071	
9.61733E-07	396.427	
9.65101E-07	414.619	
9.67990E-07	431.714	
9.68470E-07	434.554	
9.71885E-07	456.73	
9.75301E-07	481.044	
9.76652E-07	491.579	
9.78717E-07	507.694	
9.82133E-07	536.86	
9.83517E-07	549.776	
9.85234E-07	565.797	
9.85597E-07	569.191	
9.89061E-07	604.47	
9.90733E-07	622.979	
9.92525E-07	642.827	
9.95989E-07	684.348	
9.96270E-07	687.979	
9.99502E-07	729.717	
9.99778E-07	733.533	
1.00301E-06	778.295	
1.00329E-06	782.325	
1.00679E-06	834.527	
1.00828E-06	856.725	
1.01033E-06	889.233	
1.01360E-06	941.444	
1.01388E-06	946.082	
1.01744E-06	1005.05	
1.02100E-06	1064.05	
1.02429E-06	1118.7	
1.02446E-06	1121.4	
1.02783E-06	1174.66	
1.03027E-06	1213.28	
1.03289E-06	1250.4	
1.03476E-06	1277.05	
1.03839E-06	1321.89	
1.04158E-06	1355.21	
1.04478E-06	1381.79	
1.04797E-06	1400.92	
1.05117E-06	1412.06	
1.05359E-06	1414.96	
1.05577E-06	1412.6	
1.05670E-06	1411.58	
1.05990E-06	1399.88	
1.06158E-06	1389.51	
1.06309E-06	1380.17	
1.06565E-06	1358.42	
1.06629E-06	1352.97	
1.06948E-06	1319.01	
1.06991E-06	1313.59	
1.07374E-06	1264.71	
1.07417E-06	1258.4	
1.07843E-06	1195.28	
1.07885E-06	1188.96	
1.08246E-06	1129.63	
1.08567E-06	1076.88	
1.08818E-06	1034.42	
1.09390E-06	937.642	
1.09696E-06	885.733	
1.09966E-06	842.8	
1.10271E-06	794.133	
1.10654E-06	737.061	
1.10737E-06	725.565	
1.11038E-06	683.596	
1.11421E-06	633.948	
1.11804E-06	588.166	
1.11926E-06	574.753	
1.12198E-06	545.009	
1.12593E-06	505.698	
1.12987E-06	470.002	
1.13381E-06	437.654	
1.13678E-06	415.633	
1.13781E-06	407.986	
1.14181E-06	381.191	
1.14581E-06	356.974	
1.14881E-06	340.547	
1.14981E-06	335.076	
1.15379E-06	315.33	
1.15778E-06	297.418	
1.16013E-06	287.788	
1.16176E-06	281.146	
1.16574E-06	266.342	
1.16986E-06	252.425	
1.17157E-06	247.15	
1.17397E-06	239.749	
1.17808E-06	228.176	
1.18219E-06	217.583	
1.18392E-06	213.574	
1.18816E-06	203.744	
1.19413E-06	191.488	
1.19812E-06	184.224	
1.20023E-06	180.376	
1.20657E-06	170.107	
1.21291E-06	160.955	
1.21502E-06	158.225	
1.21930E-06	152.702	
1.22573E-06	145.269	
1.23216E-06	138.575	
1.23230E-06	138.441	
1.23868E-06	132.461	
1.24520E-06	126.926	
1.24969E-06	123.518	
1.25395E-06	120.294	
1.26277E-06	114.409	
1.27164E-06	109.159	
1.27620E-06	106.764	
1.28058E-06	104.467	
1.28958E-06	100.261	
1.29865E-06	96.4748	
1.30333E-06	94.7217	
1.30778E-06	93.0654	
1.32157E-06	88.5759	
1.33555E-06	84.7011	
1.34037E-06	83.5652	
1.34966E-06	81.3848	
1.36391E-06	78.5487	
1.37829E-06	76.1273	
1.37845E-06	76.1046	
1.39288E-06	74.0821	
1.40760E-06	72.3829	
1.42246E-06	71.0127	
1.42755E-06	70.6557	
1.43746E-06	69.9702	
1.45267E-06	69.2471	
1.46963E-06	68.8334	
1.47439E-06	68.794	
1.48719E-06	68.8631	
1.49933E-06	69.2199	
1.50288E-06	69.3258	
1.51873E-06	70.2781	
1.52944E-06	71.2412	
1.54016E-06	72.508	
1.55263E-06	74.4385	
1.56144E-06	76.1562	
1.57075E-06	78.3551	
1.58005E-06	81.0297	
1.58703E-06	83.4102	
1.59401E-06	86.1731	
1.60099E-06	89.3864	
1.60797E-06	93.1327	
1.61495E-06	97.512	
1.62192E-06	102.643	
1.62658E-06	106.55	
1.63123E-06	110.897	
1.63588E-06	115.735	
1.64053E-06	121.112	
1.64239E-06	123.499	
1.64519E-06	127.082	
1.64984E-06	133.689	
1.65449E-06	140.97	
1.65914E-06	148.949	
1.66380E-06	157.634	
1.66566E-06	161.383	
1.66845E-06	167.013	
1.67543E-06	182.254	
1.68264E-06	199.246	
1.68473E-06	204.183	
1.68566E-06	206.408	
1.69753E-06	234.796	
1.69822E-06	236.324	
1.70381E-06	248.568	
1.70846E-06	257.652	
1.71311E-06	265.477	
1.71404E-06	266.744	
1.71776E-06	271.811	
1.72242E-06	276.476	
1.72753E-06	279.56	
1.73216E-06	280.486	
1.73603E-06	279.956	
1.73824E-06	278.977	
1.74056E-06	277.941	
1.74521E-06	274.512	
1.75103E-06	268.71	
1.75382E-06	265.284	
1.75638E-06	262.139	
1.76150E-06	255.841	
1.77080E-06	244.338	
1.77313E-06	241.458	
1.78011E-06	234.214	
1.78647E-06	228.929	
1.79283E-06	224.915	
1.79981E-06	221.731	
1.81489E-06	216.593	
1.81894E-06	215.215	
1.82615E-06	211.694	
1.83236E-06	207.537	
1.83875E-06	202.009	
1.84551E-06	194.804	
1.85226E-06	186.387	
1.85361E-06	184.495	
1.86306E-06	171.241	
1.87612E-06	152.324	
1.87882E-06	148.633	
1.88287E-06	143.089	
1.88963E-06	134.568	
1.89638E-06	126.909	
1.90313E-06	120.171	
1.90989E-06	114.348	
1.91664E-06	109.386	
1.92339E-06	105.21	
1.93014E-06	101.732	
1.93690E-06	98.8626	
1.94365E-06	96.5209	
1.95040E-06	94.634	
1.95716E-06	93.1393	
1.96616E-06	91.6668	
1.96886E-06	91.3765	
1.97517E-06	90.7021	
1.98417E-06	90.1665	
1.99227E-06	90.0017	
2.00308E-06	90.1928	
2.01568E-06	90.9434	
2.02829E-06	92.2082	
2.04260E-06	94.2258	
2.05670E-06	96.8077	
2.05690E-06	96.845	
2.07141E-06	100.126	
2.08592E-06	104.063	
2.10064E-06	108.779	
2.11167E-06	112.843	
2.12281E-06	117.453	
2.12996E-06	120.774	
2.13401E-06	122.657	
2.14520E-06	128.506	
2.15655E-06	135.181	
2.16001E-06	137.48	
2.16790E-06	142.717	
2.17930E-06	151.284	
2.19048E-06	160.829	
2.19081E-06	161.106	
2.19848E-06	168.417	
2.20615E-06	176.416	
2.21366E-06	185.006	
2.21393E-06	185.319	
2.22172E-06	195.133	
2.22950E-06	205.969	
2.23096E-06	208.232	
2.23728E-06	217.982	
2.24434E-06	230.113	
2.24517E-06	231.537	
2.25306E-06	246.696	
2.25574E-06	252.471	
2.26095E-06	263.714	
2.26687E-06	277.877	
2.26714E-06	278.587	
2.27351E-06	295.423	
2.27554E-06	301.416	
2.28051E-06	316.086	
2.28245E-06	322.511	
2.28752E-06	339.326	
2.28936E-06	346.081	
2.29212E-06	356.222	
2.29627E-06	372.726	
2.29673E-06	374.562	
2.30133E-06	394.517	
2.30318E-06	403.212	
2.30594E-06	416.267	
2.30778E-06	425.767	
2.31055E-06	440.03	
2.31239E-06	450.431	
2.31515E-06	466.045	
2.31699E-06	477.456	
2.31976E-06	494.588	
2.32160E-06	507.134	
2.32436E-06	525.969	
2.32620E-06	539.789	
2.32897E-06	560.539	
2.33081E-06	575.79	
2.33357E-06	598.691	
2.33541E-06	615.549	
2.33818E-06	640.86	
2.33887E-06	647.856	
2.34232E-06	682.865	
2.34278E-06	687.537	
2.34578E-06	721.14	
2.34739E-06	739.251	
2.34923E-06	762.162	
2.35199E-06	796.561	
2.35269E-06	806.079	
2.35614E-06	853.71	
2.35660E-06	860.067	
2.35959E-06	905.754	
2.36121E-06	930.379	
2.36305E-06	961.441	
2.36581E-06	1008.08	
2.36650E-06	1020.92	
2.36996E-06	1085.16	
2.37042E-06	1093.73	
2.37341E-06	1154.86	
2.37502E-06	1187.8	
2.37686E-06	1228.9	
2.37963E-06	1290.61	
2.38032E-06	1307.35	
2.38377E-06	1391.13	
2.38423E-06	1402.31	
2.38723E-06	1480.59	
2.38884E-06	1522.78	
2.39068E-06	1574.27	
2.39344E-06	1651.57	
2.39413E-06	1672.23	
2.39759E-06	1775.65	
2.40035E-06	1858.46	
2.40196E-06	1909.79	
2.40611E-06	2041.88	
2.40956E-06	2152.04	
2.41233E-06	2240.71	
2.42062E-06	2506.94	
2.42085E-06	2514.33	
2.42741E-06	2709.91	
2.43098E-06	2806.13	
2.43178E-06	2827.83	
2.43628E-06	2934.78	
2.43766E-06	2962.35	
2.44088E-06	3026.54	
2.44226E-06	3047.81	
2.44549E-06	3097.3	
2.44687E-06	3111.6	
2.45009E-06	3144.8	
2.45147E-06	3151.83	
2.45451E-06	3167.1	
2.45527E-06	3167.98	
2.45663E-06	3169.45	
2.45963E-06	3163.58	
2.45999E-06	3161.39	
2.46340E-06	3140.89	
2.46391E-06	3135.55	
2.46736E-06	3098.92	
2.46759E-06	3096.47	
2.46943E-06	3068.23	
2.47220E-06	3025.75	
2.47358E-06	2998.91	
2.47600E-06	2951.8	
2.47772E-06	2912.14	
2.48049E-06	2848.53	
2.48187E-06	2811.8	
2.48648E-06	2689.1	
2.48694E-06	2675.42	
2.49154E-06	2538.32	
2.49338E-06	2483.4	
2.49845E-06	2323.48	
2.50306E-06	2177.95	
2.50950E-06	1974.07	
2.51641E-06	1765.41	
2.52102E-06	1634.33	
2.52378E-06	1560.32	
2.52562E-06	1511.02	
2.53023E-06	1396.16	
2.53069E-06	1385.55	
2.53483E-06	1290.14	
2.53760E-06	1231.81	
2.53944E-06	1192.96	
2.54404E-06	1104.47	
2.54450E-06	1096.45	
2.54865E-06	1024.36	
2.55141E-06	981	
2.55325E-06	952.14	
2.55786E-06	887.296	
2.55832E-06	881.488	
2.56247E-06	829.314	
2.56523E-06	798.258	
2.56707E-06	777.595	
2.57168E-06	731.617	
2.57214E-06	727.538	
2.57628E-06	690.902	
2.57866E-06	672.214	
2.58051E-06	657.755	
2.58435E-06	630.816	
2.58442E-06	630.383	
2.58820E-06	606.743	
2.59018E-06	595.68	
2.59204E-06	585.319	
2.59629E-06	564.507	
2.59676E-06	562.549	
2.60095E-06	544.975	
2.60375E-06	535.159	
2.60561E-06	528.636	
2.61027E-06	515.319	
2.61074E-06	514.273	
2.61494E-06	504.896	
2.61773E-06	500.287	
2.61960E-06	497.231	
2.62426E-06	492.239	
2.62472E-06	491.996	
2.62892E-06	489.852	
2.63125E-06	489.599	
2.63311E-06	490.153	
2.63614E-06	491.081	
2.64057E-06	495.034	
2.64208E-06	496.401	
2.64802E-06	505.355	
