E(MeV)	pendfb7/Sm149:1	
4.28795E-08	48765.8669	
4.34255E-08	49189.6907	
4.36095E-08	49338.997	
4.39792E-08	49638.9614	
4.43520E-08	49941.4689	
4.45392E-08	50100.2123	
4.51071E-08	50581.8385	
4.52975E-08	50743.3283	
4.58751E-08	51255.1889	
4.62640E-08	51599.8982	
4.66562E-08	51963.0435	
4.72503E-08	52513.2984	
4.74505E-08	52707.0622	
4.80548E-08	53291.7932	
4.82584E-08	53488.908	
4.90801E-08	54316.0775	
4.92872E-08	54532.0817	
4.99157E-08	55187.4346	
5.01264E-08	55414.9792	
5.07656E-08	56105.3443	
5.14120E-08	56828.5137	
5.16299E-08	57072.2972	
5.20676E-08	57579.436	
5.22873E-08	57834.0743	
5.25089E-08	58090.9288	
5.27306E-08	58356.8931	
5.29541E-08	58625.1112	
5.34029E-08	59163.9408	
5.36283E-08	59444.0759	
5.40829E-08	60009.2186	
5.43122E-08	60294.1862	
5.50038E-08	61184.5001	
5.52369E-08	61484.6953	
5.57051E-08	62108.8667	
5.61773E-08	62738.4689	
5.64144E-08	63065.6781	
5.66536E-08	63395.7336	
5.71338E-08	64058.6438	
5.73749E-08	64403.1604	
5.78613E-08	65098.0327	
5.81066E-08	65448.4958	
5.85991E-08	66176.6578	
5.90959E-08	66911.1602	
5.93453E-08	67292.5222	
5.98484E-08	68061.8842	
6.01020E-08	68449.8257	
6.06115E-08	69255.2969	
6.08673E-08	69659.7312	
6.11253E-08	70067.6892	
6.13833E-08	70489.0417	
6.16435E-08	70913.966	
6.21660E-08	71767.6098	
6.24284E-08	72209.9456	
6.32245E-08	73552.2849	
6.37604E-08	74484.2151	
6.40295E-08	74952.1468	
6.43009E-08	75424.1484	
6.48460E-08	76400.2921	
6.53957E-08	77384.9201	
6.56717E-08	77893.2266	
6.65091E-08	79435.7373	
6.73560E-08	81037.0364	
6.76415E-08	81576.9479	
6.82149E-08	82687.4339	
6.85028E-08	83245.124	
6.87931E-08	83807.5424	
6.90835E-08	84381.9973	
6.96691E-08	85540.8521	
6.99644E-08	86125.192	
7.02597E-08	86721.4425	
7.07064E-08	87623.4023	
7.08553E-08	87924.0555	
7.11556E-08	88530.5654	
7.14559E-08	89137.0752	
7.16074E-08	89448.3994	
7.20617E-08	90382.3719	
7.25198E-08	91324.4248	
7.29805E-08	92271.8011	
7.32886E-08	92905.1591	
7.34439E-08	93226.9718	
7.39098E-08	94192.4097	
7.43797E-08	95166.0298	
7.48523E-08	96145.1529	
7.53275E-08	97129.9054	
7.58054E-08	98120.205	
7.62874E-08	99118.9011	
7.67720E-08	100123.242	
7.72595E-08	101115.05	
7.77496E-08	102112.449	
7.82439E-08	103118.304	
7.84087E-08	103453.586	
7.87410E-08	104111.539	
7.90734E-08	104769.402	
7.97437E-08	106096.28	
8.00817E-08	106744.397	
8.04197E-08	107392.397	
8.07605E-08	108045.889	
8.11014E-08	108676.116	
8.17889E-08	109946.963	
8.21355E-08	110559.04	
8.28318E-08	111787.998	
8.31814E-08	112376.949	
8.35340E-08	112970.696	
8.38865E-08	113538.832	
8.42421E-08	114111.6	
8.45976E-08	114655.961	
8.49562E-08	115204.727	
8.53148E-08	115722.21	
8.56764E-08	116243.841	
8.60380E-08	116731.249	
8.64027E-08	117222.526	
8.67673E-08	117676.597	
8.71351E-08	118134.23	
8.75029E-08	118551.66	
8.78737E-08	118972.315	
8.82446E-08	119349.784	
8.86186E-08	119730.11	
8.89927E-08	120064.31	
8.93699E-08	120400.973	
8.97471E-08	120694.962	
8.99373E-08	120843.031	
9.01274E-08	120971.919	
9.03176E-08	121100.807	
9.05078E-08	121229.54	
9.06996E-08	121339.375	
9.08915E-08	121449.21	
9.10833E-08	121558.883	
9.12751E-08	121647.963	
9.14685E-08	121737.799	
9.16619E-08	121827.465	
9.18554E-08	121895.834	
9.20488E-08	121964.204	
9.22439E-08	122032.975	
9.24390E-08	122079.792	
9.26340E-08	122126.608	
9.28291E-08	122173.242	
9.32226E-08	122210.631	
9.36160E-08	122247.644	
9.37152E-08	122256.976	
9.38144E-08	122250.788	
9.40128E-08	122238.219	
9.44096E-08	122213.08	
9.48098E-08	122135.88	
9.50057E-08	122098.07	
9.50098E-08	122096.791	
9.52099E-08	122034.045	
9.56089E-08	121908.916	
9.56135E-08	121906.943	
9.60170E-08	121731.366	
9.62155E-08	121645.011	
9.62205E-08	121642.23	
9.64240E-08	121528.976	
9.66275E-08	121415.722	
9.68272E-08	121304.389	
9.68309E-08	121301.836	
9.71732E-08	121068.301	
9.72414E-08	121021.688	
9.74903E-08	120851.579	
9.78587E-08	120553.977	
9.78875E-08	120530.731	
9.81101E-08	120350.735	
9.84796E-08	120008.191	
9.85085E-08	119981.339	
9.87334E-08	119772.664	
9.91348E-08	119353.338	
9.93602E-08	119117.668	
9.97647E-08	118648.587	
9.99906E-08	118386.307	
1.00398E-07	117867.772	
1.00424E-07	117834.916	
1.00626E-07	117577.046	
1.01035E-07	117012.034	
1.01061E-07	116975.493	
1.01266E-07	116692.983	
1.01489E-07	116360.614	
1.01677E-07	116079.965	
1.01909E-07	115735.553	
1.01918E-07	115720.313	
1.02323E-07	115075.456	
1.02349E-07	115034.32	
1.02555E-07	114706.48	
1.02782E-07	114322.921	
1.02973E-07	114000.354	
1.03108E-07	113771.89	
1.03207E-07	113604.553	
1.03434E-07	113199.568	
1.03626E-07	112856.916	
1.03763E-07	112612.994	
1.03863E-07	112434.834	
1.04092E-07	112006.079	
1.04285E-07	111644.047	
1.04422E-07	111388.514	
1.04522E-07	111199.848	
1.04753E-07	110748.153	
1.04948E-07	110367.516	
1.05085E-07	110099.328	
1.05185E-07	109902.349	
1.05418E-07	109428.6	
1.05614E-07	109030.185	
1.05753E-07	108748.044	
1.05854E-07	108541.395	
1.06087E-07	108050.542	
1.06284E-07	107635.236	
1.06424E-07	107339.639	
1.06527E-07	107123.736	
1.06761E-07	106610.594	
1.06960E-07	106177.307	
1.07100E-07	105871.524	
1.07430E-07	105150.226	
1.07440E-07	105127.369	
1.07639E-07	104675.647	
1.07780E-07	104357.402	
1.08122E-07	103582.94	
1.08340E-07	103088.236	
1.08552E-07	102595.278	
1.08579E-07	102531.351	
1.09038E-07	101460.252	
1.09259E-07	100946.389	
1.09472E-07	100437.081	
1.09500E-07	100371.038	
1.09963E-07	99264.4598	
1.10185E-07	98733.5753	
1.10400E-07	98208.0496	
1.10660E-07	97571.4311	
1.11336E-07	95920.2705	
1.11588E-07	95303.7738	
1.12280E-07	93578.8872	
1.12783E-07	92323.3383	
1.13488E-07	90565.1847	
1.13498E-07	90538.4112	
1.13709E-07	90009.2544	
1.13980E-07	89330.7602	
1.14461E-07	88123.0311	
1.14946E-07	86905.0639	
1.15159E-07	86369.0782	
1.15431E-07	85687.0471	
1.15920E-07	84458.6717	
1.16398E-07	83257.7584	
1.16409E-07	83230.616	
1.16903E-07	82006.3613	
1.17396E-07	80782.1066	
1.17883E-07	79574.9626	
1.17894E-07	79547.854	
1.18391E-07	78330.3427	
1.18882E-07	77129.8492	
1.19114E-07	76570.4166	
1.19395E-07	75892.9563	
