E(MeV)  mcnp	Total /Ca:1 mcnp/Ca
7.356000E-01	0.843173
7.372000E-01	0.983177
7.382000E-01	1.69092
7.405000E-01	2.50772
7.415000E-01	1.15412
7.423000E-01	1.58202
7.432000E-01	2.02552
7.439000E-01	2.65543
7.447000E-01	3.52653
7.454000E-01	3.95423
7.474000E-01	3.57323
7.486000E-01	2.75643
7.505000E-01	2.03313
7.528000E-01	1.40314
7.543000E-01	1.11544
7.554000E-01	1.05314
7.577000E-01	1.21654
7.583000E-01	2.17314
7.593000E-01	1.57425
7.601000E-01	1.09975
7.615000E-01	0.866588
7.638000E-01	0.81988
7.647000E-01	0.983193
7.654000E-01	1.39545
7.665000E-01	1.10766
7.685000E-01	1.17766
7.697000E-01	1.50426
7.712000E-01	1.92426
7.729000E-01	2.60876
7.733000E-01	3.59657
7.741000E-01	3.93877
7.772000E-01	4.09427
7.784000E-01	3.66657
7.796000E-01	3.33207
7.806000E-01	3.05207
7.828000E-01	2.87548
7.852000E-01	2.25318
7.878000E-01	1.83548
7.902000E-01	1.43989
7.916000E-01	1.14659
7.928000E-01	1.43989
7.934000E-01	1.86659
7.940000E-01	2.44429
7.951000E-01	3.7777
7.967000E-01	2.7466
7.984000E-01	2.2177
7.997000E-01	1.9243
8.000000E-01	1.8088
8.011000E-01	2.0621
8.033000E-01	1.73321
8.069000E-01	1.47991
8.089000E-01	1.19981
8.094000E-01	1.11112
8.103000E-01	1.23992
8.188000E-01	1.04432
8.208000E-01	0.670993
8.217000E-01	0.808786
8.227000E-01	1.06664
8.235000E-01	1.64434
8.241000E-01	2.24424
8.250000E-01	2.57314
8.257000E-01	2.82194
8.280000E-01	2.33764
8.290000E-01	1.55975
8.294000E-01	1.43105
8.308000E-01	1.54655
8.341000E-01	1.23985
8.373000E-01	0.928797
8.393000E-01	0.742092
8.404000E-01	0.911005
8.413000E-01	1.19987
8.418000E-01	1.73317
8.429000E-01	2.33317
8.441000E-01	1.92877
8.449000E-01	1.53317
8.461000E-01	1.25317
8.476000E-01	1.15098
8.483000E-01	1.12878
8.495000E-01	1.34658
8.507000E-01	1.14658
8.542000E-01	1.22658
8.569000E-01	1.38659
8.577000E-01	1.80649
8.581000E-01	2.0801
8.588000E-01	2.5067
8.598000E-01	2.0466
8.614000E-01	1.9599
8.635000E-01	2.2132
8.658000E-01	2.6799
8.669000E-01	3.39331
8.675000E-01	3.86671
8.689000E-01	3.32661
8.704000E-01	2.45991
8.721000E-01	1.68662
8.735000E-01	1.01322
8.743000E-01	1.27992
8.752000E-01	1.61322
8.783000E-01	1.39322
8.811000E-01	1.89993
8.833000E-01	2.44663
8.841000E-01	3.06664
8.848000E-01	3.59324
8.857000E-01	4.17324
8.889000E-01	3.63994
8.896000E-01	3.49995
8.902000E-01	3.72665
8.909000E-01	3.87325
8.917000E-01	3.97325
8.986000E-01	3.85325
8.990000E-01	3.63996
8.997000E-01	3.53337
9.001000E-01	3.90667
9.050000E-01	3.65317
9.071000E-01	3.38658
9.076000E-01	3.82008
9.081000E-01	4.12008
9.092000E-01	4.82008
9.107000E-01	4.17338
9.167000E-01	3.77999
9.198000E-01	3.2199
9.212000E-01	2.9999
9.216000E-01	3.0833
9.219000E-01	3.04421
9.223000E-01	2.82781
9.231000E-01	3.08321
9.236000E-01	3.32791
9.241000E-01	3.55551
9.247000E-01	3.98891
9.280000E-01	3.28321
9.319000E-01	2.64992
9.358000E-01	2.44432
9.372000E-01	2.16103
9.398000E-01	2.19433
9.408000E-01	2.42774
9.415000E-01	2.77204
9.433000E-01	3.22214
9.442000E-01	2.79984
9.454000E-01	3.03325
9.461000E-01	3.93325
9.468000E-01	3.07775
9.481000E-01	2.54995
9.504000E-01	2.09435
9.555000E-01	1.83886
9.572000E-01	1.49437
9.582000E-01	1.51107
9.588000E-01	1.72777
9.593000E-01	2.21107
9.600000E-01	2.57217
9.608000E-01	2.07218
9.620000E-01	1.61108
9.637000E-01	1.40558
9.666000E-01	1.24438
9.683000E-01	1.25559
9.691000E-01	1.37219
9.699000E-01	1.58329
9.707000E-01	1.91109
9.717000E-01	2.5278
9.726000E-01	3.1722
9.736000E-01	3.4278
9.753000E-01	3.5944
9.761000E-01	3.2444
9.773000E-01	3.23331
9.778000E-01	2.98891
9.796000E-01	3.02781
9.801000E-01	2.54441
9.822000E-01	2.59441
9.854000E-01	2.20002
9.862000E-01	1.90002
9.872000E-01	1.94443
9.904000E-01	1.78333
9.917000E-01	1.62783
9.926000E-01	1.82204
9.933000E-01	2.53864
9.950000E-01	3.41684
9.960000E-01	1.82784
9.981000E-01	1.52234
1.000000E+00	1.19995
1.000400E+00	1.1356
1.002400E+00	1.12205
1.003900E+00	1.28886
1.005100E+00	1.93886
1.007500E+00	2.31666
1.007900E+00	3.42217
1.009700E+00	3.51667
1.010800E+00	3.44437
1.012200E+00	3.48888
1.016200E+00	3.26108
1.017800E+00	2.86109
1.018400E+00	3.21669
1.019100E+00	3.73329
1.019800E+00	4.38339
1.020600E+00	3.7944
1.022700E+00	3.1722
1.024000E+00	2.7944
1.025100E+00	2.70561
1.026000E+00	2.93891
1.028000E+00	2.51111
1.033000E+00	2.23891
1.034900E+00	1.93893
1.035500E+00	1.88893
1.037100E+00	1.78893
1.037500E+00	2.41664
1.038000E+00	2.89424
1.038700E+00	3.17784
1.039900E+00	2.88894
1.040600E+00	2.65004
1.041300E+00	2.90554
1.041900E+00	3.22235
1.042400E+00	2.83325
1.044000E+00	2.61085
1.045300E+00	2.42205
1.046100E+00	2.57205
1.047200E+00	2.93316
1.049700E+00	2.22216
1.054700E+00	1.82216
1.055300E+00	1.56108
1.057300E+00	1.40558
1.058300E+00	1.85558
1.060100E+00	2.17218
1.061300E+00	1.82779
1.062400E+00	2.21669
1.068100E+00	1.79999
1.070100E+00	1.43891
1.071100E+00	1.41111
