E(MeV)	W-nat
7.93879E-06	24.1139
7.93969E-06	24.0184
7.94776E-06	23.1693
7.95673E-06	22.3119
7.96570E-06	21.5298
7.96929E-06	21.244
7.97512E-06	20.7859
7.98453E-06	20.11
7.99709E-06	19.2956
8.00875E-06	18.6189
8.00965E-06	18.5677
8.02220E-06	17.9234
8.03476E-06	17.3424
8.04732E-06	16.8163
8.05718E-06	16.4406
8.05987E-06	16.3402
8.07490E-06	15.8342
8.09238E-06	15.3097
8.10987E-06	14.8444
8.12736E-06	14.4295
8.13790E-06	14.2054
8.14485E-06	14.0616
8.16234E-06	13.7368
8.17983E-06	13.4441
8.19732E-06	13.1792
8.21839E-06	12.8921
8.22579E-06	12.8028
8.24306E-06	12.6007
8.26772E-06	12.347
8.29239E-06	12.1229
8.31705E-06	11.9241
8.33163E-06	11.8193
8.34171E-06	11.7499
8.37871E-06	11.529
8.41819E-06	11.3301
8.46265E-06	11.143
8.50711E-06	10.9874
8.50794E-06	10.9849
8.55157E-06	10.8669
8.58121E-06	10.7986
8.64049E-06	10.6851
8.68758E-06	10.6154
8.70144E-06	10.5972
8.76239E-06	10.5387
8.82334E-06	10.4974
8.91563E-06	10.4594
8.93271E-06	10.4567
9.00963E-06	10.4561
9.10364E-06	10.4746
9.18476E-06	10.5028
9.19942E-06	10.5099
9.32830E-06	10.5909
9.44392E-06	10.6791
9.47963E-06	10.7115
9.68024E-06	10.9196
9.71039E-06	10.9541
9.88462E-06	11.18
9.98439E-06	11.3181
1.00928E-05	11.4866
1.02661E-05	11.7689
1.03049E-05	11.8398
1.05230E-05	12.2532
1.05558E-05	12.318
1.07781E-05	12.8012
1.08199E-05	12.9003
1.10046E-05	13.3529
1.10484E-05	13.4699
1.12375E-05	13.9895
1.12811E-05	14.1208
1.14748E-05	14.7196
1.15182E-05	14.8669
1.17165E-05	15.5575
1.17619E-05	15.7322
1.19627E-05	16.524
1.20102E-05	16.7281
1.21315E-05	17.2621
1.22632E-05	17.8848
1.23002E-05	18.0646
1.24738E-05	18.9706
1.25209E-05	19.2362
1.26473E-05	19.9641
1.26976E-05	20.2773
1.28257E-05	21.0908
1.28742E-05	21.4247
1.30042E-05	22.3368
1.30559E-05	22.7318
1.31876E-05	23.7586
1.32375E-05	24.1831
1.33711E-05	25.344
1.34243E-05	25.8445
1.35126E-05	26.6941
1.36110E-05	27.7112
1.36541E-05	28.1661
1.37969E-05	29.7889
1.38030E-05	29.8641
1.39424E-05	31.596
1.39471E-05	31.6597
1.40878E-05	33.5993
1.40938E-05	33.6886
1.42360E-05	35.8579
1.42419E-05	35.955
1.43856E-05	38.3898
1.43900E-05	38.4703
1.45352E-05	41.2133
1.45422E-05	41.3567
1.46377E-05	43.3454
1.46945E-05	44.6064
1.47403E-05	45.645
1.48428E-05	48.1301
1.48482E-05	48.2698
1.49453E-05	50.8454
1.50047E-05	52.5361
1.50508E-05	53.8702
1.51091E-05	55.6912
1.51562E-05	57.1828
1.52135E-05	59.1412
1.52616E-05	60.8124
1.53208E-05	63.0341
1.53670E-05	64.7985
1.54281E-05	67.3267
1.54754E-05	69.3186
1.55354E-05	72.0683
1.55838E-05	74.3253
1.56428E-05	77.2903
1.56651E-05	78.4376
1.57464E-05	82.8939
1.57531E-05	83.2856
1.58285E-05	87.8004
1.58635E-05	90.0502
1.59121E-05	93.2438
1.59738E-05	97.6087
1.59957E-05	99.1858
1.60566E-05	103.919
1.60793E-05	105.715
1.61409E-05	110.982
1.61629E-05	112.897
1.62260E-05	118.848
1.62465E-05	120.817
1.63111E-05	127.564
1.63323E-05	129.826
1.63962E-05	137.233
1.64182E-05	139.838
1.64754E-05	147.14
1.64813E-05	147.931
1.65327E-05	155.06
1.65669E-05	160.122
1.65899E-05	163.596
1.66472E-05	172.824
1.66536E-05	173.939
1.67044E-05	182.863
1.67114E-05	184.202
1.67692E-05	195.368
1.67784E-05	197.167
1.68271E-05	207.612
1.68524E-05	213.144
1.68849E-05	220.788
1.69018E-05	224.838
1.69427E-05	235.291
1.69512E-05	237.489
1.70005E-05	251.215
1.70498E-05	266.188
1.70622E-05	270.213
1.70992E-05	282.494
1.71239E-05	291.399
1.71609E-05	304.992
1.71856E-05	314.803
1.72020E-05	321.465
1.72431E-05	339.246
1.72473E-05	341.149
1.72843E-05	358.534
1.72884E-05	360.605
1.73254E-05	379.475
1.73295E-05	381.727
1.73665E-05	402.305
1.73850E-05	413.375
1.74076E-05	427.156
1.74405E-05	448.676
1.74447E-05	451.41
1.74776E-05	475.125
1.74940E-05	487.141
1.75146E-05	503.397
1.75269E-05	513.284
1.75516E-05	534.391
1.75598E-05	541.526
1.75886E-05	568.227
1.75927E-05	572.097
1.76256E-05	605.253
1.76585E-05	641.409
1.76688E-05	653.564
1.76914E-05	680.772
1.77120E-05	707.299
1.77202E-05	718.072
1.77407E-05	746.867
1.77490E-05	758.532
1.77695E-05	789.763
1.77778E-05	802.418
1.77983E-05	836.36
1.78065E-05	850.118
1.78271E-05	887.088
1.78353E-05	902.078
1.78559E-05	942.439
1.78641E-05	958.846
1.78929E-05	1020.82
1.79176E-05	1079.18
1.79217E-05	1089.03
1.79423E-05	1142.63
1.79525E-05	1169.78
1.79669E-05	1211.39
1.79834E-05	1259.58
1.79916E-05	1286.05
1.80142E-05	1359.82
1.80163E-05	1367.09
1.80348E-05	1433.42
1.80410E-05	1457.05
1.80554E-05	1512.94
1.80636E-05	1547.13
1.80759E-05	1599.07
1.80841E-05	1636.13
1.80955E-05	1687.73
1.81047E-05	1732.84
1.81140E-05	1778.52
1.81253E-05	1838.16
1.81325E-05	1876.63
1.81458E-05	1953.03
1.81510E-05	1982.82
1.81664E-05	2078.58
1.81695E-05	2098.01
1.81870E-05	2216.14
1.81880E-05	2223.19
1.82065E-05	2359.65
1.82075E-05	2367.83
1.82250E-05	2508.66
1.82260E-05	2517.56
1.82414E-05	2652.87
1.82425E-05	2662.65
1.82589E-05	2821.12
1.82630E-05	2861.25
1.82754E-05	2993.56
1.82846E-05	3094.11
1.82918E-05	3178.88
1.82990E-05	3264.79
1.83083E-05	3382.83
1.83134E-05	3449.32
1.83247E-05	3605.84
1.83278E-05	3649.14
1.83412E-05	3850.19
1.83422E-05	3865.87
1.83556E-05	4084.01
1.83741E-05	4416.16
1.83864E-05	4659.87
1.83926E-05	4789.88
1.83988E-05	4921.76
1.84049E-05	5062.59
1.84111E-05	5205.07
1.84173E-05	5357.39
1.84234E-05	5511.52
1.84296E-05	5676.46
1.84358E-05	5843.37
1.84419E-05	6022.15
1.84481E-05	6203
1.84532E-05	6365.99
1.84635E-05	6696.28
1.84687E-05	6876.59
1.84789E-05	7242.72
1.84841E-05	7442.7
1.84944E-05	7848.78
1.84995E-05	8070.59
1.85098E-05	8520.98
1.85149E-05	8766.85
1.85252E-05	9266.01
1.85303E-05	9537.36
1.85396E-05	10032.7
1.85442E-05	10300.2
1.85535E-05	10842.3
1.85581E-05	11134
1.85674E-05	11724.7
1.85720E-05	12041.5
1.85812E-05	12682.6
1.85859E-05	13024.9
1.85951E-05	13716.9
1.85997E-05	14081
1.86044E-05	14448.6
1.86136E-05	15222.8
1.86212E-05	15865.8
1.86321E-05	16840.3
1.86381E-05	17378.3
1.86506E-05	18567.8
1.86634E-05	19783.5
1.86994E-05	23279.1
1.87014E-05	23477
1.87203E-05	25192.4
1.87236E-05	25486.5
1.87343E-05	26353.2
1.87393E-05	26745.3
1.87508E-05	27561.1
1.87516E-05	27617.8
1.87631E-05	28305.9
1.87639E-05	28353.6
1.87755E-05	28899
1.87763E-05	28936.3
1.87878E-05	29324.5
1.87886E-05	29350.5
1.87968E-05	29525.3
1.88001E-05	29557.7
1.88090E-05	29627.9
1.88107E-05	29637.7
1.88215E-05	29561.9
1.88339E-05	29300.2
1.88462E-05	28861.2
1.88585E-05	28257.6
1.88709E-05	27505.7
1.88853E-05	26467.4
1.89038E-05	24931.7
1.89284E-05	22657.1
1.89726E-05	18425.9
1.89903E-05	16814.5
1.90084E-05	15263
1.90223E-05	14151.4
1.90362E-05	13112.8
1.90501E-05	12148.8
1.90639E-05	11258.6
1.90783E-05	10411
1.90938E-05	9584.02
1.91092E-05	8835.21
1.91246E-05	8158.31
1.91400E-05	7546.87
1.91554E-05	6994.57
1.91678E-05	6591.27
1.91801E-05	6219.09
1.91925E-05	5875.38
1.92048E-05	5557.63
1.92171E-05	5263.59
1.92295E-05	4995.43
1.92356E-05	4863.14
1.92480E-05	4622.69
1.92542E-05	4504.13
1.92613E-05	4377.46
1.92706E-05	4216.54
