E(MeV)	mcnp/Ag-109:1
0.000041172	14.8272
4.11842E-05	14.6114
4.11936E-05	14.4459
4.12086E-05	14.2213
4.12209E-05	14.0392
4.12331E-05	13.8569
4.12453E-05	13.6748
4.12539E-05	13.5474
4.12698E-05	13.3454
0.000041282	13.1901
4.13065E-05	12.8794
4.13142E-05	12.7813
4.13432E-05	12.4647
4.13746E-05	12.1221
4.13799E-05	12.0714
4.14105E-05	11.7817
4.14288E-05	11.6077
4.14349E-05	11.5503
4.14555E-05	11.3793
4.14822E-05	11.1582
4.14952E-05	11.0505
0.0000415	11.0155
4.15178E-05	10.8857
4.15356E-05	10.7558
4.15555E-05	10.6104
4.15712E-05	10.5091
4.16081E-05	10.27
4.16159E-05	10.22
4.16451E-05	10.06
4.17067E-05	9.72276
4.17365E-05	9.55937
4.17436E-05	9.52775
0.000041756	9.47305
4.17683E-05	9.41835
4.17929E-05	9.30898
4.18175E-05	9.19957
4.18422E-05	9.09017
4.18572E-05	9.02361
4.18668E-05	8.98834
4.18915E-05	8.89832
4.19161E-05	8.80827
4.19407E-05	8.71822
4.19654E-05	8.62817
4.19778E-05	8.58266
0.00004199	8.54552
4.20146E-05	8.47037
4.20393E-05	8.39523
4.20639E-05	8.32008
4.20886E-05	8.24497
4.20985E-05	8.21468
4.21132E-05	8.17678
4.21378E-05	8.11328
4.21625E-05	8.04978
4.21871E-05	7.9863
4.22117E-05	7.92281
4.22191E-05	7.90376
0.000042261	7.81151
4.23103E-05	7.70302
4.23398E-05	7.63805
4.23596E-05	7.60046
4.24088E-05	7.50683
4.24581E-05	7.41318
4.25074E-05	7.33112
4.25567E-05	7.24961
4.25811E-05	7.20921
4.26059E-05	7.17323
4.26552E-05	7.10186
4.27018E-05	7.03446
4.27538E-05	6.96812
4.28224E-05	6.88059
4.28523E-05	6.84834
4.29509E-05	6.74206
4.30494E-05	6.63579
4.30637E-05	6.62037
0.000043148	6.54621
4.32465E-05	6.45948
0.000043305	6.40797
4.33451E-05	6.37885
4.34436E-05	6.30716
4.35422E-05	6.23546
4.36407E-05	6.17475
4.37393E-05	6.11452
4.37877E-05	6.08495
4.38378E-05	6.05881
4.38871E-05	6.03314
4.39364E-05	6.00747
4.39856E-05	5.9818
0.000044029	5.95922
4.40349E-05	5.95655
4.40842E-05	5.93439
4.41335E-05	5.91223
4.41581E-05	5.90116
4.41827E-05	5.89008
4.42074E-05	5.879
0.000044232	5.86792
4.42566E-05	5.85684
4.42703E-05	5.85071
4.42813E-05	5.84643
4.43059E-05	5.83685
4.43306E-05	5.82726
4.43552E-05	5.81768
4.43798E-05	5.80809
4.44045E-05	5.79851
4.44291E-05	5.78892
4.44537E-05	5.77934
4.44784E-05	5.76975
0.000044503	5.76017
4.45116E-05	5.75684
4.45277E-05	5.7516
0.00004454	5.74758
0.00004455	5.74431
4.45646E-05	5.73955
4.45893E-05	5.73152
4.46139E-05	5.72349
4.46508E-05	5.71144
4.46878E-05	5.69939
4.47248E-05	5.68735
4.47624E-05	5.67508
4.47812E-05	5.66895
0.0000448	5.66282
4.48282E-05	5.65362
4.48564E-05	5.64442
4.48878E-05	5.63419
4.49256E-05	5.62188
4.49634E-05	5.60956
4.49942E-05	5.59951
4.50263E-05	5.59103
4.50641E-05	5.58106
4.50767E-05	5.57774
4.51019E-05	5.57109
4.51271E-05	5.56444
4.51522E-05	5.5578
4.51774E-05	5.55115
4.52026E-05	5.5445
4.52278E-05	5.53785
0.000045253	5.53121
4.52782E-05	5.52456
4.53033E-05	5.51791
4.53285E-05	5.51127
4.53537E-05	5.50462
4.53789E-05	5.49797
4.54041E-05	5.49132
4.54293E-05	5.48468
4.54544E-05	5.47803
4.54768E-05	5.47212
0.00004553	5.46057
4.55804E-05	5.44962
4.56307E-05	5.43868
4.56811E-05	5.42773
4.57315E-05	5.41679
4.57818E-05	5.40585
4.58826E-05	5.38396
4.59595E-05	5.36725
4.59833E-05	5.3629
0.000046084	5.34454
4.61847E-05	5.32618
4.62855E-05	5.30782
4.64421E-05	5.27927
4.64869E-05	5.27232
4.66884E-05	5.24112
4.68899E-05	5.20993
4.69247E-05	5.20453
4.70913E-05	5.18251
4.72928E-05	5.15587
4.74073E-05	5.14073
4.74943E-05	5.13096
4.76957E-05	5.10832
0.00004789	5.08649
4.78972E-05	5.08582
4.80986E-05	5.06693
4.83001E-05	5.04804
4.83726E-05	5.04125
4.85016E-05	5.0316
0.000048703	5.01654
4.88552E-05	5.00516
4.89045E-05	5.00252
4.90052E-05	4.99711
0.000049106	4.99171
4.92067E-05	4.9863
4.93074E-05	4.98089
4.93378E-05	4.97926
4.94081E-05	4.97728
4.95089E-05	4.97444
4.96096E-05	4.97161
4.97103E-05	4.96877
4.98111E-05	4.96593
4.98204E-05	4.96567
4.99118E-05	4.96614
5.00125E-05	4.96666
5.01133E-05	4.96717
5.01636E-05	4.96743
0.000050214	4.96769
5.02644E-05	4.96795
5.03031E-05	4.96815
5.03147E-05	4.96873
5.03651E-05	4.97121
5.04155E-05	4.97369
5.04658E-05	4.97618
0.000050491	4.97742
5.05162E-05	4.97866
5.05414E-05	4.97991
5.05666E-05	4.98115
5.05917E-05	4.98239
5.06169E-05	4.98363
