E(MeV)	V-nat
1.70683E-04	7.33254E+00
1.70685E-04	7.33089E+00
1.70835E-04	7.19789E+00
1.70982E-04	7.06956E+00
1.70985E-04	7.06774E+00
1.71135E-04	6.95736E+00
1.71281E-04	6.85113E+00
1.71284E-04	6.84928E+00
1.71434E-04	6.75909E+00
1.71659E-04	6.62661E+00
1.71730E-04	6.58559E+00
1.71846E-04	6.52993E+00
1.72071E-04	6.42468E+00
1.72181E-04	6.37437E+00
1.72296E-04	6.33039E+00
1.72521E-04	6.24637E+00
1.72636E-04	6.20412E+00
1.72745E-04	6.17122E+00
1.72970E-04	6.10509E+00
1.73195E-04	6.04027E+00
1.73243E-04	6.02670E+00
1.73420E-04	5.98612E+00
1.73685E-04	5.92650E+00
1.73850E-04	5.89035E+00
1.73991E-04	5.86580E+00
1.74297E-04	5.81409E+00
1.74603E-04	5.76355E+00
1.74764E-04	5.73752E+00
1.74909E-04	5.71945E+00
1.75215E-04	5.68225E+00
1.75521E-04	5.64580E+00
1.75687E-04	5.62649E+00
1.75980E-04	5.60057E+00
1.76446E-04	5.56067E+00
1.76911E-04	5.52185E+00
1.76918E-04	5.52134E+00
1.77222E-04	5.50385E+00
1.77842E-04	5.46905E+00
1.78308E-04	5.44354E+00
1.78778E-04	5.41836E+00
1.78790E-04	5.41774E+00
1.79407E-04	5.39523E+00
1.80037E-04	5.37297E+00
1.80666E-04	5.35126E+00
1.80679E-04	5.35081E+00
1.81300E-04	5.33762E+00
1.81938E-04	5.32442E+00
1.82896E-04	5.30526E+00
1.83858E-04	5.28661E+00
1.84512E-04	5.27425E+00
1.84829E-04	5.27102E+00
1.86123E-04	5.25842E+00
1.87108E-04	5.24924E+00
1.88749E-04	5.23439E+00
1.89755E-04	5.22559E+00
1.90081E-04	5.22433E+00
1.91412E-04	5.21939E+00
1.94113E-04	5.21006E+00
1.96851E-04	5.20119E+00
1.99628E-04	5.19260E+00
2.00692E-04	5.18944E+00
2.02445E-04	5.18781E+00
2.06749E-04	5.18421E+00
2.10695E-04	5.18121E+00
2.11135E-04	5.18134E+00
2.17134E-04	5.18344E+00
2.26455E-04	5.18724E+00
2.36175E-04	5.19157E+00
2.51550E-04	5.19890E+00
2.63635E-04	5.20495E+00
2.69802E-04	5.21055E+00
2.89379E-04	5.22865E+00
3.14755E-04	5.25242E+00
3.51597E-04	5.28742E+00
3.85107E-04	5.31958E+00
4.18878E-04	5.35225E+00
4.53260E-04	5.38571E+00
4.54790E-04	5.38749E+00
4.94671E-04	5.43414E+00
5.44925E-04	5.49317E+00
6.02054E-04	5.56055E+00
6.64088E-04	5.63395E+00
6.76440E-04	5.64862E+00
7.31951E-04	5.72591E+00
8.15225E-04	5.84213E+00
8.76297E-04	5.92753E+00
8.94885E-04	5.95792E+00
9.75207E-04	6.08943E+00
1.04425E-03	6.20263E+00
1.06904E-03	6.25157E+00
1.16214E-03	6.43564E+00
1.17317E-03	6.45750E+00
1.22029E-03	6.57915E+00
1.24167E-03	6.63446E+00
1.26085E-03	6.70200E+00
1.28004E-03	6.76972E+00
1.28483E-03	6.79406E+00
1.30402E-03	6.89157E+00
1.30881E-03	6.91599E+00
1.31840E-03	6.98563E+00
1.32799E-03	7.05538E+00
1.33758E-03	7.15300E+00
1.34237E-03	7.20189E+00
1.34717E-03	7.26519E+00
1.35197E-03	7.32860E+00
1.35676E-03	7.40098E+00
1.36635E-03	7.58098E+00
1.37594E-03	7.81130E+00
1.38553E-03	8.09825E+00
1.40134E-03	8.64800E+00
1.40725E-03	8.85353E+00
1.40756E-03	8.86143E+00
1.41378E-03	9.02107E+00
1.42000E-03	9.10376E+00
