E(MeV)	"U-238(N,TOT)"
1.86786E-04	1.78612
1.86884E-04	1.96589
1.87007E-04	2.26669
1.87125E-04	2.65736
1.87292E-04	3.42441
1.87443E-04	4.41917
1.87585E-04	5.71795
1.87731E-04	7.54879
1.87893E-04	10.4485
1.88033E-04	14.0652
1.88179E-04	19.404
1.88302E-04	25.9132
1.88425E-04	35.2202
1.88537E-04	47.4705
1.88632E-04	62.3637
1.88704E-04	78.2491
1.88777E-04	100.157
1.88839E-04	126.169
1.88898E-04	161.091
1.88953E-04	206.594
1.89001E-04	263.408
1.89045E-04	333.311
1.89095E-04	446.954
1.89134E-04	564.474
1.89175E-04	723.939
1.89217E-04	936.907
1.89274E-04	1319.77
1.89345E-04	1971.55
1.89461E-04	3343.88
1.89564E-04	4532.19
1.89630E-04	5030.22
1.89680E-04	5188.97
1.89746E-04	5059.11
1.89808E-04	4630.44
1.89950E-04	3048.28
1.90042E-04	2045
1.90114E-04	1433.75
1.90176E-04	1056.17
1.90216E-04	866.775
1.90262E-04	703.328
1.90305E-04	583.633
1.90354E-04	483.6
1.90412E-04	396.397
1.90469E-04	334.741
1.90535E-04	282.287
1.90632E-04	229.244
1.90775E-04	178.907
1.90959E-04	138.735
1.91176E-04	109.376
1.91358E-04	92.8574
1.91548E-04	80.2539
1.91760E-04	69.7675
1.91981E-04	61.5757
1.92217E-04	54.8511
1.92575E-04	47.2935
1.92914E-04	42.0661
1.93289E-04	37.6798
1.93774E-04	33.4613
1.94197E-04	30.6795
1.94407E-04	29.6058
1.94581E-04	29.1371
1.94818E-04	28.8256
1.94983E-04	27.9381
1.95247E-04	26.0486
1.95415E-04	25.2711
1.95899E-04	23.7205
1.96897E-04	21.3114
1.97975E-04	19.3907
1.99336E-04	17.5183
2.00047E-04	16.7132
2.00221E-04	16.5965
2.00326E-04	16.6508
2.00460E-04	17.0055
2.00674E-04	17.9551
2.00852E-04	17.7773
2.01075E-04	16.3207
2.01208E-04	15.6991
2.01317E-04	15.4207
2.01492E-04	15.1687
2.02109E-04	14.5212
2.02500E-04	14.142
2.02656E-04	14.0799
2.02787E-04	14.1923
2.03017E-04	14.677
2.03202E-04	14.5281
2.03438E-04	13.5237
2.03577E-04	13.087
2.03705E-04	12.8362
2.04066E-04	12.3564
2.04654E-04	11.5508
2.05216E-04	10.6494
2.05671E-04	9.79256
2.06007E-04	9.04508
2.06330E-04	8.22468
2.06580E-04	7.51371
2.06807E-04	6.81643
2.07034E-04	6.11045
2.07216E-04	5.63393
2.07412E-04	5.49049
2.07507E-04	5.80494
2.07571E-04	6.33987
2.07616E-04	7.02079
2.07662E-04	8.12612
2.07704E-04	9.74344
2.07736E-04	11.6062
2.07773E-04	14.7316
2.07802E-04	18.3348
2.07831E-04	23.1763
2.07869E-04	32.163
2.07902E-04	43.8031
2.07930E-04	56.6259
2.07961E-04	76.4898
2.07989E-04	98.8212
2.08019E-04	130.784
2.08055E-04	180.022
2.08091E-04	244.888
2.08133E-04	340.924
2.08201E-04	550.546
2.08281E-04	869.665
2.08394E-04	1347.79
2.08467E-04	1568.54
2.08539E-04	1645.84
2.08602E-04	1580.57
2.08675E-04	1374.34
2.08812E-04	822.165
2.08884E-04	562.676
2.08923E-04	449.518
2.08965E-04	349.24
2.09004E-04	274.494
2.09040E-04	222.134
2.09078E-04	178.02
2.09110E-04	150.164
2.09140E-04	129.479
2.09178E-04	109.915
2.09218E-04	94.3574
2.09257E-04	83.479
2.09307E-04	73.2957
2.09361E-04	65.3651
2.09446E-04	56.9808
2.09567E-04	49.2787
2.09675E-04	44.4828
2.09809E-04	40.1358
2.09936E-04	37.0399
2.10104E-04	33.9086
2.10284E-04	31.3973
2.10470E-04	29.4012
2.10738E-04	27.1981
2.11034E-04	25.387
2.11297E-04	24.167
2.11706E-04	22.6762
2.12124E-04	21.5286
2.12618E-04	20.5101
2.13170E-04	19.6084
2.13735E-04	18.8814
2.14149E-04	18.4687
2.14294E-04	18.3671
2.14402E-04	18.3827
2.14525E-04	18.6036
2.14726E-04	19.4041
2.14901E-04	19.7044
2.15050E-04	19.1197
2.15243E-04	18.0466
2.15353E-04	17.669
2.15458E-04	17.4645
2.15580E-04	17.33
2.15830E-04	17.147
2.16388E-04	16.8248
2.17260E-04	16.3853
2.17577E-04	16.2622
2.17700E-04	16.2469
2.17820E-04	16.2996
2.17999E-04	16.5783
2.18219E-04	16.8844
2.18367E-04	16.6811
2.18615E-04	16.0404
2.18726E-04	15.8692
2.18841E-04	15.7711
2.18998E-04	15.6951
2.19855E-04	15.3939
2.22496E-04	14.6672
2.25727E-04	13.9063
2.28024E-04	13.3872
2.28430E-04	13.306
2.28581E-04	13.3009
2.28836E-04	13.3535
2.29052E-04	13.3287
2.29333E-04	13.1271
2.29511E-04	13.0319
2.29727E-04	12.9612
2.30712E-04	12.6782
2.31847E-04	12.2884
2.32768E-04	11.8859
2.33433E-04	11.5179
2.34028E-04	11.0902
