E(MeV)	mcnp/Mn55:1
0.004305948	9.536614202
0.004306569	9.504409514
0.004307191	9.48224837
0.004308433	9.456285594
0.004309676	9.440552311
0.004312162	9.415099161
0.004322103	9.320846066
0.004332044	9.229097155
0.00438175	8.787358309
0.004461279	8.13367626
0.004620338	6.992226296
0.004699867	6.49166852
0.004739632	6.256967786
0.004779397	6.032194388
0.004819161	5.817483776
0.004839043	5.714377753
0.004858926	5.615090039
0.004868867	5.567583151
0.004878808	5.522370375
0.004888749	5.480839466
0.004898691	5.446811553
0.004903661	5.435495292
0.004908632	5.431049218
0.004913602	5.440005016
0.004916087	5.453782663
0.004918573	5.477992159
0.004921058	5.518908038
0.0049223	5.549337499
0.004924785	5.64473065
0.004926028	5.720466422
0.004927271	5.828488937
0.004928514	5.991000266
0.004929135	6.106415041
0.004929756	6.259491085
0.004930377	6.472046921
0.004930999	6.783975406
0.00493162	7.264436597
0.004931931	7.603559315
0.004932242	8.035331147
0.004932552	8.584247878
0.004932863	9.285799293
0.004933174	10.17598312
0.004933485	11.2972718
0.004933795	12.69061678
0.004934106	14.41186044
0.004934416	16.49412431
0.004934727	18.98818191
0.004935037	21.90275262
0.004935348	25.26311793
0.004935814	31.06982075
0.00493628	37.62525248
0.004937057	49.19884661
0.004937678	57.57644493
0.004938067	61.71797004
0.004938524	64.97915942
0.004939	66.17144021
0.004939476	64.97179889
0.004939967	61.38775604
0.004940391	56.71823946
0.004940901	49.79092197
0.004941749	37.18352516
0.004942259	30.0877167
0.004942428	27.92924835
0.004942767	23.9540742
0.004942937	22.15068321
0.004943276	18.94463349
0.004943446	17.53056139
0.004943616	16.24163853
0.004943785	15.07947435
0.004943955	14.0243665
0.004944295	12.22942366
0.004944634	10.80860294
0.004944974	9.692558805
0.004945313	8.830035917
0.004945652	8.165616559
0.004945991	7.655084641
0.004946331	7.261067834
0.00494667	6.956895629
0.00494701	6.718260385
0.004947689	6.3772105
0.004948367	6.149022509
0.004949046	5.985679264
0.004950404	5.765991374
0.004951761	5.623782792
0.004953119	5.523749219
0.004954476	5.449622417
0.004955834	5.392457313
0.004958549	5.310139392
0.004961264	5.252836291
0.004963979	5.209487907
0.004966694	5.174941371
0.004972124	5.1216173
0.004977554	5.079702855
0.004982985	5.043670694
0.004988415	5.011350517
0.004993845	4.981458166
0.005004706	4.925806045
0.005015566	4.873444631
0.005026427	4.82315511
0.005048148	4.726519852
0.005069869	4.633500614
0.005113311	4.455176286
0.005156753	4.285610505
0.005200195	4.124190322
0.005287079	3.824463584
0.005373962	3.555312155
0.005460846	3.317737854
0.00554773	3.114077651
0.005634614	2.948368315
0.005721497	2.826893485
0.005808381	2.759031887
0.005895265	2.758591557
0.005982149	2.845514452
0.00602559	2.930588117
0.006069032	3.050194269
0.006112474	3.210267346
0.006155916	3.418522957
0.006199358	3.684633523
0.0062428	4.020414074
0.006264521	4.219079004
0.006286242	4.442965865
0.006297102	4.566639524
0.006302532	4.63283323
0.006307963	4.70383896
0.006313393	4.783991564
0.006316108	4.832435623
0.006318823	4.897360558
0.00632018	4.948522302
0.006320859	4.987874725
0.006321538	5.047231004
0.006322216	5.143462002
0.006322895	5.306037771
0.006323234	5.425476643
0.006323574	5.580326695
0.006323913	5.778040491
0.006324253	6.028924339
0.006324592	6.340882453
0.006324931	6.723528969
0.00632527	7.1845465
0.00632561	7.731032024
0.006325949	8.361676713
0.006326289	9.077502237
0.006326628	9.866052455
0.006326968	10.71747462
0.006327986	13.39192444
0.006328495	14.60401039
0.006329089	15.70569219
0.006329471	16.16321781
0.00633	16.40772534
0.006330276	16.34598305
0.006330525	16.18017058
0.006330874	15.78186163
0.006331153	15.33761086
0.006331572	14.49663628
0.006331992	13.50015317
0.006333109	10.6045778
0.006333668	9.273970433
0.006333947	8.680367284
0.006334227	8.139889676
0.006334506	7.659028356
0.006334786	7.234632128
0.006335065	6.868092134
0.006335344	6.554657374
0.006335623	6.290131779
0.006335903	6.068937975
0.006336462	5.739177459
0.006337021	5.524759455
0.006337579	5.390566789
0.006338138	5.308735344
0.006339256	5.231559792
0.006340373	5.206103838
0.006341491	5.199729413
0.006343726	5.207634495
0.006348196	5.251428803
0.006352666	5.308569997
0.006357136	5.371905014
0.006361606	5.438921494
0.006375016	5.655031499
0.006383956	5.809418177
0.006401837	6.142192734
0.006437597	6.907091676
0.006473358	7.828550629
0.006509118	8.942817518
0.006544879	10.29581485
0.006580639	11.94672982
0.0066164	13.97271221
0.00665216	16.47447675
0.006687921	19.57855342
0.006705801	21.40813123
0.006723681	23.46394093
0.006741561	25.77170988
0.006759442	28.36647496
0.006777322	31.28760299
0.006795202	34.57998741
0.006813082	38.29360921
0.006830963	42.48367293
0.006848843	47.20877589
0.006866724	52.53075791
0.006884604	58.50921403
0.006902485	65.21154911
0.006931151	77.50029977
0.006945484	84.34950749
0.006949067	86.1354069
0.006950859	87.04344149
0.006952651	87.97376712
0.006953546	88.46073476
0.006954442	88.97783755
0.006955338	89.53774117
0.006956234	90.14786169
0.006958474	91.78664295
0.006959146	92.23934579
0.00695965	92.54527681
0.00696	92.73785176
0.006960251	92.86551836
0.006960873	93.14563319
0.006961289	93.30736424
0.006961843	93.4987994
0.006963505	94.02149766
0.006964059	94.2125056
0.006964613	94.42177008
0.006965167	94.65040616
0.006965721	94.89714953
0.006966829	95.43368858
0.006967937	96.0070772
0.006969045	96.59877568
0.006971261	97.80287131
0.006977909	101.4606138
0.007031091	131.2752812
0.007048818	140.2329841
0.007066545	147.8344595
0.007084272	153.5856335
0.007102	157.0691945
0.007126939	157.8544212
0.007151878	154.0678526
0.007176817	146.5841334
0.007201757	136.6592341
0.007251636	114.2060158
0.007276575	103.3149937
0.007301515	93.22468144
0.007322263	85.56673937
0.007343012	78.60594185
0.007363761	72.32001325
0.00738451	66.66730198
0.007405258	61.5956499
0.007426007	57.04871091
0.007446756	52.97174983
0.007467505	49.32143849
0.007509002	43.08103047
0.0075505	37.99788861
0.007591998	33.83248102
0.007633496	30.39334832
0.007674993	27.5351842
0.007716491	25.14767117
0.007757988	23.14745445
0.007799486	21.47134479
0.007840983	20.07210186
0.007882481	18.91482022
0.007923979	17.97491203
0.007965477	17.23649611
0.008006974	16.6916377
0.008048472	16.34008983
0.008089969	16.18976192
0.008131467	16.25771276
0.008172964	16.57206875
0.008214462	17.17503885
0.00825596	18.12742578
0.008297458	19.51543591
0.008338955	21.46068391
0.008380453	24.12765871
0.008401202	25.80330288
0.008421951	27.76522734
0.0084427	30.05461132
0.008463449	32.72729127
0.008484197	35.84953691
0.008504946	39.50031977
0.008525695	43.7719426
0.008546444	48.77164365
0.008567193	54.62129386
0.008587942	61.45487831
0.008608691	69.41173103
0.00862944	78.62720907
0.008652635	90.53065344
0.00867583	104.1729942
0.008745415	151.4871066
0.00876861	166.1356008
0.008791805	177.6920934
0.008815	184.6482104
0.008838195	186.1855171
0.00886139	182.4345607
0.008884585	174.3656841
0.00890778	163.3803057
0.00895417	138.0806035
0.008977365	125.6769755
0.00900056	114.1280892
0.009025192	103.0310035
0.009049825	93.1839954
0.009074458	84.53213047
0.009099091	76.96641839
0.009123723	70.36054109
0.009148356	64.58836481
0.009172989	59.53442212
0.009197622	55.09623274
0.009222254	51.1852793
0.009246887	47.72554286
0.00927152	44.65302898
0.009296153	41.9195318
0.009345419	37.26852718
0.009394685	33.47996076
0.00944395	30.35551749
0.009493216	27.74513268
0.009542482	25.53845029
0.009591748	23.65299946
0.009641013	22.02636342
0.009690279	20.61056433
0.009739545	19.36783201
0.009770336	18.66530988
0.009776494	18.53111051
0.009779573	18.46748446
0.009781112	18.44069259
0.009782652	18.42413349
0.009784191	18.42510175
0.009785731	18.44391464
0.009787271	18.46443822
0.009788233	18.46558154
0.009789	18.45515449
0.009789291	18.44823824
0.009790012	18.42426201
0.009790835	18.38668741
0.009792482	18.29479606
0.009794129	18.20834679
0.009795776	18.14328192
0.009797423	18.09615087
0.00979907	18.05800525
0.009802364	17.98909181
0.009808952	17.85646067
0.009841891	17.22252841
0.009894594	16.29899173
0.009947297	15.47265846
0.01007684	13.77125922
0.01015369	12.93478094
0.01030739	11.54535172
0.01046108	10.43635193
0.01055714	9.848761975
0.01057635	9.739750666
0.01059556	9.634308938
0.01060036	9.609670343
0.01060276	9.599317418
0.01060396	9.59658447
0.01060517	9.599154523
0.01060637	9.614070225
0.01060757	9.653994992
0.01060877	9.736307294
0.01060997	9.87592462
0.01061117	10.07135675
0.01061237	10.29144946
0.01061297	10.39271438
0.01061387	10.5093971
0.0106147	10.56061006
0.010615	10.56329112
0.01061603	10.50719842
0.01061685	10.39939478
0.0106174	10.30502795
0.01061849	10.09483581
0.01061958	9.893430455
0.01062067	9.732116427
0.01062176	9.620282833
0.01062285	9.551258829
0.01062395	9.51165565
0.01062504	9.489792609
0.01062613	9.476701042
0.01062831	9.460185172
0.01063268	9.434839823
0.01065015	9.342148275
0.01068508	9.165030846
0.01078988	8.673554387
0.01084228	8.448479307
0.01085975	8.377826843
0.01086848	8.34522049
0.01087722	8.319575748
0.01088158	8.31997105
0.01088376	8.344256691
0.01088485	8.38381012
0.01088595	8.471683751
0.01088704	8.649420892
0.01088758	8.789191414
0.01088813	8.978077677
0.01088867	9.217007756
0.01088922	9.520926407
0.01088977	9.888644437
0.01089032	10.31776144
0.01089141	11.30783884
0.01089277	12.58440031
