E(MeV)	Hf-179
7.50582E-06	13.5824
7.55821E-06	13.1985
7.58441E-06	13.0178
7.61060E-06	12.8451
7.66373E-06	12.5156
7.71760E-06	12.201
7.74454E-06	12.0543
7.79841E-06	11.7759
7.87998E-06	11.3884
7.96306E-06	11.0238
8.04615E-06	10.7053
8.13080E-06	10.4041
8.18775E-06	10.2152
8.21623E-06	10.1259
8.30166E-06	9.8761
8.38950E-06	9.63574
8.41878E-06	9.5605
8.47734E-06	9.41817
8.56601E-06	9.21573
8.65633E-06	9.02139
8.77676E-06	8.79449
8.90058E-06	8.57792
9.02441E-06	8.37606
9.15173E-06	8.19641
9.27905E-06	8.02795
9.40996E-06	7.86497
9.54087E-06	7.7224
9.67547E-06	7.58398
9.81008E-06	7.45292
9.94848E-06	7.33502
1.00869E-05	7.22294
1.02292E-05	7.11314
1.03715E-05	7.00938
1.04447E-05	6.96093
1.06641E-05	6.82528
1.08898E-05	6.69451
1.11197E-05	6.56896
1.13540E-05	6.46005
1.15926E-05	6.35533
1.18379E-05	6.25354
1.20878E-05	6.15525
1.23425E-05	6.06858
1.26018E-05	5.98533
1.28685E-05	5.90492
1.31400E-05	5.82853
1.34181E-05	5.75622
1.36061E-05	5.71105
1.37967E-05	5.66871
1.39900E-05	5.62968
1.41860E-05	5.59467
1.43847E-05	5.5645
1.44829E-05	5.55258
1.45359E-05	5.5446
1.46870E-05	5.52638
1.48424E-05	5.51329
1.49978E-05	5.50706
1.51014E-05	5.50736
1.51017E-05	5.50737
1.52080E-05	5.50777
1.53145E-05	5.51364
1.54210E-05	5.52602
1.55275E-05	5.54611
1.55278E-05	5.54618
1.56097E-05	5.56337
1.56918E-05	5.58706
1.57740E-05	5.61834
1.58531E-05	5.65709
1.58561E-05	5.65835
1.59383E-05	5.70269
1.60182E-05	5.75815
1.60707E-05	5.80236
1.61232E-05	5.85367
1.61758E-05	5.91316
1.61808E-05	5.91984
1.62283E-05	5.97762
1.62808E-05	6.0527
1.63333E-05	6.14063
1.63517E-05	6.17659
1.63858E-05	6.24009
1.64243E-05	6.32253
1.64627E-05	6.41566
