E(MeV)	"AL-27(N,TOT)"
5.93046E-03	13.3422
5.93124E-03	12.692
5.93132E-03	12.6199
5.93210E-03	12.0245
5.93219E-03	11.9585
5.93297E-03	11.4121
5.93306E-03	11.3516
5.93383E-03	10.8491
5.93392E-03	10.7934
5.93470E-03	10.3392
5.93522E-03	10.0371
5.93556E-03	9.85755
5.93643E-03	9.40983
5.93652E-03	9.36518
5.93738E-03	8.96537
5.93781E-03	8.76606
5.93842E-03	8.5131
5.93890E-03	8.31496
5.93946E-03	8.10195
5.94019E-03	7.82424
5.94050E-03	7.7208
5.94149E-03	7.38209
5.94188E-03	7.26181
5.94279E-03	6.98221
5.94318E-03	6.87297
5.94404E-03	6.63108
5.94448E-03	6.52021
5.94525E-03	6.3213
5.94577E-03	6.20168
5.94707E-03	5.9036
5.94859E-03	5.59614
5.94889E-03	5.53484
5.94988E-03	5.35534
5.95071E-03	5.20749
5.95118E-03	5.13083
5.95248E-03	4.92239
5.95252E-03	4.91546
5.95378E-03	4.73411
5.95421E-03	4.67178
5.95572E-03	4.47605
5.95637E-03	4.39248
5.95767E-03	4.24392
5.95854E-03	4.14522
5.95918E-03	4.07913
5.96070E-03	3.92539
5.96091E-03	3.9057
5.96264E-03	3.7487
5.96286E-03	3.72913
5.96438E-03	3.60588
5.96502E-03	3.55321
5.96611E-03	3.47392
5.96719E-03	3.39486
5.96784E-03	3.35187
5.96935E-03	3.25184
5.96957E-03	3.23913
5.97216E-03	3.08722
5.97259E-03	3.06199
5.97432E-03	2.97392
5.97584E-03	2.8971
5.97649E-03	2.86819
5.97865E-03	2.77212
5.97908E-03	2.75297
5.98081E-03	2.6853
5.98233E-03	2.62627
5.98298E-03	2.60381
5.98514E-03	2.52917
5.98557E-03	2.51429
5.98730E-03	2.46156
5.98925E-03	2.40241
5.98947E-03	2.39669
5.99228E-03	2.32251
5.99379E-03	2.2827
5.99509E-03	2.25324
5.99790E-03	2.18962
5.99833E-03	2.17987
6.00071E-03	2.13314
6.00288E-03	2.09079
6.00353E-03	2.0794
6.00590E-03	2.03776
6.00634E-03	2.03107
6.00915E-03	1.98778
6.01196E-03	1.9446
6.01531E-03	1.90032
6.01699E-03	1.87824
6.01867E-03	1.85886
6.02202E-03	1.82021
6.02537E-03	1.78681
6.02872E-03	1.75351
6.03208E-03	1.72499
6.03543E-03	1.69657
6.03710E-03	1.68467
6.04203E-03	1.64988
6.04527E-03	1.62702
6.04689E-03	1.61765
6.05176E-03	1.58964
6.05500E-03	1.57103
6.05663E-03	1.5633
6.06149E-03	1.54016
6.06474E-03	1.52479
6.06636E-03	1.51849
6.07123E-03	1.49965
6.07609E-03	1.48088
6.07771E-03	1.47463
6.08096E-03	1.46455
6.08745E-03	1.44443
6.09069E-03	1.43441
6.09394E-03	1.42619
6.10043E-03	1.40979
6.10367E-03	1.40162
6.10691E-03	1.39515
6.11340E-03	1.38224
6.12043E-03	1.36831
6.12422E-03	1.36083
6.12800E-03	1.35515
6.13557E-03	1.34386
6.14314E-03	1.33259
6.14693E-03	1.32697
6.15017E-03	1.32332
6.15991E-03	1.31239
6.16964E-03	1.3015
6.17289E-03	1.29788
6.17937E-03	1.29234
6.18911E-03	1.28407
6.19884E-03	1.27581
6.20857E-03	1.26968
6.21831E-03	1.26356
6.22804E-03	1.25746
6.23777E-03	1.25138
6.25075E-03	1.24572
6.26373E-03	1.24007
6.27671E-03	1.23445
6.28969E-03	1.22885
6.30266E-03	1.22504
6.31564E-03	1.22125
6.32862E-03	1.21747
6.34160E-03	1.2137
6.35457E-03	1.20993
6.37188E-03	1.20669
6.38918E-03	1.20346
6.40649E-03	1.20023
6.42379E-03	1.19702
6.44109E-03	1.19381
6.45840E-03	1.19061
6.47570E-03	1.18865
6.49300E-03	1.18669
6.51896E-03	1.18375
6.54492E-03	1.18083
6.57087E-03	1.17791
6.59683E-03	1.175
6.61413E-03	1.17306
6.62278E-03	1.17247
6.66604E-03	1.16951
6.70065E-03	1.16715
6.73526E-03	1.16479
6.76987E-03	1.16244
6.80880E-03	1.1598
6.84773E-03	1.15716
6.87369E-03	1.1554
6.89964E-03	1.15365
6.92560E-03	1.15248
6.97751E-03	1.15014
7.02942E-03	1.1478
7.08133E-03	1.14547
7.11594E-03	1.14392
7.18516E-03	1.14081
7.25437E-03	1.13771
7.32960E-03	1.13434
7.40483E-03	1.13098
7.45499E-03	1.12873
7.50514E-03	1.12649
7.55529E-03	1.12469
7.65560E-03	1.12109
7.75591E-03	1.1175
7.90637E-03	1.11211
8.05683E-03	1.10672
8.25745E-03	1.09954
8.45806E-03	1.09236
8.71976E-03	1.083
8.98428E-03	1.07353
9.32585E-03	1.06132
