E(MeV)	j33-k300/In115K3:1
4.71878E-06	12.682
4.72371E-06	12.6371
4.72863E-06	12.5921
4.73521E-06	12.5322
4.74178E-06	12.4723
4.74976E-06	12.3995
4.75587E-06	12.3437
4.76853E-06	12.245
4.77557E-06	12.1901
4.78262E-06	12.1352
4.78731E-06	12.0986
4.792E-06	12.0619
4.7967E-06	12.0253
4.80139E-06	11.9887
4.80609E-06	11.9521
4.81078E-06	11.9155
4.81547E-06	11.8789
4.81691E-06	11.8678
4.82017E-06	11.8457
4.82486E-06	11.8141
4.82956E-06	11.7824
4.83425E-06	11.7507
4.83895E-06	11.7191
4.84364E-06	11.6874
4.84833E-06	11.6557
4.85303E-06	11.6241
4.85772E-06	11.5924
4.86242E-06	11.5607
4.86711E-06	11.529
4.8718E-06	11.4974
4.8765E-06	11.4657
4.87794E-06	11.456
4.88119E-06	11.4371
4.88589E-06	11.4098
4.89058E-06	11.3825
4.89527E-06	11.3553
4.90232E-06	11.3144
4.90936E-06	11.2735
4.9164E-06	11.2326
4.92344E-06	11.1917
4.93048E-06	11.1508
4.93752E-06	11.1099
4.94222E-06	11.0826
4.9516E-06	11.028
4.95423E-06	11.0128
4.96099E-06	10.9791
4.97038E-06	10.9323
4.97977E-06	10.8856
4.98916E-06	10.8388
4.99854E-06	10.792
5.00793E-06	10.7453
5.02201E-06	10.6751
5.03053E-06	10.6327
5.0361E-06	10.6092
5.05206E-06	10.5417
5.0652E-06	10.4861
5.07834E-06	10.4305
5.09806E-06	10.3471
5.11777E-06	10.2637
5.13225E-06	10.2025
5.13749E-06	10.1838
5.16119E-06	10.0995
5.18232E-06	10.0243
5.20344E-06	9.94914
5.23398E-06	9.84049
5.23513E-06	9.83707
5.26681E-06	9.74276
5.2985E-06	9.64844
5.33136E-06	9.55064
5.3594E-06	9.46716
5.36656E-06	9.44867
5.4135E-06	9.32743
5.43396E-06	9.27459
5.46044E-06	9.21577
5.50738E-06	9.11149
5.57427E-06	8.96291
5.58308E-06	8.94334
5.64117E-06	8.83709
5.73035E-06	8.67394
5.73221E-06	8.67055
5.81954E-06	8.53825
5.88133E-06	8.44465
5.93455E-06	8.37866
6.04687E-06	8.23937
6.07537E-06	8.21112
6.21241E-06	8.07525
