E(MeV)	"ENDF/B-VIII.b5: SE-80(N,TOT)"
1.98086E-03	1191.45
1.98168E-03	1168.67
1.98488E-03	1070.04
1.98808E-03	969.245
1.99009E-03	906.012
1.99210E-03	846.971
1.99310E-03	817.459
1.99411E-03	790.003
1.99511E-03	762.555
1.99611E-03	736.916
1.99712E-03	711.286
1.99812E-03	687.497
1.99913E-03	663.717
2.00013E-03	641.746
2.00114E-03	619.784
2.00214E-03	599.558
2.00315E-03	579.34
2.00415E-03	560.758
2.00515E-03	542.184
2.00616E-03	525.134
2.00716E-03	508.091
2.00817E-03	492.456
2.00917E-03	476.827
2.01018E-03	462.489
2.01118E-03	448.157
2.01218E-03	435.004
2.01319E-03	421.856
2.01419E-03	409.781
2.01520E-03	397.712
2.01620E-03	386.617
2.01721E-03	375.527
2.01821E-03	365.322
2.01922E-03	355.12
2.02022E-03	345.722
2.02122E-03	336.326
2.02223E-03	327.659
2.02323E-03	318.994
2.02424E-03	310.99
2.02524E-03	302.988
2.02625E-03	295.723
2.02826E-03	281.199
2.03077E-03	264.849
2.03328E-03	249.946
2.03579E-03	236.331
2.03830E-03	223.865
2.04081E-03	212.425
2.04332E-03	201.906
2.04583E-03	192.399
2.04709E-03	187.648
2.04834E-03	183.423
2.05085E-03	174.977
2.05337E-03	167.439
2.05462E-03	163.67
2.05588E-03	160.292
2.05839E-03	153.538
2.06215E-03	144.423
2.06592E-03	136.194
2.06843E-03	131.148
2.06956E-03	129.071
2.07295E-03	122.843
2.07747E-03	115.42
2.08143E-03	109.611
2.08274E-03	107.676
2.08538E-03	104.241
2.08802E-03	100.808
2.08919E-03	99.4336
2.09273E-03	95.3118
2.09743E-03	90.3293
2.10073E-03	87.184
2.10238E-03	85.6118
2.10567E-03	82.7361
2.10732E-03	81.2987
2.11062E-03	78.7
2.11313E-03	76.7206
2.11564E-03	74.924
2.11815E-03	73.1279
2.12066E-03	71.4818
2.12317E-03	69.8361
2.12568E-03	68.3512
2.13070E-03	65.3822
2.13573E-03	62.7609
2.13824E-03	61.4506
2.14075E-03	60.2786
2.14577E-03	57.9351
2.15079E-03	55.8432
2.15330E-03	54.7975
2.15581E-03	53.8533
2.16084E-03	51.9653
2.16586E-03	50.2642
