E(MeV)	JEFF-3.3:	"HF-176(N,TOT)"
8.36890E-06	232.103	
8.37017E-06	230.892	
8.38370E-06	218.805	
8.39085E-06	212.833	
8.39723E-06	207.66	
8.41076E-06	197.388	
8.41279E-06	195.936	
8.42429E-06	187.977	
8.43505E-06	180.969	
8.43782E-06	179.216	
8.45203E-06	170.751	
8.45730E-06	167.798	
8.46692E-06	162.557	
8.47956E-06	156.086	
8.48181E-06	154.96	
8.49670E-06	147.963	
8.50181E-06	145.729	
8.51904E-06	138.385	
8.52407E-06	136.416	
8.54138E-06	129.794	
8.54653E-06	127.977	
8.56372E-06	122.079	
8.57662E-06	117.985	
8.58637E-06	114.983	
8.60671E-06	109.182	
8.60902E-06	108.541	
8.63168E-06	102.712	
8.63680E-06	101.483	
8.65433E-06	97.3991	
8.66710E-06	94.6187	
8.67699E-06	92.5266	
8.69762E-06	88.4377	
8.69985E-06	88.0069	
8.72283E-06	83.851	
8.72814E-06	82.9476	
8.74580E-06	80.0398	
8.76877E-06	76.4799	
8.77391E-06	75.7284	
8.79174E-06	73.2185	
8.82033E-06	69.4547	
8.82259E-06	69.1671	
8.85365E-06	65.5055	
8.86675E-06	64.0676	
8.88472E-06	62.1633	
8.91338E-06	59.328	
8.91578E-06	59.0989	
8.94706E-06	56.3024	
8.96046E-06	55.1792	
8.97856E-06	53.7116	
9.00753E-06	51.5064	
9.01006E-06	51.3197	
9.04157E-06	49.1351	
9.05505E-06	48.2531	
9.07329E-06	47.1031	
9.10523E-06	45.2021	
9.11870E-06	44.4438	
9.13718E-06	43.445	
9.16913E-06	41.8101	
9.18280E-06	41.154	
9.21750E-06	39.5553	
9.24735E-06	38.2803	
9.26609E-06	37.51	
9.31235E-06	35.7437	
9.31468E-06	35.6579	
9.36396E-06	33.9703	
9.37781E-06	33.5274	
9.41324E-06	32.445	
9.46275E-06	31.0294	
9.47692E-06	30.6483	
9.51273E-06	29.7354	
9.56271E-06	28.5367	
9.57697E-06	28.2139	
9.61315E-06	27.4365	
9.66383E-06	26.4089	
9.67795E-06	26.1379	
9.71451E-06	25.4707	
9.76591E-06	24.5824	
9.78035E-06	24.3454	
9.81730E-06	23.7681	
9.88372E-06	22.7903	
9.88631E-06	22.7541	
9.95581E-06	21.8469	
1.00232E-05	21.0213	
1.00258E-05	20.9909	
1.00963E-05	20.2263	
1.01646E-05	19.5274	
1.01672E-05	19.5016	
1.02387E-05	18.8504	
1.03080E-05	18.2528	
1.03107E-05	18.2307	
1.03832E-05	17.671	
1.04534E-05	17.1555	
1.04561E-05	17.1364	
1.05296E-05	16.6513	
1.06009E-05	16.2031	
1.06037E-05	16.1867	
1.06782E-05	15.7682	
1.07533E-05	15.3657	
1.08257E-05	14.9934	
1.08288E-05	14.9787	
1.09050E-05	14.6328	
1.09816E-05	14.299	
1.10559E-05	13.9914	
1.10977E-05	13.8311	
1.12148E-05	13.4065	
1.12904E-05	13.1469	
1.13331E-05	13.0108	
1.14530E-05	12.6483	
1.15305E-05	12.4255	
1.15741E-05	12.3103	
1.16962E-05	12.0031	
1.18196E-05	11.7073	
1.18581E-05	11.6188	
1.19446E-05	11.438	
1.20709E-05	11.1856	
1.21951E-05	10.9474	
1.21983E-05	10.9418	
1.23269E-05	10.7252	
1.24573E-05	10.514	
1.25416E-05	10.3825	
1.25890E-05	10.3154	
1.27666E-05	10.0743	
1.29467E-05	9.84095	
1.29883E-05	9.78936	
1.31294E-05	9.63195	
1.33146E-05	9.43324	
1.34516E-05	9.29189	
1.35025E-05	9.24472	
1.36929E-05	9.07483	
1.38861E-05	8.90876	
1.40290E-05	8.78998	
1.40820E-05	8.75087	
1.42807E-05	8.60932	
1.44822E-05	8.47032	
1.46865E-05	8.33348	
1.47337E-05	8.30272	
1.48937E-05	8.21049	
1.51038E-05	8.09276	
1.53169E-05	7.97648	
1.54745E-05	7.89301	
1.56418E-05	7.81442	
1.59744E-05	7.66377	
1.63132E-05	7.51519	
1.63665E-05	7.49252	
1.66601E-05	7.38212	
1.70135E-05	7.25345	
1.73752E-05	7.12478	
1.74310E-05	7.10537	
1.77438E-05	7.00879	
1.81210E-05	6.89516	
1.85054E-05	6.78188	
1.86958E-05	6.72687	
1.88989E-05	6.67459	
1.94359E-05	6.53943	
1.99882E-05	6.40373	
2.03353E-05	6.32044	
2.07001E-05	6.24105	
2.12883E-05	6.11588	
2.18932E-05	5.98954	
2.25153E-05	5.86184	
2.25888E-05	5.84699	
2.31551E-05	5.73805	
2.39585E-05	5.5861	
2.40312E-05	5.5725	
2.49637E-05	5.4001	
2.56731E-05	5.27133	
2.64026E-05	5.14098	
2.71528E-05	5.00912	
2.76761E-05	4.91886	
2.79244E-05	4.87276	
2.87179E-05	4.72838	
2.93270E-05	4.61958	
2.96843E-05	4.55696	
2.99506E-05	4.50572	
3.05859E-05	4.38586	
3.12362E-05	4.26594	
3.13952E-05	4.23723	
3.16769E-05	4.18096	
3.21238E-05	4.09324	
3.27429E-05	3.97515	
3.28052E-05	3.96201	
3.32680E-05	3.86707	
3.37374E-05	3.77331	
3.39108E-05	3.73979	
3.42133E-05	3.67506	
3.46960E-05	3.57531	
3.48744E-05	3.53994	
3.51855E-05	3.47237	
3.56141E-05	3.38351	
3.56819E-05	3.36821	
3.60595E-05	3.28676	
3.63714E-05	3.22257	
3.64406E-05	3.20689	
3.68253E-05	3.12411	
3.71429E-05	3.05992	
3.72136E-05	3.0442	
3.76073E-05	2.96248	
3.77997E-05	2.92593	
3.80048E-05	2.88308	
3.84060E-05	2.80714	
3.84678E-05	2.7967	
3.86760E-05	2.75783	
3.89478E-05	2.71208	
3.90105E-05	2.70282	
3.92216E-05	2.66846	
3.94973E-05	2.62999	
3.96301E-05	2.61497	
3.97750E-05	2.59674	
4.00545E-05	2.57002	
4.03361E-05	2.55291	
4.04712E-05	2.55006	
4.06196E-05	2.54691	
4.09052E-05	2.5546	
4.10422E-05	2.56471	
4.11203E-05	2.57133	
4.13312E-05	2.59905	
4.13375E-05	2.59996	
4.15480E-05	2.6415	
4.15547E-05	2.64292	
4.17309E-05	2.69064	
4.17739E-05	2.70292	
4.18681E-05	2.73646	
4.19780E-05	2.77715	
4.19941E-05	2.78337	
4.20848E-05	2.82562	
4.21703E-05	2.8667	
4.22143E-05	2.88851	
4.22557E-05	2.91266	
4.23225E-05	2.95256	
4.23893E-05	2.99339	
4.24167E-05	3.0105	
4.24427E-05	3.02932	
4.24975E-05	3.06959	
4.25442E-05	3.10457	
4.25910E-05	3.14014	
4.26190E-05	3.16184	
4.26324E-05	3.1735	
4.26724E-05	3.20896	
4.27058E-05	3.2389	
4.27365E-05	3.26676	
4.27579E-05	3.28633	
4.27793E-05	3.30608	
4.27846E-05	3.31157	
4.28060E-05	3.3337	
4.28300E-05	3.35881	
4.28487E-05	3.37848	
4.28674E-05	3.39829	
4.28861E-05	3.41824	
4.28995E-05	3.43258	
4.29128E-05	3.44699	
4.29262E-05	3.46147	
4.29395E-05	3.47603	
4.29502E-05	3.48774	
4.29556E-05	3.49429	
4.29663E-05	3.50744	
4.29769E-05	3.52064	
4.29870E-05	3.53307	
4.29963E-05	3.5447	
4.30057E-05	3.55638	
4.30150E-05	3.5681	
4.30264E-05	3.58238	
4.30364E-05	3.59504	
4.30464E-05	3.60774	
4.30544E-05	3.61793	
4.30624E-05	3.62816	
4.30701E-05	3.63799	
4.30771E-05	3.647	
4.30841E-05	3.65602	
4.30905E-05	3.66421	
4.30985E-05	3.67459	
4.31058E-05	3.68413	
4.31125E-05	3.69282	
4.31192E-05	3.70154	
4.31259E-05	3.71028	
4.31325E-05	3.71905	
4.31392E-05	3.72784	
4.31409E-05	3.73004	
4.31432E-05	3.73313	
4.31456E-05	3.73657	
4.31511E-05	3.7447	
4.31586E-05	3.75581	
4.31653E-05	3.76571	
4.31719E-05	3.77563	
4.31786E-05	3.78559	
4.31853E-05	3.79556	
4.31920E-05	3.80556	
4.31986E-05	3.81559	
4.32067E-05	3.82766	
4.32147E-05	3.83977	
4.32217E-05	3.85039	
4.32287E-05	3.86104	
4.32360E-05	3.87223	
4.32441E-05	3.88448	
4.32521E-05	3.89676	
4.32614E-05	3.91115	
4.32714E-05	3.92662	
4.32814E-05	3.94215	
4.32895E-05	3.95462	
4.32975E-05	3.96714	
4.33095E-05	3.98599	
4.33188E-05	4.00071	
4.33242E-05	4.00917	
4.33295E-05	4.01847	
4.33402E-05	4.03716	
4.33509E-05	4.05593	
4.33629E-05	4.07713	
4.33763E-05	4.10082	
4.33896E-05	4.12462	
4.34030E-05	4.14856	
4.34177E-05	4.17505	
4.34337E-05	4.20412	
4.34497E-05	4.23339	
4.34658E-05	4.26286	
4.34845E-05	4.2975	
4.34845E-05	4.2975	
4.35005E-05	4.33018	
4.35165E-05	4.36307	
4.35379E-05	4.40726	
