MeV	Cl-nat
7.13901E-03	1.65876
7.16660E-03	1.49673
7.18610E-03	1.39234
7.21861E-03	1.23506
7.24608E-03	1.11758
7.25000E-03	1.10577
7.25400E-03	1.10155
7.25559E-03	1.10136
7.49583E-03	1.14939
7.74468E-03	1.19915
7.75000E-03	1.20437
7.75578E-03	1.22047
7.78082E-03	1.30891
7.83504E-03	1.52301
7.87596E-03	1.7062
7.90679E-03	1.85825
7.95326E-03	2.1123
7.99416E-03	2.36494
7.99708E-03	2.38827
8.00000E-03	2.42332
8.00308E-03	2.47792
8.00822E-03	2.59291
8.01644E-03	2.79565
8.02465E-03	3.01426
8.03287E-03	3.25176
8.04386E-03	3.60075
8.05118E-03	3.84666
8.06217E-03	4.25234
8.06926E-03	4.53729
8.07636E-03	4.84511
8.08581E-03	5.28011
8.10000E-03	5.98741
8.10873E-03	6.36702
8.11746E-03	6.73843
8.13055E-03	7.34539
8.14162E-03	7.89873
8.14833E-03	8.25153
8.16174E-03	9.01181
8.18099E-03	10.225
8.19061E-03	10.8885
8.20412E-03	11.8843
8.21577E-03	12.8264
8.23130E-03	14.1868
8.24377E-03	15.3985
8.24688E-03	15.7523
8.24922E-03	16.0938
8.25000E-03	16.2411
8.25156E-03	16.5365
8.25312E-03	16.8881
8.25623E-03	17.69
8.26141E-03	19.1861
8.26658E-03	20.82
8.27175E-03	22.5651
8.27692E-03	24.4587
8.28209E-03	26.5183
8.28786E-03	29.0347
8.29494E-03	32.3296
8.29697E-03	33.1339
8.29848E-03	33.5685
8.30000E-03	33.7978
8.30082E-03	33.8268
8.30218E-03	33.7333
8.30381E-03	33.4246
8.30654E-03	32.6201
8.31525E-03	29.6678
8.32397E-03	26.9603
8.33050E-03	25.1016
8.33486E-03	23.9276
8.34207E-03	22.1149
8.34928E-03	20.4386
8.35649E-03	18.89
8.36370E-03	17.461
8.37079E-03	16.1625
8.37788E-03	14.9615
8.38496E-03	13.853
8.39205E-03	12.8426
8.40151E-03	11.5845
8.40960E-03	10.6126
8.41567E-03	9.93292
8.42175E-03	9.30098
8.42579E-03	8.9008
8.43389E-03	8.15391
8.44091E-03	7.55774
8.44793E-03	7.00744
8.45495E-03	6.50326
8.46198E-03	6.02626
8.46911E-03	5.58094
8.47623E-03	5.17495
8.48574E-03	4.67085
8.49287E-03	4.3313
8.49644E-03	4.1766
8.49881E-03	4.09151
8.50000E-03	4.06054
8.50095E-03	4.03573
8.50381E-03	3.9921
8.50762E-03	3.96467
8.56095E-03	3.71242
8.66866E-03	3.25721
8.75033E-03	2.95288
8.87429E-03	2.54907
8.96857E-03	2.28705
8.98645E-03	2.23961
9.00000E-03	2.20364
9.24001E-03	2.15212
9.25395E-03	2.14913
9.50000E-03	2.1
9.74679E-03	2.05079
1.00000E-02	2.0003
1.04663E-02	2.0002
1.08303E-02	2.00014
1.11116E-02	2.00009
1.15473E-02	2.00003
1.19828E-02	1.99998
1.20000E-02	2.00122
1.24900E-02	2.36648
1.29212E-02	2.73297
1.30000E-02	2.79641
1.32293E-02	2.52354
1.34284E-02	2.30767
1.34907E-02	2.24824
1.37112E-02	2.03808
1.40000E-02	1.80109
1.44885E-02	1.70253
1.44934E-02	1.70483
1.44967E-02	1.71502
1.44992E-02	1.73298
1.45000E-02	1.74253
1.45012E-02	1.75604
1.45035E-02	1.79299
1.45070E-02	1.86419
1.45116E-02	1.97485
1.45186E-02	2.15543
1.45255E-02	2.35282
1.45325E-02	2.56818
1.45393E-02	2.80027
1.45461E-02	3.04725
1.45528E-02	3.31826
1.45595E-02	3.61252
1.45662E-02	3.92913
1.45729E-02	4.27438
1.45777E-02	4.54186
1.45849E-02	4.97643
1.45945E-02	5.60238
1.45982E-02	5.81467
1.46006E-02	5.92896
1.46042E-02	6.05404
1.46090E-02	6.1649
1.46499E-02	6.93326
1.46906E-02	7.80175
1.46953E-02	7.92783
1.46984E-02	8.05549
1.47000E-02	8.14645
1.47010E-02	8.20625
1.47041E-02	8.44117
1.47082E-02	8.82021
1.47144E-02	9.4572
1.47206E-02	10.146
1.47268E-02	10.8846
1.47329E-02	11.6773
1.47401E-02	12.6679
1.47472E-02	13.7484
1.47544E-02	14.927
1.47615E-02	16.1863
1.47687E-02	17.5524
1.47747E-02	18.7903
1.47819E-02	20.4092
1.47937E-02	23.2489
1.47964E-02	23.8076
1.47982E-02	24.085
1.48000E-02	24.2594
1.48020E-02	24.3223
1.48041E-02	24.255
1.48068E-02	24.0194
1.48109E-02	23.517
1.48218E-02	22.0569
1.48328E-02	20.6979
1.48481E-02	18.9276
1.48613E-02	17.5412
1.48788E-02	15.8417
1.48935E-02	14.5453
1.48984E-02	14.0445
1.49000E-02	13.8387
1.49020E-02	13.5778
1.49082E-02	12.6669
1.49155E-02	11.5631
1.49222E-02	10.6294
1.49285E-02	9.81157
1.49349E-02	9.05763
1.49412E-02	8.36187
1.49476E-02	7.72116
1.49542E-02	7.1121
1.49613E-02	6.50655
1.49685E-02	5.94821
1.49756E-02	5.43963
1.49827E-02	4.97795
1.49898E-02	4.55582
1.49943E-02	4.3189
1.49972E-02	4.18359
1.49994E-02	4.10093
1.50000E-02	4.08507
1.50017E-02	4.03717
1.50046E-02	3.97892
