E(MeV)	mcnp/Pb-206:1
3.35504E-03	13.1218
3.35511E-03	13.2973
3.35517E-03	13.4728
3.35523E-03	13.6484
3.35523E-03	13.6491
3.35530E-03	13.8553
3.35536E-03	14.0647
3.35543E-03	14.2787
3.35547E-03	14.4099
3.35549E-03	14.5042
3.35556E-03	14.7478
3.35563E-03	14.9916
3.35569E-03	15.2355
3.35570E-03	15.2767
3.35575E-03	15.4807
3.35581E-03	15.7304
3.35588E-03	15.9802
3.35594E-03	16.2302
3.35594E-03	16.2342
3.35600E-03	16.5008
3.35606E-03	16.7902
3.35613E-03	17.089
3.35620E-03	17.3882
3.35625E-03	17.6222
3.35626E-03	17.6923
3.35633E-03	18.0129
3.35640E-03	18.3243
3.35646E-03	18.6168
3.35652E-03	18.9098
3.35658E-03	19.2032
3.35664E-03	19.497
3.35670E-03	19.7913
3.35672E-03	19.8656
3.35677E-03	20.111
3.35683E-03	20.434
3.35690E-03	20.7578
3.35696E-03	21.0823
3.35703E-03	21.4076
3.35709E-03	21.7242
3.35715E-03	22.037
3.35721E-03	22.3506
3.35727E-03	22.6653
3.35733E-03	22.9809
3.35740E-03	23.3034
3.35746E-03	23.6384
3.35753E-03	23.9748
3.35759E-03	24.3126
3.35766E-03	24.6519
3.35772E-03	24.9927
3.35779E-03	25.3524
3.35786E-03	25.7139
3.35793E-03	26.0772
3.35802E-03	26.5646
3.35809E-03	26.9323
3.35812E-03	27.1394
3.35817E-03	27.3689
3.35825E-03	27.7973
3.35834E-03	28.2283
3.35846E-03	28.8685
3.35858E-03	29.4914
3.35859E-03	29.5852
3.35873E-03	30.2597
3.35891E-03	31.095
3.35905E-03	31.7111
3.35914E-03	32.0946
3.35918E-03	32.2439
3.35931E-03	32.7042
3.35938E-03	32.922
3.35944E-03	33.1012
3.35953E-03	33.3278
3.35961E-03	33.5283
3.35962E-03	33.5409
3.35970E-03	33.6735
3.35979E-03	33.7986
3.35984E-03	33.8671
3.35990E-03	33.8935
3.36000E-03	33.9342
3.36009E-03	33.8869
3.36017E-03	33.8319
3.36023E-03	33.7849
3.36026E-03	33.7489
3.36034E-03	33.5957
3.36043E-03	33.4305
3.36047E-03	33.3516
3.36052E-03	33.2165
3.36065E-03	32.831
3.36070E-03	32.6657
3.36077E-03	32.4012
3.36094E-03	31.7787
3.36094E-03	31.7749
3.36125E-03	30.3566
3.36138E-03	29.7134
3.36150E-03	29.0965
3.36156E-03	28.7802
3.36162E-03	28.4603
3.36170E-03	28.0223
3.36179E-03	27.5635
3.36188E-03	27.1078
3.36196E-03	26.655
3.36205E-03	26.2052
3.36213E-03	25.778
3.36219E-03	25.4785
3.36221E-03	25.3499
3.36229E-03	24.9158
3.36236E-03	24.5919
3.36242E-03	24.2579
3.36248E-03	23.9194
3.36255E-03	23.5824
3.36261E-03	23.2467
3.36268E-03	22.9123
3.36275E-03	22.5734
3.36281E-03	22.2246
3.36288E-03	21.8769
3.36295E-03	21.5303
3.36302E-03	21.1848
3.36309E-03	20.8402
