E(MeV)	B10 Tot			
1.00014E+00	2.53715			
1.00014E+00	2.53714			
1.00014E+00	2.53714			
1.00015E+00	2.53713			
1.00015E+00	2.53713			
1.00015E+00	2.53713			
1.00015E+00	2.53712			
1.00017E+00	2.5371			
1.00022E+00	2.53701			
1.00044E+00	2.53665			
1.00088E+00	2.53593			
1.01411E+00	2.51432			
1.05000E+00	2.45597			
1.09385E+00	2.38979			
1.10000E+00	2.3805			
1.10097E+00	2.37912			
1.12339E+00	2.3472			
1.15000E+00	2.30739			
1.19823E+00	2.23793			
1.20000E+00	2.23538			
1.20159E+00	2.23319			
1.21693E+00	2.21208			
1.25000E+00	2.16675			
1.26764E+00	2.14356			
1.30000E+00	2.10404			
1.35000E+00	2.04892			
1.40000E+00	2.01523			
1.40988E+00	2.00887			
1.45000E+00	1.98975			
1.50000E+00	1.96873			
1.55000E+00	1.97184			
1.60000E+00	2.03534			
1.62000E+00	2.06977			
1.63143E+00	2.08969			
1.65000E+00	2.12247			
1.66000E+00	2.13985			
1.68000E+00	2.17935			
1.70000E+00	2.22226			
1.72000E+00	2.26133			
1.74000E+00	2.29564			
1.75000E+00	2.3096			
1.76000E+00	2.31933			
1.78000E+00	2.32642			
1.80000E+00	2.31959			
1.82000E+00	2.30268			
1.83770E+00	2.28161			
1.85000E+00	2.26695			
1.90000E+00	2.19923			
1.91340E+00	2.17988			
1.91500E+00	2.17759			
1.91545E+00	2.17693			
1.93000E+00	2.15517			
1.94000E+00	2.14156			
1.95000E+00	2.12944			
1.96000E+00	2.11612			
1.96376E+00	2.11144			
1.98000E+00	2.0913			
2.00000E+00	2.06825			
2.01411E+00	2.05134			
2.04000E+00	2.02012			
2.05000E+00	2.00934			
2.10000E+00	1.95626			
2.10825E+00	1.94842			
2.12000E+00	1.93719			
2.15000E+00	1.91405			
2.17000E+00	1.90243			
2.18000E+00	1.89774			
2.20000E+00	1.89357			
2.22000E+00	1.89377			
2.24000E+00	1.9007			
2.25000E+00	1.90654			
2.30000E+00	1.94184			
2.35000E+00	1.97691			
2.36000E+00	1.98477			
2.36658E+00	1.98895			
2.37132E+00	1.992			
2.40000E+00	2.01098			
2.41693E+00	2.02393			
2.45000E+00	2.04944			
2.46000E+00	2.05931			
2.48000E+00	2.08584			
2.50000E+00	2.12007			
2.55000E+00	2.21469			
2.56000E+00	2.23383			
2.57104E+00	2.25756			
2.60000E+00	2.31998			
2.62000E+00	2.36297			
2.63668E+00	2.38978			
2.64000E+00	2.39513			
2.70000E+00	2.44902			
2.75000E+00	2.49468			
2.77000E+00	2.50851			
2.78000E+00	2.51692			
2.80000E+00	2.5152			
2.81975E+00	2.48791			
2.82000E+00	2.48757			
2.85000E+00	2.43191			
2.90000E+00	2.34789			
2.95000E+00	2.26559			
3.00000E+00	2.1847			
3.05000E+00	2.10779			
3.06379E+00	2.08716			
3.10000E+00	2.03296			
3.14000E+00	1.97332			
3.15000E+00	1.95993			
3.20000E+00	1.89586			
3.25000E+00	1.8406			
3.30000E+00	1.79304			
3.35000E+00	1.78908			
3.40000E+00	1.80645			
3.42188E+00	1.79813			
3.45414E+00	1.76893			
3.45828E+00	1.76634			
3.50000E+00	1.72027			
3.55000E+00	1.6872			
3.60000E+00	1.65858			
3.62539E+00	1.64752			
3.65000E+00	1.63691			
3.70000E+00	1.62494			
3.75000E+00	1.62333			
3.77867E+00	1.62965			
3.80000E+00	1.63435			
3.85216E+00	1.66417			
3.90000E+00	1.70242			
3.94845E+00	1.74138			
3.94923E+00	1.74204			
4.00000E+00	1.78319			
4.05000E+00	1.81833			
4.10000E+00	1.84006			
4.20000E+00	1.86705			
4.28930E+00	1.88521			
4.30000E+00	1.88739			
4.35000E+00	1.87795			
4.40000E+00	1.84851			
4.60000E+00	1.73372			
4.65000E+00	1.70345			
4.66490E+00	1.69296			
4.69780E+00	1.6698			
4.75000E+00	1.63312			
4.80000E+00	1.60601			
4.85000E+00	1.58474			
5.00000E+00	1.5343			
5.03527E+00	1.52285			
5.10000E+00	1.50194			
5.10631E+00	1.50024			
5.20000E+00	1.47507			
5.25491E+00	1.46261			
5.30000E+00	1.4558			
5.40000E+00	1.44718			
5.50000E+00	1.4529			
5.51481E+00	1.45449			
5.53880E+00	1.45708			
5.60000E+00	1.46481			
5.62509E+00	1.46956			
5.68409E+00	1.47888			
5.70000E+00	1.48141			
5.70181E+00	1.48204			
5.75913E+00	1.49064			
5.80000E+00	1.49679			
5.90000E+00	1.51385			
6.00000E+00	1.53019			
6.08465E+00	1.54613			
6.20000E+00	1.56768			
6.24374E+00	1.57068			
6.30958E+00	1.5753			
6.31125E+00	1.57542			
6.40000E+00	1.58166			
6.44515E+00	1.57344			
6.50000E+00	1.56363			
6.51581E+00	1.56429			
6.55275E+00	1.56782			
6.60000E+00	1.57234			
6.63194E+00	1.57012			
6.64521E+00	1.57399			
6.64656E+00	1.57438			
6.69311E+00	1.58805			
6.70000E+00	1.59007			
6.74443E+00	1.60127			
6.80000E+00	1.60519			
6.84797E+00	1.60418			
6.89594E+00	1.60321			
6.90000E+00	1.60314			
6.94867E+00	1.59641			
7.00000E+00	1.58848			
7.04938E+00	1.5859			
7.10000E+00	1.5833			
7.15500E+00	1.58056			
7.20000E+00	1.57973			
7.25079E+00	1.57799			
7.30000E+00	1.57635			
7.30158E+00	1.5763			
7.35149E+00	1.57515			
7.40000E+00	1.57308			
7.45220E+00	1.56943			
7.50000E+00	1.56613			
7.60000E+00	1.55937			
7.65361E+00	1.55501			
7.70500E+00	1.55104			
7.80000E+00	1.54345			
7.81596E+00	1.54217			
7.85502E+00	1.53877			
7.91004E+00	1.53401			
8.00000E+00	1.52634			
8.15714E+00	1.51636			
8.20000E+00	1.51313			
8.25600E+00	1.50954			
8.30000E+00	1.50684			
8.40000E+00	1.50096			
8.50000E+00	1.49525			
8.60000E+00	1.48986			
8.80000E+00	1.48122			
8.80600E+00	1.48095			
8.86208E+00	1.47905			
8.90000E+00	1.47778			
9.00000E+00	1.47597			
9.06349E+00	1.47369			
9.10000E+00	1.47243			
9.20000E+00	1.47238			
9.30000E+00	1.47052			
9.35600E+00	1.47037			
9.40000E+00	1.47016			
9.50000E+00	1.46945			
9.53262E+00	1.46931			
9.60000E+00	1.46906			
9.72113E+00	1.46933			
9.80000E+00	1.46951			
9.86913E+00	1.47061			
9.90000E+00	1.47111			
9.90700E+00	1.47105			
1.00000E+01	1.47131			
1.01000E+01	1.47275			
1.04000E+01	1.47803			
1.04570E+01	1.47931			
1.05000E+01	1.48023			
1.06000E+01	1.48235			
1.07232E+01	1.4843			
1.09012E+01	1.48715			
1.10000E+01	1.48848			
1.10070E+01	1.48856			
1.10776E+01	1.48838			
1.11000E+01	1.48831			
1.12000E+01	1.48774			
1.15000E+01	1.48696			
1.15580E+01	1.48632			
1.16000E+01	1.48588			
1.17000E+01	1.48489			
1.17445E+01	1.48495			
1.20000E+01	1.4854			
