TOF,usX	Sigma,barn
27.96	7.15004
28	7.19475
28.04	7.23854
28.08	7.28206
28.12	7.32595
28.16	7.37085
28.2	7.41742
28.24	7.46628
28.28	7.51809
28.32	7.57349
28.36	7.63313
28.4	7.69764
28.44	7.76768
28.48	7.8435
28.52	7.92454
28.56	8.01008
28.6	8.09944
28.64	8.19192
28.68	8.28682
28.72	8.38345
28.76	8.48111
28.8	8.57909
28.84	8.67684
28.88	8.77435
28.92	8.87179
28.96	8.96934
29	9.06717
29.04	9.16546
29.08	9.26438
29.12	9.3641
29.16	9.4648
29.2	9.5667
29.24	9.67057
29.28	9.77773
29.32	9.88947
29.36	10.0065
29.4	10.1276
29.44	10.2512
29.48	10.3756
29.52	10.4993
29.56	10.6207
29.6	10.738
29.64	10.8498
29.68	10.9545
29.72	11.0503
29.76	11.1358
29.8	11.2098
29.84	11.2755
29.88	11.3387
29.92	11.4047
29.96	11.4792
30	11.5677
30.04	11.6758
30.08	11.8091
30.12	11.9731
30.16	12.1733
30.2	12.4154
30.24	12.7049
30.28	13.0443
30.32	13.4304
30.36	13.8595
30.4	14.3182
30.44	14.7465
30.48	15.2064
30.52	29.0365
30.56	169.221
30.6	25.5495
30.64	11.9769
30.68	15.0522
30.72	24.9392
30.76	66.6606
30.8	331.402
30.84	141.178
30.88	19.328
30.92	6.94785
30.96	5.16037
31	4.28549
31.04	3.73004
31.08	3.73819
31.12	3.79675
31.16	3.89392
31.2	3.98103
31.24	4.05417
31.28	4.12877
31.32	4.2034
31.36	4.27835
31.4	4.35317
31.44	4.43089
31.48	4.49255
31.52	4.52824
31.56	4.55823
31.6	4.59236
31.64	4.62625
31.68	4.65924
31.72	4.69236
31.76	4.72556
31.8	4.7587
31.84	4.79169
31.88	4.8245
31.92	4.85719
31.96	4.8898
32	4.92238
32.04	4.95498
32.08	4.98758
32.12	5.01934
32.16	5.04886
32.2	5.07552
32.24	5.09952
32.28	5.12107
32.32	5.14038
32.36	5.15767
32.4	5.17314
32.44	5.18701
32.48	5.19949
32.52	5.21096
32.56	5.22228
32.6	5.23444
32.64	5.24841
32.68	5.26517
32.72	5.28569
32.76	5.31095
32.8	5.34192
32.84	5.37954
32.88	5.42315
32.92	5.46977
32.96	5.51636
33	5.56197
33.04	5.60773
33.08	5.65366
33.12	5.69955
33.16	5.74535
33.2	5.79148
33.24	5.83847
33.28	5.88448
33.32	5.97872
33.36	6.19654
33.4	6.69542
33.44	7.83776
33.48	16.6256
33.52	100.195
33.56	20.5923
33.6	4.89632
33.64	4.68695
33.68	4.80593
33.72	4.91274
33.76	4.99086
33.8	5.04563
33.84	5.1004
33.88	5.15301
33.92	5.19368
33.96	5.22329
34	5.25035
34.04	5.28016
34.08	5.31154
34.12	5.34267
34.16	5.37256
34.2	5.40141
34.24	5.43267
34.28	5.47031
34.32	5.51356
34.36	5.55851
34.4	5.60218
34.44	5.64499
34.48	5.68801
34.52	5.73173
34.56	5.77511
34.6	5.81693
34.64	5.87863
34.68	5.98515
34.72	6.12153
34.76	6.34436
34.8	6.71011
34.84	7.51295
34.88	8.55402
34.92	12.7031
34.96	39.7022
35	101.867
35.04	23.8806
35.08	7.27103
35.12	5.37028
35.16	5.14656
35.2	5.00096
35.24	4.99344
35.28	5.0212
35.32	5.05547
35.36	5.08668
35.4	5.11357
35.44	5.14065
35.48	5.16821
35.52	5.19553
35.56	5.22124
35.6	5.24258
35.64	5.26033
35.68	5.27618
35.72	5.29183
35.76	5.30846
35.8	5.32589
35.84	5.34372
35.88	5.36155
35.92	5.37906
35.96	5.39614
36	5.41271
36.04	5.42913
36.08	5.44619
36.12	5.4647
36.16	5.48521
36.2	5.50706
36.24	5.52921
36.28	5.55099
36.32	5.57241
36.36	5.59353
36.4	5.61456
36.44	5.63579
36.48	5.65755
36.52	5.68008
