E(MeV)	Si-nat			
1.529050E-02	1.96622			
1.529150E-02	1.96711			
1.529250E-02	1.96673			
1.529320E-02	1.96547			
1.529340E-02	1.96571			
1.529430E-02	1.96564			
1.529440E-02	1.96554			
1.529480E-02	1.96617			
1.529580E-02	1.96674			
1.529670E-02	1.9659			
1.529690E-02	1.96544			
1.529760E-02	1.96667			
1.529860E-02	1.96668			
1.529930E-02	1.96543			
1.529950E-02	1.96593			
1.530040E-02	1.96687			
1.530140E-02	1.96623			
1.530180E-02	1.96538			
1.530230E-02	1.96632			
1.530330E-02	1.96652			
1.530420E-02	1.96556			
1.530560E-02	1.9661			
1.530870E-02	1.96483			
1.531000E-02	1.96529			
1.531030E-02	1.96567			
1.531100E-02	1.96437			
1.531190E-02	1.96367			
1.531250E-02	1.96372			
1.531320E-02	1.96429			
1.531380E-02	1.96537			
1.531390E-02	1.9656			
1.531450E-02	1.96462			
1.531520E-02	1.96397			
1.531580E-02	1.96379			
1.531650E-02	1.96408			
1.531710E-02	1.9648			
1.531760E-02	1.9656			
1.531780E-02	1.9653			
1.531850E-02	1.9646			
1.531900E-02	1.96436			
1.531950E-02	1.96431			
1.532000E-02	1.96445			
1.532050E-02	1.96476			
1.532100E-02	1.96524			
1.532130E-02	1.96556			
1.532150E-02	1.96524			
1.532200E-02	1.96475			
1.532260E-02	1.96437			
1.532310E-02	1.96416			
1.532370E-02	1.96411			
1.532420E-02	1.96421			
1.532480E-02	1.96445			
1.532540E-02	1.96483			
1.532590E-02	1.96533			
1.532610E-02	1.96553			
1.532650E-02	1.96529			
1.532710E-02	1.96504			
1.532760E-02	1.96488			
1.532820E-02	1.96481			
1.532880E-02	1.96482			
1.532930E-02	1.9649			
1.532990E-02	1.96504			
1.533040E-02	1.96525			
1.533100E-02	1.96551			
1.533180E-02	1.9651			
1.533260E-02	1.96477			
1.533340E-02	1.96451			
1.533430E-02	1.96432			
1.533510E-02	1.96417			
1.533630E-02	1.96402			
1.533750E-02	1.96395			
1.533910E-02	1.96392			
1.534080E-02	1.96394			
1.534320E-02	1.96404			
1.534720E-02	1.96426			
1.535050E-02	1.96447			
1.535210E-02	1.9646			
1.535380E-02	1.96476			
1.535540E-02	1.96494			
1.535700E-02	1.96516			
1.535830E-02	1.96536			
1.535850E-02	1.96539			
1.535950E-02	1.9653			
1.536120E-02	1.96519			
1.536290E-02	1.9651			
1.536540E-02	1.96501			
1.536880E-02	1.96492			
1.540090E-02	1.96428			
1.540590E-02	1.96419			
1.540930E-02	1.96414			
1.541310E-02	1.9641			
1.541730E-02	1.96409			
1.542770E-02	1.96409			
1.546960E-02	1.96411			
1.547800E-02	1.96413			
1.548480E-02	1.96416			
1.558750E-02	1.96476			
1.562400E-02	1.96498			
1.565160E-02	1.96469			
1.675920E-02	1.95331			
1.824200E-02	1.93408			
2.078620E-02	1.90135			
2.172600E-02	1.88365			
2.554000E-02	1.81249			
2.818840E-02	1.78726			
2.833000E-02	1.78592			
2.933490E-02	1.77677			
3.074000E-02	1.76397			
3.158570E-02	1.75594			
3.159080E-02	1.7559			
3.159420E-02	1.75587			
3.159670E-02	1.75586			
3.159920E-02	1.75585			
3.160090E-02	1.75586			
3.160260E-02	1.75587			
3.160430E-02	1.75588			
3.160600E-02	1.7559			
3.160790E-02	1.75594			
3.160990E-02	1.75598			
3.161180E-02	1.75604			
3.161370E-02	1.7561			
3.161670E-02	1.7562			
3.162150E-02	1.75639			
3.163700E-02	1.75703			
3.164480E-02	1.75619			
3.165060E-02	1.75558			
3.165350E-02	1.75529			
3.165540E-02	1.75511			
3.165730E-02	1.75496			
3.165880E-02	1.75486			
3.166030E-02	1.75479			
3.166170E-02	1.75474			
3.166320E-02	1.75473			
3.166460E-02	1.75476			
3.166560E-02	1.7548			
3.166650E-02	1.75487			
3.166800E-02	1.755			
3.166930E-02	1.75516			
3.167060E-02	1.75536			
3.167190E-02	1.7556			
3.167320E-02	1.75587			
3.167500E-02	1.75629			
3.167650E-02	1.75668			
3.167680E-02	1.75664			
3.167850E-02	1.75642			
3.168110E-02	1.75614			
3.168380E-02	1.75595			
3.168550E-02	1.75588			
3.168720E-02	1.75587			
3.168900E-02	1.75593			
3.169080E-02	1.75609			
3.169250E-02	1.75636			
3.169350E-02	1.75658			
3.169420E-02	1.75631			
3.169600E-02	1.75581			
3.169780E-02	1.75545			
3.169960E-02	1.75522			
3.170190E-02	1.75511			
