E(MeV)	pendfb7/Zn:1
2.75275E-04	3.88044
2.75519E-04	3.87937
2.75763E-04	3.87879
2.76006E-04	3.87881
2.76189E-04	3.87927
2.76419E-04	3.8805
2.76587E-04	3.88192
2.76756E-04	3.88387
2.76925E-04	3.8864
2.77000E-04	3.88783
2.77094E-04	3.88836
2.77263E-04	3.89009
2.77431E-04	3.89275
2.77558E-04	3.89544
2.77713E-04	3.89968
2.77825E-04	3.90351
2.77938E-04	3.90806
2.78050E-04	3.91343
2.78163E-04	3.91973
2.78200E-04	3.92219
2.78275E-04	3.92539
2.78388E-04	3.93142
2.78500E-04	3.93887
2.78584E-04	3.94551
2.78669E-04	3.95319
2.78753E-04	3.96204
2.78837E-04	3.97222
2.78922E-04	3.98392
2.79006E-04	3.99734
2.79025E-04	4.00077
2.79091E-04	4.01055
2.79175E-04	4.02545
2.79241E-04	4.0389
2.79306E-04	4.05423
2.79372E-04	4.07171
2.79437E-04	4.09167
2.79503E-04	4.11452
2.79550E-04	4.13328
2.79569E-04	4.13981
2.79618E-04	4.15958
2.79667E-04	4.18196
2.79700E-04	4.19851
2.79753E-04	4.22814
2.79805E-04	4.26222
2.79844E-04	4.2912
2.79884E-04	4.32359
2.79923E-04	4.35987
2.79962E-04	4.40065
2.80000E-04	4.44441
2.80002E-04	4.44648
2.80041E-04	4.49584
2.80081E-04	4.55213
2.80120E-04	4.61644
2.80151E-04	4.67342
2.80182E-04	4.73683
2.80213E-04	4.80745
2.80244E-04	4.88614
2.80275E-04	4.97388
2.80293E-04	5.03019
2.80306E-04	5.07132
2.80337E-04	5.17952
2.80368E-04	5.30022
2.80398E-04	5.43479
2.80429E-04	5.58469
2.80458E-04	5.74088
2.80484E-04	5.89015
2.80509E-04	6.05275
2.80534E-04	6.22966
2.80560E-04	6.42193
2.80585E-04	6.63058
2.80610E-04	6.8567
2.80636E-04	7.10137
2.80661E-04	7.36567
2.80686E-04	7.65065
2.80690E-04	7.69609
2.80712E-04	7.96005
2.80733E-04	8.24191
2.80759E-04	8.60818
2.80786E-04	9.00079
2.80812E-04	9.42064
2.80838E-04	9.86851
2.80840E-04	9.90255
2.80864E-04	10.3494
2.80891E-04	10.8598
2.80930E-04	11.6806
2.80953E-04	12.1848
2.80964E-04	12.4391
2.80997E-04	13.2499
2.81031E-04	14.1148
2.81043E-04	14.4054
2.81088E-04	15.6449
2.81114E-04	16.4126
2.81144E-04	17.2969
2.81193E-04	18.813
2.81211E-04	19.4005
2.81267E-04	21.2204
2.81343E-04	23.6642
2.81365E-04	24.4032
2.81444E-04	26.8604
2.81455E-04	27.1846
2.81489E-04	28.166
2.81545E-04	29.6464
2.81590E-04	30.669
2.81596E-04	30.7972
2.81643E-04	31.6981
2.81688E-04	32.3565
2.81728E-04	32.7972
2.81773E-04	33.0967
2.81799E-04	33.1766
2.81803E-04	33.1743
2.81845E-04	33.1382
2.81881E-04	32.9591
2.81914E-04	32.6776
2.81918E-04	32.6444
2.81965E-04	32.0413
2.82010E-04	31.2777
2.82016E-04	31.1802
2.82070E-04	30.0208
2.82108E-04	29.1095
2.82111E-04	29.0099
2.82156E-04	27.7977
2.82190E-04	26.8081
2.82231E-04	25.5866
2.82265E-04	24.5349
2.82377E-04	20.9942
2.82411E-04	19.9223
2.82466E-04	18.2677
2.82490E-04	17.5584
2.82507E-04	17.0636
2.82548E-04	15.9113
2.82589E-04	14.8226
2.82623E-04	13.9825
2.82663E-04	13.0624
2.82700E-04	12.2489
2.82702E-04	12.2082
2.82728E-04	11.6748
2.82754E-04	11.1704
2.82781E-04	10.6948
2.82807E-04	10.2472
2.82835E-04	9.79801
2.82865E-04	9.35222
2.82895E-04	8.93945
2.82925E-04	8.55809
2.82955E-04	8.21067
2.82985E-04	7.89123
2.83015E-04	7.59799
2.83045E-04	7.32915
2.83069E-04	7.12748
2.83097E-04	6.91215
2.83126E-04	6.7141
2.83150E-04	6.55627
2.83154E-04	6.5325
2.83182E-04	6.36893
2.83210E-04	6.21881
2.83238E-04	6.08098
2.83266E-04	5.95436
2.83294E-04	5.83796
2.83300E-04	5.81653
2.83323E-04	5.7333
2.83351E-04	5.63767
2.83384E-04	5.53289
2.83421E-04	5.4303
2.83457E-04	5.33768
2.83494E-04	5.25376
2.83525E-04	5.1892
2.83531E-04	5.17797
2.83567E-04	5.11164
2.83604E-04	5.05111
2.83640E-04	4.99564
2.83677E-04	4.9446
2.83713E-04	4.89744
2.83750E-04	4.85369
2.83799E-04	4.80276
2.83848E-04	4.75644
2.83898E-04	4.71403
2.83947E-04	4.67498
2.83996E-04	4.63882
2.84045E-04	4.60517
2.84087E-04	4.57849
2.84111E-04	4.56475
2.84177E-04	4.52956
2.84242E-04	4.49718
2.84317E-04	4.4631
2.84359E-04	4.44513
2.84425E-04	4.41893
2.84444E-04	4.41216
2.84528E-04	4.38428
2.84612E-04	4.35866
2.84697E-04	4.33497
2.84781E-04	4.31296
2.84866E-04	4.29242
2.84950E-04	4.27316
2.85063E-04	4.24923
2.85175E-04	4.22703
2.85288E-04	4.20967
2.85400E-04	4.1936
2.85513E-04	4.17863
2.85625E-04	4.16463
2.85737E-04	4.15147
2.85850E-04	4.13907
2.86000E-04	4.12355
2.86150E-04	4.10904
2.86300E-04	4.0954
2.86450E-04	4.08507
2.86600E-04	4.07539
2.86750E-04	4.06629
2.86900E-04	4.05769
2.87050E-04	4.04953
2.87256E-04	4.03895
2.87462E-04	4.02901
2.87669E-04	4.01961
2.87800E-04	4.01393
2.87875E-04	4.01141
2.88081E-04	4.00491
2.88287E-04	3.99877
2.88494E-04	3.99293
2.88794E-04	3.98492
2.89075E-04	3.97785
2.89356E-04	3.97114
2.89638E-04	3.96473
2.90013E-04	3.9566
2.90200E-04	3.95274
2.90388E-04	3.95005
2.90763E-04	3.945
2.91138E-04	3.94022
2.91513E-04	3.93568
2.91944E-04	3.93071
2.92431E-04	3.92536
2.92919E-04	3.92025
2.93406E-04	3.91533
2.94138E-04	3.90824
2.94869E-04	3.90146
2.95600E-04	3.89491
2.95750E-04	3.89361
2.96331E-04	3.89009
2.97063E-04	3.88582
2.98038E-04	3.88032
2.99013E-04	3.87502
3.00063E-04	3.86948
3.01188E-04	3.86373
3.02312E-04	3.85813
3.03437E-04	3.85267
3.04000E-04	3.84999
3.05536E-04	3.84285
3.06559E-04	3.83824
3.07583E-04	3.83377
3.08564E-04	3.82962
3.09502E-04	3.82582
3.10440E-04	3.8222
3.11144E-04	3.81965
3.11848E-04	3.81726
3.12440E-04	3.81542
3.12551E-04	3.81466
3.13255E-04	3.81008
3.13724E-04	3.80721
3.14193E-04	3.80452
3.14662E-04	3.80205
3.15131E-04	3.79985
3.15483E-04	3.79842
3.15872E-04	3.79711
3.15995E-04	3.7968
3.16279E-04	3.79421
3.16550E-04	3.79198
3.16822E-04	3.79
3.17094E-04	3.78829
3.17365E-04	3.78693
3.17637E-04	3.78597
3.17871E-04	3.78552
3.17970E-04	3.7855
3.18069E-04	3.78433
3.18266E-04	3.78235
3.18464E-04	3.78077
3.18661E-04	3.77968
3.18859E-04	3.77915
3.19007E-04	3.7792
3.19155E-04	3.77968
3.19303E-04	3.78068
3.19414E-04	3.78181
3.19451E-04	3.78232
3.19538E-04	3.78171
3.19661E-04	3.78136
3.19785E-04	3.78163
3.19908E-04	3.78259
3.20031E-04	3.78437
3.20155E-04	3.7871
3.20247E-04	3.78988
3.20340E-04	3.79338
3.20426E-04	3.79739
3.20439E-04	3.79808
3.20513E-04	3.80001
3.20599E-04	3.80322
3.20686E-04	3.80751
3.20772E-04	3.81308
3.20858E-04	3.82015
3.20923E-04	3.8266
3.20988E-04	3.83422
3.20994E-04	3.83508
3.21062E-04	3.84195
3.21124E-04	3.8498
3.21186E-04	3.85939
3.21247E-04	3.87107
3.21294E-04	3.88146
3.21340E-04	3.8935
3.21386E-04	3.9075
3.21426E-04	3.92161
3.21432E-04	3.92348
3.21479E-04	3.94022
3.21525E-04	3.96023
3.21562E-04	3.97902
3.21599E-04	4.00071
3.21636E-04	4.02577
3.21673E-04	4.05475
3.21710E-04	4.08829
3.21735E-04	4.11354
3.21760E-04	4.14138
3.21784E-04	4.1721
