E(MeV)	pendfb7/Gd152:1	
1.741E-06	245.494556	
1.790E-06	241.899389	
1.815E-06	240.107542	
1.841E-06	238.315872	
1.893E-06	234.743636	
1.946E-06	231.131647	
1.987E-06	228.486426	
2.001E-06	227.588254	
2.015E-06	226.704593	
2.058E-06	224.003744	
2.086E-06	222.21551	
2.116E-06	220.435423	
2.175E-06	216.883205	
2.237E-06	213.288256	
2.300E-06	209.774463	
2.365E-06	206.217639	
2.398E-06	204.441809	
2.431E-06	202.676075	
2.483E-06	200.043426	
2.500E-06	199.149523	
2.535E-06	197.388367	
2.571E-06	195.633855	
2.643E-06	192.128671	
2.680E-06	190.377663	
2.718E-06	188.636757	
2.794E-06	185.158384	
2.833E-06	183.420569	
2.873E-06	181.694864	
2.954E-06	178.243983	
2.995E-06	176.519131	
3.038E-06	174.809431	
3.123E-06	171.390358	
3.167E-06	169.681179	
3.212E-06	167.990819	
3.234E-06	167.157465	
3.302E-06	164.610376	
3.348E-06	162.919853	
3.395E-06	161.252776	
3.491E-06	157.920515	
3.540E-06	156.253009	
3.590E-06	154.607088	
3.691E-06	151.312952	
3.742E-06	149.664516	
3.795E-06	148.043807	
3.902E-06	144.799643	
3.956E-06	143.176054	
4.012E-06	141.582123	
4.125E-06	138.391429	
4.183E-06	136.794436	
4.242E-06	135.229623	
4.362E-06	132.096607	
4.422E-06	130.528022	
4.485E-06	128.993955	
4.611E-06	125.921732	
4.675E-06	124.383315	
4.741E-06	122.883291	
4.943E-06	118.384013	
4.978E-06	117.645551	
5.013E-06	116.907091	
5.048E-06	116.182069	
5.154E-06	113.966091	
5.226E-06	112.492762	
5.300E-06	111.059398	
5.449E-06	108.187078	
5.525E-06	106.748452	
5.603E-06	105.354548	
5.761E-06	102.561303	
5.841E-06	101.166241	
6.006E-06	98.4614024	
6.175E-06	95.7275325	
6.262E-06	94.401045	
6.350E-06	93.0982812	
6.529E-06	90.4192383	
6.713E-06	87.8710165	
6.902E-06	85.2894956	
7.000E-06	84.0403782	
7.197E-06	81.5462724	
7.297E-06	80.3012658	
7.503E-06	77.8927705	
7.715E-06	75.4558732	
7.769E-06	74.8741903	
7.851E-06	74.0016676	
7.871E-06	73.7835389	
7.892E-06	73.5654128	
7.905E-06	73.4199974	
7.919E-06	73.2745841	
7.933E-06	73.1291733	
7.943E-06	73.0175139	
7.957E-06	72.8700215	
7.971E-06	72.722532	
7.985E-06	72.5750451	
7.999E-06	72.4275602	
8.020E-06	72.2063358	
8.055E-06	71.8376329	
8.157E-06	70.7725903	
8.387E-06	68.5301332	
8.623E-06	66.2661536	
8.745E-06	65.1260399	
8.867E-06	64.0477987	
9.054E-06	62.422851	
9.368E-06	59.7945834	
9.566E-06	58.198749	
9.700E-06	57.1574007	
9.836E-06	56.1383076	
9.890E-06	55.7505626	
9.943E-06	55.3697743	
9.973E-06	55.1500803	
1.000E-05	54.9705208	
1.004E-05	54.7318987	
1.007E-05	54.4932542	
1.011E-05	54.204751	
1.014E-05	54.0281811	
1.019E-05	53.7176621	
1.022E-05	53.5169206	
1.033E-05	52.8138702	
1.043E-05	52.1725324	
1.051E-05	51.7821616	
1.055E-05	51.5695395	
1.058E-05	51.4014735	
1.066E-05	51.0301983	
1.073E-05	50.7164217	
1.077E-05	50.5691539	
1.080E-05	50.4400568	
1.086E-05	50.2545561	
1.092E-05	50.1259188	
1.093E-05	50.1175218	
1.097E-05	50.0095829	
1.103E-05	49.9620147	
1.108E-05	49.9972794	
1.109E-05	49.9904041	
1.114E-05	50.0610227	
1.118E-05	50.1768317	
1.121E-05	50.3026175	
1.122E-05	50.3390698	
1.125E-05	50.5333742	
1.129E-05	50.8100706	
1.130E-05	50.9293769	
1.133E-05	51.1359808	
1.137E-05	51.5497627	
1.140E-05	51.9745721	
1.141E-05	52.168903	
1.143E-05	52.455118	
1.146E-05	53.0193359	
1.148E-05	53.5335401	
1.149E-05	53.6893571	
1.151E-05	54.4518614	
1.154E-05	55.3749014	
1.155E-05	55.5135788	
1.157E-05	56.4161117	
1.160E-05	57.3308101	
1.162E-05	58.3966422	
1.162E-05	58.5633885	
1.165E-05	60.0576578	
1.167E-05	61.2152057	
1.168E-05	61.6066123	
1.169E-05	62.4781568	
1.171E-05	63.8884634	
1.173E-05	65.4850258	
1.173E-05	66.0272249	
1.174E-05	67.2507149	
1.176E-05	69.1325254	
1.177E-05	69.9135377	
1.178E-05	71.1101183	
1.180E-05	73.316931	
1.181E-05	74.8382336	
1.181E-05	75.7838737	
1.183E-05	78.5379947	
1.184E-05	81.1413441	
1.185E-05	81.6524938	
1.186E-05	85.1458338	
1.187E-05	87.1399479	
1.188E-05	89.0970277	
1.189E-05	92.8484548	
1.191E-05	96.2553083	
1.192E-05	100.014438	
1.192E-05	100.349595	
1.193E-05	104.119594	
