E(MeV)	"ENDF/B-VIII.b5: SE-82(N,TOT)"	
3.64032E-03	5.05561	
3.64063E-03	5.01749	
3.64094E-03	4.98259	
3.64125E-03	4.95051	
3.64155E-03	4.92093	
3.64186E-03	4.89357	
3.64201E-03	4.88176	
3.64217E-03	4.86911	
3.64251E-03	4.84504	
3.64288E-03	4.8209	
3.64325E-03	4.79879	
3.64363E-03	4.77847	
3.64400E-03	4.75974	
3.64437E-03	4.74244	
3.64474E-03	4.7264	
3.64530E-03	4.70445	
3.64578E-03	4.6874	
3.64626E-03	4.67177	
3.64673E-03	4.65739	
3.64721E-03	4.64412	
3.64769E-03	4.63184	
3.64817E-03	4.62045	
3.64865E-03	4.60984	
3.64913E-03	4.59995	
3.64971E-03	4.58872	
3.64998E-03	4.584	
3.65029E-03	4.57901	
3.65088E-03	4.57062	
3.65146E-03	4.5629	
3.65205E-03	4.55577	
3.65263E-03	4.54918	
3.65351E-03	4.54017	
3.65417E-03	4.53397	
3.65492E-03	4.52758	
3.65566E-03	4.52171	
3.65640E-03	4.51631	
3.65715E-03	4.51132	
3.65789E-03	4.5067	
3.65863E-03	4.50242	
3.65975E-03	4.49654	
3.66060E-03	4.49245	
3.66145E-03	4.48866	
3.66230E-03	4.48514	
3.66315E-03	4.48186	
3.66443E-03	4.47733	
3.66570E-03	4.47322	
3.66655E-03	4.47069	
3.66761E-03	4.46772	
3.66867E-03	4.46496	
3.66974E-03	4.46238	
3.67080E-03	4.45995	
3.67239E-03	4.45659	
3.67399E-03	4.45352	
3.67505E-03	4.4516	
3.67643E-03	4.44926	
3.67781E-03	4.44707	
3.67919E-03	4.445	
3.68057E-03	4.44305	
3.68196E-03	4.4412	
3.68334E-03	4.43944	
3.68541E-03	4.43696	
3.68759E-03	4.43453	
3.68982E-03	4.43221	
3.69205E-03	4.43002	
3.69428E-03	4.42795	
3.69651E-03	4.42598	
3.69874E-03	4.4241	
3.70098E-03	4.42231	
3.70225E-03	4.42132	
3.70321E-03	4.42072	
3.70544E-03	4.41938	
3.70767E-03	4.41809	
3.70990E-03	4.41685	
3.71288E-03	4.41526	
3.71585E-03	4.41375	
3.71883E-03	4.41228	
3.72180E-03	4.41088	
3.72456E-03	4.40961	
3.72733E-03	4.40837	
3.73009E-03	4.40717	
3.73285E-03	4.40599	
3.73608E-03	4.40464	
3.73931E-03	4.40332	
3.74254E-03	4.40203	
3.74577E-03	4.40076	
3.74899E-03	4.39952	
3.75220E-03	4.3983	
3.75701E-03	4.3965	
3.76183E-03	4.39473	
3.76664E-03	4.39298	
3.77146E-03	4.39126	
3.77627E-03	4.38957	
3.78109E-03	4.38788	
3.78590E-03	4.38622	
3.79072E-03	4.38457	
3.79553E-03	4.38293	
3.80035E-03	4.3813	
3.80356E-03	4.38022	
3.80998E-03	4.37808	
3.81640E-03	4.37594	
3.82282E-03	4.37382	
3.82924E-03	4.37171	
3.83566E-03	4.36961	
3.84301E-03	4.36721	
3.85036E-03	4.36483	
3.85864E-03	4.36215	
3.86692E-03	4.35948	
3.87520E-03	4.35682	
3.88348E-03	4.35416	
3.89176E-03	4.35151	
3.90004E-03	4.34887	
3.90832E-03	4.34623	
3.91660E-03	4.3436	
3.92488E-03	4.34097	
3.93730E-03	4.33703	
3.94972E-03	4.33309	
3.96214E-03	4.32916	
3.97456E-03	4.32524	
3.98698E-03	4.32132	
3.99940E-03	4.3174	
4.01182E-03	4.31349	
4.02424E-03	4.30957	
4.04080E-03	4.30436	
4.05736E-03	4.29915	
4.07392E-03	4.29395	
4.09048E-03	4.28875	
4.10704E-03	4.28355	
4.12912E-03	4.27661	
4.14016E-03	4.27315	
4.15120E-03	4.26872	
4.17328E-03	4.25988	
4.19536E-03	4.25103	
4.21744E-03	4.24218	
4.23952E-03	4.23334	
4.27264E-03	4.22008	
4.30576E-03	4.20682	
4.33888E-03	4.19356	
4.37200E-03	4.1803	
4.41616E-03	4.16263	
4.46032E-03	4.14496	
4.51552E-03	4.11712	
4.52656E-03	4.11156	
4.59042E-03	4.07935	
4.63696E-03	4.05589	
4.68112E-03	4.03363	
4.72528E-03	4.01136	
4.76944E-03	3.98356	
4.81360E-03	3.95576	
4.85776E-03	3.92795	
4.90192E-03	3.90015	
4.94608E-03	3.87235	
4.99024E-03	3.83815	
5.03440E-03	3.80395	
5.07856E-03	3.76974	
5.12272E-03	3.73555	
5.16688E-03	3.6939	
5.21104E-03	3.65225	
5.25520E-03	3.61061	
5.27728E-03	3.58979	
5.29936E-03	3.56515	
5.34352E-03	3.51588	
5.38768E-03	3.46661	
5.43184E-03	3.40819	
5.47600E-03	3.34978	
5.50912E-03	3.30597	
5.54224E-03	3.25435	
5.57536E-03	3.20273	
5.59744E-03	3.16832	
5.60848E-03	3.14852	
5.64160E-03	3.08914	
5.67472E-03	3.02976	
5.69680E-03	2.98458	
5.71888E-03	2.9394	
5.74096E-03	2.89423	
5.76304E-03	2.8428	
5.78512E-03	2.79138	
5.80720E-03	2.73997	
5.82928E-03	2.68154	
5.85136E-03	2.62312	
5.86240E-03	2.59391	
5.87344E-03	2.56139	
5.89552E-03	2.49637	
5.90656E-03	2.46386	
5.91760E-03	2.42788	
5.93968E-03	2.35592	
5.95072E-03	2.31995	
5.96176E-03	2.27996	
5.98384E-03	2.19999	
5.99488E-03	2.16001	
6.00592E-03	2.1162	
6.02248E-03	2.05049	
6.02800E-03	2.02859	
6.03904E-03	1.98073	
6.05560E-03	1.90896	
6.06112E-03	1.88504	
6.07216E-03	1.83287	
6.08872E-03	1.75464	
6.09424E-03	1.72857	
6.10528E-03	1.67248	
6.11632E-03	1.61641	
6.12184E-03	1.58668	
6.13840E-03	1.49752	
6.14944E-03	1.43404	
6.16048E-03	1.37058	
6.16600E-03	1.33885	
6.17152E-03	1.30507	
6.18256E-03	1.23751	
6.18808E-03	1.20375	
6.19360E-03	1.16812	
6.20464E-03	1.09689	
6.21016E-03	1.06129	
6.21568E-03	1.02398	
6.22672E-03	0.949393	
6.23086E-03	0.921437	
6.23914E-03	0.863272	
6.25156E-03	0.776072	
6.25984E-03	0.716107	
6.26812E-03	0.65617	
6.27640E-03	0.596264	
6.28261E-03	0.551361	
6.28468E-03	0.53638	
6.29296E-03	0.476496	
6.30069E-03	0.420643	
6.30262E-03	0.40669	
6.30842E-03	0.365954	
6.31421E-03	0.325254	
6.31614E-03	0.312167	
6.32291E-03	0.266409	
6.32387E-03	0.260116	
6.32884E-03	0.227789	
6.33160E-03	0.210553	
6.33381E-03	0.196783	
6.33850E-03	0.168717	
6.33933E-03	0.163987	
6.34195E-03	0.149032	
6.34540E-03	0.130241	
6.34706E-03	0.121639	
6.34816E-03	0.115917	
6.35058E-03	0.103956	
6.35299E-03	0.0925534	
6.35478E-03	0.0844802	
6.35492E-03	0.0838609	
6.35692E-03	0.0753185	
6.35865E-03	0.0683375	
6.36037E-03	0.061729	
6.36196E-03	0.0559935	
6.36306E-03	0.052228	
6.36334E-03	0.0512903	
6.36444E-03	0.0477348	
6.36555E-03	0.0443591	
6.36665E-03	0.0411694	
6.36769E-03	0.0383541	
6.36852E-03	0.036228	
6.36886E-03	0.0353892	
6.36931E-03	0.0343048	
6.37017E-03	0.0323424	
6.37086E-03	0.030867	
6.37155E-03	0.0294773	
6.37217E-03	0.0283013	
6.37272E-03	0.0273164	
6.37328E-03	0.0263894	
6.37383E-03	0.0255214	
6.37435E-03	0.024762	
6.37483E-03	0.0241014	
6.37531E-03	0.0234881	
6.37567E-03	0.0230596	
6.37576E-03	0.0229641	
6.37604E-03	0.022663	
6.37645E-03	0.0222451	
6.37686E-03	0.0218638	
6.37717E-03	0.0216019	
6.37748E-03	0.0213611	
6.37779E-03	0.0211472	
6.37807E-03	0.020964	
6.37836E-03	0.0207989	
6.37864E-03	0.020652	
6.37893E-03	0.0205235	
6.37921E-03	0.0204136	
6.37947E-03	0.0203299	
6.37973E-03	0.0202618	
6.37999E-03	0.0202094	
6.38025E-03	0.0201728	
6.38050E-03	0.0201522	
6.38070E-03	0.0201473	
6.38093E-03	0.0201532	
6.38115E-03	0.0201713	
6.38140E-03	0.0202064	
6.38143E-03	0.0202112	
6.38165E-03	0.0202561	
6.38190E-03	0.0203206	
6.38214E-03	0.0204001	
6.38239E-03	0.0204949	
6.38263E-03	0.0206051	
6.38280E-03	0.0206889	
6.38288E-03	0.0207346	
6.38314E-03	0.0208888	
6.38340E-03	0.0210605	
6.38366E-03	0.0212496	
6.38392E-03	0.0214564	
6.38418E-03	0.0216809	
6.38446E-03	0.0219487	
6.38475E-03	0.0222383	
6.38503E-03	0.02255	
6.38532E-03	0.022884	
6.38560E-03	0.0232404	
6.38590E-03	0.0236431	
6.38621E-03	0.0240842	
6.38652E-03	0.0245527	
6.38683E-03	0.0250489	
6.38714E-03	0.025573	
6.38756E-03	0.0263159	
6.38797E-03	0.0271095	
6.38839E-03	0.0279546	
6.38880E-03	0.0288518	
6.38928E-03	0.0299652	
6.38956E-03	0.0306401	
6.38970E-03	0.0309806	
6.39011E-03	0.0320562	
6.39066E-03	0.0335757	
6.39122E-03	0.0351942	
6.39173E-03	0.036803	
6.39225E-03	0.0385016	
6.39277E-03	0.0402914	
6.39346E-03	0.0428221	
6.39415E-03	0.0455209	
6.39484E-03	0.0483913	
6.39553E-03	0.0514371	
6.39605E-03	0.0538387	
6.39674E-03	0.0572002	
6.39756E-03	0.0614975	
6.39839E-03	0.0660693	
6.39922E-03	0.0709229	
6.40005E-03	0.0760657	
6.40088E-03	0.0815057	
6.40157E-03	0.0862924	
6.40170E-03	0.087253	
6.40253E-03	0.0933273	
6.40364E-03	0.101923	
6.40446E-03	0.108751	
6.40550E-03	0.117761	
6.40653E-03	0.127315	
6.40757E-03	0.13743	
6.40778E-03	0.139568	
6.40860E-03	0.148147	
6.40964E-03	0.159469	
6.41102E-03	0.17553	
6.41240E-03	0.192739	
6.41330E-03	0.204703	
6.41378E-03	0.21116	
6.41516E-03	0.230856	
6.41633E-03	0.248622	
