E(MeV)	"GA-71(N,TOT)"
2.40715E-04	13.5324
2.41495E-04	14.1214
2.41885E-04	14.4175
2.43015E-04	15.3566
2.43054E-04	15.3919
2.44125E-04	16.3677
2.44612E-04	16.8498
2.45236E-04	17.4702
2.46171E-04	18.4953
2.46522E-04	18.8816
2.47340E-04	19.867
2.47379E-04	19.9141
2.48237E-04	21.0287
2.48509E-04	21.4096
2.49055E-04	22.1746
2.49679E-04	23.1282
2.50224E-04	23.9661
2.50848E-04	25.01
2.51003E-04	25.2721
2.51783E-04	26.6786
2.52017E-04	27.132
2.52562E-04	28.1947
2.53186E-04	29.5016
2.53342E-04	29.8298
2.54121E-04	31.598
2.54355E-04	32.1706
2.54900E-04	33.5126
2.55524E-04	35.1704
2.55680E-04	35.5869
2.56459E-04	37.841
2.56693E-04	38.5745
2.57239E-04	40.2943
2.57862E-04	42.4298
2.58018E-04	42.9659
2.58642E-04	45.3003
2.58797E-04	45.8859
2.59421E-04	48.4411
2.59577E-04	49.0821
2.60200E-04	51.8852
2.60356E-04	52.5886
2.60980E-04	55.6709
2.61136E-04	56.4443
2.61759E-04	59.8421
2.61915E-04	60.6948
2.62539E-04	64.4505
2.62694E-04	65.393
2.63279E-04	69.2461
2.63318E-04	69.5232
2.63864E-04	73.4184
2.64097E-04	75.2227
2.64448E-04	77.9398
2.64877E-04	81.5354
2.65033E-04	82.8484
2.65617E-04	88.1887
2.65656E-04	88.5757
2.66202E-04	94.016
2.66436E-04	96.5558
2.66786E-04	100.379
2.67020E-04	103.162
2.67371E-04	107.35
2.67605E-04	110.403
2.67955E-04	114.998
2.68189E-04	118.35
2.68540E-04	123.395
2.68774E-04	127.09
2.69125E-04	132.654
2.69358E-04	136.753
2.69709E-04	142.923
2.69943E-04	147.475
2.70294E-04	154.329
2.70527E-04	159.369
2.70816E-04	165.608
2.71112E-04	172.636
2.71307E-04	177.276
2.71580E-04	184.398
2.71798E-04	190.113
2.72047E-04	197.291
2.72289E-04	204.266
2.72515E-04	211.459
2.72780E-04	219.921
2.72983E-04	226.956
2.73107E-04	231.3
2.73450E-04	244.239
2.73544E-04	247.781
2.73980E-04	265.921
2.73980E-04	265.921
2.74354E-04	283.094
2.74417E-04	285.965
2.74728E-04	301.815
2.74853E-04	308.174
2.75103E-04	322.05
2.75165E-04	325.531
2.75477E-04	344.28
2.75570E-04	350.348
2.75788E-04	364.554
2.75882E-04	371.134
2.76100E-04	386.528
2.76194E-04	393.671
2.76412E-04	410.383
2.76505E-04	418.151
2.76724E-04	436.327
2.76817E-04	444.792
2.77035E-04	464.6
2.77129E-04	473.843
2.77347E-04	495.472
2.77441E-04	505.585
2.77659E-04	529.253
2.77752E-04	540.342
2.77971E-04	566.296
2.78064E-04	578.484
2.78282E-04	607.009
2.78376E-04	620.433
2.78594E-04	651.856
2.78688E-04	666.678
2.78906E-04	701.375
2.79000E-04	717.779
2.79218E-04	756.183
2.79311E-04	774.149
2.79452E-04	801.191
2.79623E-04	836.876
2.79685E-04	849.899
2.79919E-04	902.697
2.79935E-04	906.508
2.80153E-04	960.025
2.80169E-04	964.169
2.80387E-04	1022.34
2.80402E-04	1026.85
2.80621E-04	1090.17
