E(MeV)	Hf-180	
7.27222E-05	2598.01	
7.27240E-05	2559.88	
7.27343E-05	2357.52	
7.27360E-05	2324.24	
7.27452E-05	2154.9	
7.27464E-05	2134.62	
7.27544E-05	1995.85	
7.27625E-05	1865.72	
7.27637E-05	1847.48	
7.27706E-05	1743.22	
7.27729E-05	1709.16	
7.27786E-05	1628.17	
7.27821E-05	1580.58	
7.27867E-05	1520.36	
7.27913E-05	1461.4	
7.27945E-05	1423	
7.28005E-05	1351.25	
7.28023E-05	1331.92	
7.28100E-05	1246.89	
7.28109E-05	1237.64	
7.28178E-05	1168.01	
7.28196E-05	1150.98	
7.28256E-05	1094.65	
7.28282E-05	1071.05	
7.28334E-05	1026.48	
7.28368E-05	997.456	
7.28412E-05	963.222	
7.28455E-05	929.793	
7.28489E-05	904.583	
7.28541E-05	867.672	
7.28567E-05	850.287	
7.28628E-05	810.708	
7.28645E-05	800.061	
7.28714E-05	758.541	
7.28726E-05	752.029	
7.28801E-05	710.828	
7.28812E-05	704.866	
7.28887E-05	667.182	
7.28898E-05	661.73	
7.28973E-05	627.275	
7.28985E-05	622.335	
7.29071E-05	586.323	
7.29086E-05	580.479	
7.29158E-05	553.546	
7.29198E-05	538.864	
7.29244E-05	523.385	
7.29311E-05	501.73	
7.29331E-05	495.643	
7.29417E-05	470.257	
7.29423E-05	468.608	
7.29504E-05	447.283	
7.29535E-05	439.117	
7.29590E-05	426.071	
7.29648E-05	412.711	
7.29691E-05	403.425	
7.29760E-05	389.013	
7.29799E-05	381.486	
7.29872E-05	367.698	
7.29907E-05	361.662	
7.29985E-05	348.48	
7.30015E-05	343.702	
7.30097E-05	331.1	
7.30123E-05	327.404	
7.30230E-05	312.628	
7.30231E-05	312.445	
7.30339E-05	299.099	
7.30403E-05	291.463	
7.30447E-05	286.575	
7.30555E-05	275.038	
7.30575E-05	272.94	
7.30699E-05	261.179	
7.30748E-05	256.65	
7.30817E-05	250.782	
7.30921E-05	242.198	
7.30956E-05	239.557	
7.31094E-05	229.265	
7.31232E-05	219.957	
7.31267E-05	217.689	
7.31417E-05	208.554	
7.31440E-05	207.187	
7.31601E-05	198.357	
7.31670E-05	194.672	
7.31785E-05	189.037	
7.31901E-05	183.543	
7.31970E-05	180.516	
7.32154E-05	172.642	
7.32160E-05	172.402	
7.32362E-05	164.721	
7.32448E-05	161.511	
7.32592E-05	156.622	
7.32736E-05	151.856	
7.32823E-05	149.23	
7.33024E-05	143.25	
7.33053E-05	142.462	
7.33284E-05	136.303	
7.33313E-05	135.55	
7.33514E-05	130.67	
7.33601E-05	128.622	
7.33745E-05	125.452	
7.33889E-05	122.346	
7.33975E-05	120.638	
7.34235E-05	115.623	
7.34321E-05	113.986	
7.34523E-05	110.535	
7.34753E-05	106.677	
7.34811E-05	105.8	
7.35099E-05	101.51	
7.35185E-05	100.248	
7.35387E-05	97.5604	
7.35618E-05	94.5486	
7.35675E-05	93.8576	
7.35963E-05	90.4693	
7.36050E-05	89.4708	
7.36251E-05	87.3261	
7.36482E-05	84.9207	
7.36583E-05	83.9456	
7.36885E-05	81.0811	
