E(MeV)	"HF-178(N,TOT)"
8.27225E-06	2161.35
8.27706E-06	2121.7
8.29288E-06	1997.68
8.29562E-06	1977.3
8.30800E-06	1889.95
8.31350E-06	1852.73
8.32450E-06	1782.33
8.33412E-06	1723.59
8.34100E-06	1683.61
8.35062E-06	1630.15
8.35750E-06	1593.64
8.36988E-06	1530.79
8.37400E-06	1510.79
8.38912E-06	1440.58
8.39050E-06	1434.47
8.40700E-06	1364.26
8.40837E-06	1358.64
8.42350E-06	1299.47
8.42762E-06	1283.95
8.44000E-06	1239.33
8.44687E-06	1215.58
8.46062E-06	1170.45
8.47575E-06	1123.05
8.48125E-06	1106.66
8.49500E-06	1067.48
8.50187E-06	1048.79
8.52250E-06	995.108
8.54312E-06	946.335
8.55000E-06	930.72
8.56375E-06	901.072
8.57750E-06	872.573
8.58438E-06	859.011
8.60500E-06	819.872
8.62906E-06	778.071
8.63250E-06	772.341
8.65312E-06	739.553
8.66000E-06	729.056
8.67719E-06	703.987
8.68750E-06	689.528
8.70125E-06	671.082
8.71500E-06	653.334
8.72531E-06	640.61
8.74574E-06	616.555
8.76141E-06	598.937
8.77648E-06	582.88
8.79750E-06	561.471
8.80721E-06	552.041
8.82844E-06	532.531
8.85332E-06	510.616
8.85938E-06	505.608
8.89031E-06	481.069
8.89943E-06	474.117
8.92125E-06	458.465
8.94554E-06	441.708
8.95219E-06	437.379
8.98312E-06	418.001
8.99251E-06	412.329
9.01406E-06	400.041
9.03992E-06	385.934
9.06095E-06	375.081
9.08733E-06	362.162
9.10880E-06	352.194
9.13474E-06	340.751
9.15666E-06	331.568
9.18215E-06	321.398
9.20451E-06	312.982
9.24625E-06	298.001
9.25237E-06	295.945
9.30022E-06	280.588
9.31124E-06	277.198
9.34942E-06	266.198
9.37624E-06	258.788
9.39863E-06	252.964
9.44123E-06	242.322
9.44783E-06	240.768
9.49703E-06	229.635
9.50715E-06	227.431
9.54624E-06	219.399
9.57398E-06	213.908
9.59637E-06	209.718
9.64080E-06	201.707
9.64696E-06	200.655
9.69755E-06	192.323
9.70763E-06	190.726
9.76501E-06	182.119
9.77540E-06	180.625
9.83246E-06	172.949
9.87848E-06	167.018
9.90182E-06	164.226
9.97118E-06	156.279
9.98155E-06	155.137
1.00405E-05	149.1
1.00866E-05	144.569
1.01099E-05	142.427
1.01812E-05	136.129
1.01925E-05	135.165
1.02525E-05	130.396
1.02985E-05	126.867
1.03238E-05	125.048
1.03952E-05	120.103
1.04075E-05	119.276
1.04685E-05	115.442
1.05165E-05	112.524
1.05418E-05	111.061
1.05891E-05	108.418
1.06152E-05	107.047
1.06885E-05	103.309
1.07385E-05	100.834
1.07639E-05	99.6745
1.08393E-05	96.3322
1.08879E-05	94.2375
1.09147E-05	93.1714
1.10288E-05	88.7892
1.10415E-05	88.3207
1.11451E-05	84.7638
1.11951E-05	83.1118
1.12614E-05	81.0755
1.13531E-05	78.3644
1.13799E-05	77.6249
1.14995E-05	74.4488
1.15110E-05	74.1523
1.16190E-05	71.5669
1.16734E-05	70.3082
1.17420E-05	68.8253
1.18358E-05	66.8616
1.18649E-05	66.2999
1.19890E-05	63.9821
1.20863E-05	62.2196
1.21154E-05	61.7396
1.22418E-05	59.7209
1.23415E-05	58.1744
1.23706E-05	57.7617
1.25006E-05	55.9747
1.26014E-05	54.6249
1.26306E-05	54.268
1.27642E-05	52.676
1.28662E-05	51.4912
1.28979E-05	51.1543
1.30328E-05	49.7546
1.31385E-05	48.6833
1.31702E-05	48.3888
1.33534E-05	46.7346
1.34159E-05	46.1861
1.35418E-05	45.1545
1.36026E-05	44.6708
1.37302E-05	43.7333
1.39239E-05	42.3504
1.39864E-05	41.916
1.41176E-05	41.0952
1.43168E-05	39.8822
1.43810E-05	39.5004
1.45160E-05	38.7775
1.47208E-05	37.7081
1.47868E-05	37.3706
1.49256E-05	36.7285
1.51361E-05	35.7762
1.52040E-05	35.4756
1.53467E-05	34.9025
1.55632E-05	34.0513
1.56330E-05	33.7822
1.57797E-05	33.268
1.60024E-05	32.5031
1.60741E-05	32.261
1.62250E-05	31.7973
1.64539E-05	31.1065
1.65277E-05	30.8876
1.66828E-05	30.4764
1.69182E-05	29.8636
1.71535E-05	29.2608
1.72338E-05	29.0583
1.73955E-05	28.7006
1.76375E-05	28.174
1.78864E-05	27.6407
1.79666E-05	27.4716
1.82631E-05	26.9215
1.86469E-05	26.2244
1.87342E-05	26.0689
1.90415E-05	25.5847
1.94436E-05	24.9636
1.95308E-05	24.8308
1.97141E-05	24.5836
2.01313E-05	24.0297
2.03652E-05	23.724
2.05563E-05	23.5007
2.09893E-05	23.0032
2.12312E-05	22.7295
2.14304E-05	22.5278
2.18839E-05	22.0757
2.21382E-05	21.8256
2.23460E-05	21.6455
2.28167E-05	21.2433
2.32961E-05	20.8387
2.34052E-05	20.7478
2.37891E-05	20.4693
2.42914E-05	20.1093
2.47446E-05	19.7879
2.47865E-05	19.762
2.54360E-05	19.3644
2.59706E-05	19.0409
2.61607E-05	18.9269
2.65202E-05	18.7377
2.70399E-05	18.4668
2.75695E-05	18.1929
2.76579E-05	18.1476
2.81489E-05	17.9274
2.87446E-05	17.6625
2.93515E-05	17.3948
2.94949E-05	17.332
2.99697E-05	17.1522
3.05995E-05	16.9157
3.14629E-05	16.594
3.16228E-05	16.5349
3.23507E-05	16.3024
3.32635E-05	16.0133
3.38977E-05	15.8138
3.41557E-05	15.7438
3.50031E-05	15.5154
3.58506E-05	15.2884
3.66980E-05	15.0627
3.75454E-05	14.87
3.83928E-05	14.6784
3.92402E-05	14.4876
3.96639E-05	14.3926
4.00876E-05	14.3106
4.09351E-05	14.1473
4.22062E-05	13.9036
4.30536E-05	13.7418
4.34773E-05	13.6721
4.47484E-05	13.4641
4.60195E-05	13.257
4.68670E-05	13.1195
4.72907E-05	13.0602
4.85618E-05	12.8829
4.98329E-05	12.7063
5.09657E-05	12.5495
5.16747E-05	12.4637
5.31328E-05	12.2879
5.46320E-05	12.1076
5.54028E-05	12.0152
5.57881E-05	11.9749
5.73623E-05	11.8106
5.87308E-05	11.6681
6.03880E-05	11.4961
6.20919E-05	11.342
6.38153E-05	11.1866
6.55101E-05	11.0342
6.63575E-05	10.9581
6.72049E-05	10.8914
6.88998E-05	10.7583
7.05946E-05	10.6255
7.24404E-05	10.4812
7.33633E-05	10.4091
7.42862E-05	10.3453
7.61321E-05	10.2179
7.79779E-05	10.0907
7.98237E-05	9.96386
8.16695E-05	9.8373
8.35154E-05	9.71115
8.39768E-05	9.67984
8.55919E-05	9.57065
8.58227E-05	9.55508
8.72070E-05	9.4619
8.81299E-05	9.39999
8.90528E-05	9.33831
8.99758E-05	9.2769
9.08987E-05	9.21582
9.15909E-05	9.17028
9.22830E-05	9.11611
9.29752E-05	9.06229
9.34944E-05	9.02222
9.40135E-05	8.98244
9.45326E-05	8.94301
9.50518E-05	8.90402
9.55709E-05	8.85472
9.59170E-05	8.8222
9.62631E-05	8.79
9.66092E-05	8.75821
9.69553E-05	8.7269
9.71283E-05	8.71152
9.73014E-05	8.6912
9.76475E-05	8.65121
9.79070E-05	8.62174
9.81666E-05	8.59279
9.84262E-05	8.56446
9.85127E-05	8.55525
9.86858E-05	8.53048
9.89453E-05	8.49418
9.92049E-05	8.45888
9.94453E-05	8.42723
9.95255E-05	8.41701
9.96056E-05	8.40248
9.97659E-05	8.37405
9.99262E-05	8.34632
1.00086E-04	8.3194
1.00247E-04	8.29339
1.00407E-04	8.26843
1.00487E-04	8.25651
1.00547E-04	8.24361
1.00667E-04	8.21864
1.00787E-04	8.19454
1.00907E-04	8.1714
1.01011E-04	8.15211
1.01026E-04	8.14823
1.01146E-04	8.11843
1.01266E-04	8.09004
1.01386E-04	8.06329
1.01491E-04	8.04141
1.01535E-04	8.03268
1.01580E-04	8.01985
1.01670E-04	7.99552
1.01760E-04	7.97269
1.01850E-04	7.95153
1.01880E-04	7.94511
1.01940E-04	7.92597
1.02030E-04	7.89943
1.02119E-04	7.87535
1.02198E-04	7.85657
1.02224E-04	7.85106
1.02265E-04	7.83667
1.02333E-04	7.8151
1.02400E-04	7.79575
1.02468E-04	7.77889
1.02524E-04	7.76717
1.02535E-04	7.76304
1.02602E-04	7.74141
1.02670E-04	7.72335
1.02730E-04	7.7107
1.02748E-04	7.70779
1.02782E-04	7.69671
1.02835E-04	7.68255
1.02887E-04	7.67181
1.02939E-04	7.66491
1.02943E-04	7.66472
1.02992E-04	7.65223
1.03044E-04	7.64362
1.03097E-04	7.6405
1.03123E-04	7.64188
1.03143E-04	7.63745
1.03185E-04	7.63321
1.03226E-04	7.63379
1.03267E-04	7.63976
1.03302E-04	7.65015
1.03308E-04	7.65018
1.03349E-04	7.65719
1.03390E-04	7.67188
1.03415E-04	7.68571
1.03432E-04	7.69048
1.03469E-04	7.70963
1.03503E-04	7.73475
1.03527E-04	7.75895
1.03536E-04	7.76489
1.03570E-04	7.79571
1.03604E-04	7.83718
1.03638E-04	7.89073
1.03639E-04	7.89448
1.03671E-04	7.94618
1.03705E-04	8.01671
1.03714E-04	8.04105
1.03735E-04	8.08707
1.03761E-04	8.15902
1.03787E-04	8.24513
1.03789E-04	8.25243
1.03814E-04	8.33666
1.03840E-04	8.44571
1.03864E-04	8.56655
1.03866E-04	8.57496
1.03892E-04	8.71724
