E(MeV)	"TA-181(N,TOT)"	
1.02220E-05	6.47306E+02	
1.02223E-05	6.51161E+02	
1.02251E-05	6.84513E+02	
1.02258E-05	6.92883E+02	
1.02286E-05	7.28515E+02	
1.02292E-05	7.37458E+02	
1.02320E-05	7.76040E+02	
1.02344E-05	8.09929E+02	
1.02355E-05	8.25771E+02	
1.02389E-05	8.78771E+02	
1.02396E-05	8.89411E+02	
1.02424E-05	9.35610E+02	
1.02448E-05	9.76177E+02	
1.02458E-05	9.94956E+02	
1.02493E-05	1.05776E+03	
1.02499E-05	1.07036E+03	
1.02527E-05	1.12450E+03	
1.02551E-05	1.17206E+03	
1.02579E-05	1.23008E+03	
1.02603E-05	1.28107E+03	
1.02631E-05	1.34286E+03	
1.02655E-05	1.39714E+03	
1.02682E-05	1.46296E+03	
1.02724E-05	1.56204E+03	
1.02734E-05	1.58835E+03	
1.02803E-05	1.76438E+03	
1.02810E-05	1.78204E+03	
1.02872E-05	1.94895E+03	
1.02931E-05	2.10705E+03	
1.02993E-05	2.27502E+03	
1.03069E-05	2.48040E+03	
1.03131E-05	2.64025E+03	
1.03138E-05	2.65795E+03	
1.03200E-05	2.80649E+03	
1.03207E-05	2.82293E+03	
1.03262E-05	2.94122E+03	
1.03276E-05	2.97061E+03	
1.03324E-05	3.05939E+03	
1.03341E-05	3.09083E+03	
1.03383E-05	3.15283E+03	
1.03403E-05	3.18345E+03	
1.03441E-05	3.22775E+03	
1.03452E-05	3.23963E+03	
