MeV	"I-127(N,TOT)"	
2.64407E-05	3.07987	
2.66259E-05	3.13016	
2.67688E-05	3.17721	
2.68137E-05	3.19127	
2.70015E-05	3.26285	
2.71444E-05	3.32717	
2.72872E-05	3.40136	
2.74308E-05	3.48728	
2.75295E-05	3.5555	
2.75756E-05	3.58706	
2.77205E-05	3.70183	
2.78667E-05	3.83632	
2.79647E-05	3.93845	
2.80626E-05	4.05164	
2.81606E-05	4.17734	
2.82599E-05	4.31929	
2.83118E-05	4.40206	
2.83592E-05	4.47867	
2.84585E-05	4.65772	
2.85579E-05	4.85831	
2.86113E-05	4.98009	
2.86586E-05	5.08916	
2.87341E-05	5.2834	
2.88097E-05	5.49698	
2.88124E-05	5.50565	
2.88852E-05	5.73517	
2.89608E-05	5.99824	
2.89643E-05	6.01211	
2.90374E-05	6.29765	
2.91140E-05	6.63068	
2.91162E-05	6.64171	
2.91906E-05	7.00637	
2.91948E-05	7.02942	
2.92672E-05	7.43121	
2.92978E-05	7.62172	
2.93438E-05	7.9121	
2.93750E-05	8.1333	
2.94174E-05	8.43748	
2.94522E-05	8.71296	
2.94654E-05	8.8189	
2.95135E-05	9.23557	
2.95294E-05	9.38573	
2.95615E-05	9.69106	
2.95809E-05	9.89164	
2.96096E-05	10.1913	
2.96495E-05	10.6462	
2.96576E-05	10.7401	
2.97057E-05	11.3458	
2.97138E-05	11.4575	
2.97537E-05	12.0156	
2.97566E-05	12.0597	
2.97994E-05	12.7261	
2.98061E-05	12.8314	
2.98423E-05	13.463	
2.98585E-05	13.7502	
2.98851E-05	14.2644	
2.98935E-05	14.428	
2.99279E-05	15.1553	
2.99284E-05	15.1651	
2.99633E-05	15.9702	
2.99668E-05	16.0574	
2.99983E-05	16.8501	
3.00018E-05	16.9457	
3.00332E-05	17.8148	
3.00367E-05	17.9194	
3.00646E-05	18.7651	
3.00716E-05	18.9937	
3.00961E-05	19.8024	
3.01066E-05	20.178	
3.01275E-05	20.9377	
3.01415E-05	21.4878	
3.01590E-05	22.1826	
3.01677E-05	22.5608	
3.01904E-05	23.5533	
3.01939E-05	23.72	
3.02201E-05	24.9823	
3.02219E-05	25.0674	
3.02515E-05	26.6512	
3.02533E-05	26.7454	
