E(MeV)	pendfb7/Br81:1	
2.23673E-06	5.9930668	
2.33184E-06	5.98709948	
2.43146E-06	5.98117562	
2.53485E-06	5.97534615	
2.64315E-06	5.96955289	
2.75554E-06	5.96384554	
2.91323E-06	5.95630406	
3.07995E-06	5.94885137	
3.25622E-06	5.94148381	
3.44257E-06	5.93418044	
3.63958E-06	5.92694822	
3.90216E-06	5.91796383	
4.12548E-06	5.91081584	
4.42225E-06	5.90194155	
4.74130E-06	5.89305446	
5.08237E-06	5.88418582	
5.44904E-06	5.87528307	
6.00584E-06	5.86277291	
6.52871E-06	5.85191197	
7.09711E-06	5.8408957	
7.71499E-06	5.82965302	
8.50498E-06	5.81622172	
9.50630E-06	5.80038541	
1.04777E-05	5.78596938	
1.15506E-05	5.77086309	
1.29105E-05	5.75277551	
1.46312E-05	5.73112736	
1.61294E-05	5.71315411	
1.80284E-05	5.69124413	
2.01509E-05	5.66195322	
2.25234E-05	5.63017577	
2.57920E-05	5.58763337	
2.80375E-05	5.55921807	
3.09084E-05	5.52362128	
3.14520E-05	5.51702941	
3.35993E-05	5.48356729	
3.60164E-05	5.44655141	
3.86148E-05	5.40739942	
4.13926E-05	5.36633516	
4.21205E-05	5.35578953	
4.37615E-05	5.32509095	
4.62659E-05	5.2790159	
4.81798E-05	5.24442773	
5.02284E-05	5.20802461	
5.04761E-05	5.20371748	
5.23743E-05	5.16117591	
5.46013E-05	5.11227841	
5.69341E-05	5.06237766	
5.72037E-05	5.05676104	
5.85405E-05	5.02152025	
6.01924E-05	4.97884573	
6.21839E-05	4.92898947	
6.27419E-05	4.91161262	
6.42501E-05	4.86608337	
6.57582E-05	4.82180766	
6.65045E-05	4.80062264	
6.72664E-05	4.77363577	
6.91516E-05	4.70926547	
7.02827E-05	4.67219984	
7.12743E-05	4.63301098	
7.22659E-05	4.59500082	
7.31595E-05	4.56188445	
7.40531E-05	4.52194439	
7.50979E-05	4.477057	
7.61426E-05	4.43435695	
7.69831E-05	4.39263113	
7.78235E-05	4.35279417	
7.86719E-05	4.31480892	
7.95202E-05	4.27023539	
8.03685E-05	4.22865933	
8.12169E-05	4.18113877	
8.19238E-05	4.14465235	
8.21595E-05	4.13363646	
8.26308E-05	4.10584226	
8.33377E-05	4.06749111	
8.35734E-05	4.05625441	
8.40447E-05	4.02752579	
8.47516E-05	3.98962299	
8.49873E-05	3.97864832	
