E(MeV)	mcnp/Sm-150:1
4.750117E-05	79.89650726
4.751454E-05	84.09285736
4.752789E-05	88.65888977
4.754126E-05	93.6424942
4.755464E-05	99.10469055
4.756798E-05	105.092247
4.758135E-05	111.7073059
4.759472E-05	119.0329514
4.760808E-05	127.1715469
4.762145E-05	136.2580261
4.763482E-05	146.4456329
4.764818E-05	157.9152679
4.766154E-05	170.8681793
4.767491E-05	185.5756989
4.768828E-05	202.318924
4.770164E-05	221.4013519
4.771501E-05	243.254303
4.772837E-05	268.3032837
4.774174E-05	297.0444641
4.775510E-05	330.0000305
4.776845E-05	367.7620239
4.778183E-05	411.0822754
4.779519E-05	460.547821
4.780856E-05	516.9040527
4.782192E-05	580.8099976
4.783529E-05	653.0661011
4.784865E-05	734.1943359
4.786201E-05	824.7269287
4.787538E-05	925.2438965
4.788874E-05	1035.93457
4.790211E-05	1156.84668
4.792884E-05	1427.965454
4.794219E-05	1576.935913
4.796893E-05	1895.785889
4.802908E-05	2641.289551
4.804913E-05	2866.703125
4.806917E-05	3064.024902
4.809188E-05	3241.687012
4.812395E-05	3388.62085
4.813999E-05	3410.829346
4.814803E-05	3408.595703
4.816405E-05	3377.63916
4.819613E-05	3215.386719
4.821956E-05	3023.306641
4.824269E-05	2787.277344
4.828125E-05	2332.341064
4.832750E-05	1768.445068
4.835835E-05	1424.747681
4.837377E-05	1269.455444
4.838919E-05	1126.709961
4.840461E-05	997.0258179
4.842003E-05	880.5361328
4.843545E-05	776.7463379
4.845087E-05	685.1896973
4.846629E-05	604.9592896
4.848170E-05	535.1417847
4.849713E-05	474.607605
4.851254E-05	422.4028931
4.852797E-05	377.4666443
4.854339E-05	338.8426514
4.855882E-05	305.6292419
4.857424E-05	277.1021729
4.858965E-05	252.5284729
4.860506E-05	231.2657318
4.862048E-05	212.8117676
4.863590E-05	196.7343903
4.865133E-05	182.6374969
4.866675E-05	170.230072
