E(MeV)	Sm-154
9.40618E-05	27.8374
9.40809E-05	27.7875
9.40946E-05	26.9632
9.41082E-05	26.3319
9.41273E-05	26.1083
9.41395E-05	25.3103
9.41600E-05	25.0003
9.41749E-05	24.5549
9.42090E-05	23.8271
9.42104E-05	23.5442
9.42458E-05	23.1403
9.42581E-05	22.4797
9.42812E-05	22.2228
9.43010E-05	21.8548
9.43166E-05	21.2524
9.43521E-05	21.0179
9.43541E-05	20.6821
9.43875E-05	20.1327
9.44072E-05	19.9185
9.44270E-05	19.608
9.44604E-05	19.0994
9.44706E-05	18.9015
9.45135E-05	18.4629
9.45142E-05	17.9935
9.45578E-05	17.811
9.45667E-05	17.5509
9.46014E-05	16.9776
9.46198E-05	16.8097
9.46450E-05	16.5679
9.46729E-05	16.1708
9.46886E-05	15.8808
9.47322E-05	15.779
9.47336E-05	15.4138
9.47813E-05	15.0421
9.48017E-05	14.8972
9.48357E-05	14.6893
9.48698E-05	14.3454
9.48903E-05	13.9968
9.49379E-05	13.9777
9.49447E-05	13.567
9.49993E-05	13.13
9.50061E-05	13.0018
9.50538E-05	12.7121
9.50742E-05	12.4014
9.51083E-05	12.0864
9.51628E-05	11.9633
9.51764E-05	11.7773
9.52207E-05	11.4716
9.52786E-05	11.1608
9.52820E-05	11.0321
9.53433E-05	10.8218
9.53808E-05	10.61
9.54046E-05	10.397
9.54829E-05	10.2366
9.54966E-05	10.0763
9.55851E-05	9.97829
9.55885E-05	9.9112
9.56805E-05	9.79571
9.56873E-05	9.68083
9.57554E-05	9.56745
9.57895E-05	9.52015
9.58304E-05	9.47867
9.59053E-05	9.38423
9.60177E-05	9.29227
9.60211E-05	9.20259
9.61301E-05	9.15399
9.61369E-05	9.14272
9.62425E-05	9.0749
9.63107E-05	9.00981
9.63277E-05	8.94718
9.64231E-05	8.90292
9.64844E-05	8.89799
9.65184E-05	8.85023
9.66138E-05	8.79956
9.66581E-05	8.75314
9.67092E-05	8.72463
9.68523E-05	8.70674
9.69953E-05	8.69518
9.70566E-05	8.66055
9.71043E-05	8.62966
9.72269E-05	8.60324
9.72610E-05	8.58211
9.73496E-05	8.57837
9.74654E-05	8.56342
9.74722E-05	8.54558
9.75948E-05	8.53148
9.76697E-05	8.52674
9.77174E-05	8.52245
9.78401E-05	8.51076
9.79423E-05	8.50448
9.80240E-05	8.50445
9.81602E-05	8.51056
9.82148E-05	8.50965
9.82965E-05	8.51236
9.84873E-05	8.52087
9.85009E-05	8.5358
9.87053E-05	8.54882
9.87598E-05	8.55696
9.89096E-05	8.58491
9.90595E-05	8.61176
9.91140E-05	8.62553
9.92775E-05	8.63993
9.93865E-05	8.67249
9.95228E-05	8.71482
9.97135E-05	8.76831
9.97680E-05	8.79428
1.00013E-04	8.81505
1.00040E-04	8.8658
1.00258E-04	8.92692
1.00504E-04	8.99975
1.00531E-04	9.01591
1.00749E-04	9.07612
1.00994E-04	9.16542
1.01021E-04	9.27216
1.01240E-04	9.36731
1.01485E-04	9.39574
1.01512E-04	9.49616
1.01730E-04	9.61135
1.01975E-04	9.72123
1.02003E-04	9.74148
1.02220E-04	9.88188
1.02493E-04	10.0438
1.02547E-04	10.2305
1.02874E-04	10.4341
1.03174E-04	10.6709
1.03220E-04	10.8071
1.03583E-04	10.8936
1.03883E-04	11.1411
1.03947E-04	11.4252
1.04310E-04	11.6215
1.04605E-04	11.7471
1.04664E-04	12.0158
1.05009E-04	12.3177
1.05340E-04	12.6582
1.05354E-04	12.8381
1.05699E-04	13.0381
1.06059E-04	13.4663
1.06432E-04	13.8885
1.06453E-04	14.3277
1.06806E-04	14.8222
1.07179E-04	15.3767
1.07576E-04	16.0071
1.07701E-04	16.7267
1.08203E-04	17.5516
1.08706E-04	18.1692
1.09281E-04	18.8483
1.09856E-04	19.5961
1.10434E-04	20.4206
1.11017E-04	21.3368
1.11601E-04	22.3484
1.12189E-04	23.3892
1.12584E-04	23.6157
1.12781E-04	25.0416
1.13372E-04	25.9286
1.13972E-04	26.6429
1.14172E-04	28.4417
1.14572E-04	29.0234
1.15350E-04	30.4656
1.16106E-04	31.9492
1.16484E-04	32.8015
1.16858E-04	33.5509
1.17604E-04	33.8678
1.18394E-04	35.2855
1.18810E-04	37.1532
1.19226E-04	37.4211
1.20064E-04	39.173
1.20908E-04	41.3452
1.21330E-04	41.5396
1.21736E-04	43.6923
1.22549E-04	46.2117
1.23389E-04	46.3027
1.24256E-04	49.7797
1.24690E-04	49.8793
1.25129E-04	53.3836
1.26009E-04	53.8177
1.27190E-04	57.3088
1.28383E-04	59.1978
1.28835E-04	61.5713
1.29737E-04	63.6227
1.31110E-04	66.1985
1.32495E-04	68.4209
1.33424E-04	71.2114
1.33894E-04	73.6148
1.35306E-04	76.6327
1.36891E-04	79.2269
1.38340E-04	82.4843
1.38822E-04	85.2791
1.39802E-04	88.7883
1.41278E-04	91.793
1.43271E-04	95.5657
1.44781E-04	98.7893
1.45803E-04	102.837
1.46313E-04	106.3
1.48377E-04	111.517
1.50471E-04	114.309
1.52594E-04	120.85
1.54206E-04	121.349
1.56382E-04	130.361
1.58588E-04	130.863
1.60738E-04	139.96
1.62773E-04	141.572
1.65759E-04	150.123
1.68746E-04	152.986
1.71732E-04	160.858
1.74800E-04	165.114
1.78033E-04	172.165
1.81266E-04	177.957
1.83422E-04	184.103
1.84499E-04	196.441
1.87732E-04	197.13
1.88810E-04	210.264
1.91474E-04	214.66
1.94175E-04	225.513
1.96914E-04	239.52
1.99586E-04	241.166
2.01742E-04	257.686
2.03897E-04	265.978
2.04974E-04	278.206
2.06052E-04	302.328
2.08207E-04	302.788
2.10363E-04	326.807
2.12518E-04	355.1
2.14673E-04	360.29
2.15212E-04	398.2
2.16829E-04	442.335
2.18445E-04	446.909
2.20061E-04	490.482
2.21139E-04	530.595
2.21678E-04	541.427
2.23294E-04	554.598
2.24911E-04	572.719
2.25989E-04	575.891
2.26527E-04	594.026
2.27066E-04	597.724
2.28144E-04	608.668
2.29221E-04	611.964
2.30299E-04	619.505
2.30838E-04	622.083
2.31377E-04	626.555
2.32454E-04	627.89
2.32993E-04	628.892
2.34071E-04	628.402
2.34879E-04	627.968
2.35687E-04	625.937
2.36496E-04	625.146
2.37304E-04	619.781
2.38112E-04	617.404
2.38920E-04	609.298
2.39459E-04	605.751
2.39728E-04	598.9
2.40537E-04	590.413
2.41345E-04	586.71
2.41614E-04	571.711
2.41884E-04	567.418
2.42423E-04	550.045
2.42987E-04	545.24
2.43282E-04	525.838
2.43577E-04	520.54
2.44167E-04	493.841
2.44757E-04	485.777
2.45052E-04	465.6
2.45317E-04	427.887
2.45848E-04	421.987
2.46114E-04	374.52
2.46379E-04	343.627
2.46910E-04	306.07
2.47176E-04	270.391
2.47309E-04	246.321
2.47707E-04	243.294
2.48105E-04	222.185
2.48238E-04	205.142
2.48503E-04	199.771
2.48902E-04	189.085
2.49300E-04	173.999
2.49698E-04	173.999
2.50096E-04	163.364
2.50495E-04	152.167
2.50893E-04	151.111
2.51158E-04	141.675
2.51424E-04	131.821
2.51778E-04	130.897
2.51955E-04	122.644
2.52132E-04	114.067
2.52368E-04	113.267
2.52486E-04	106.129
2.52604E-04	98.7438
2.52840E-04	96.3236
2.53017E-04	93.2462
2.53076E-04	87.4723
2.53312E-04	82.0823
2.53548E-04	77.1197
2.53600E-04	72.5002
2.53791E-04	70.3518
2.53961E-04	68.2325
2.53983E-04	64.2965
2.54175E-04	60.6437
2.54367E-04	57.3066
2.54374E-04	54.2151
2.54558E-04	52.7832
2.54750E-04	51.3719
2.54787E-04	49.3231
2.54920E-04	47.5395
2.55097E-04	47.1337
2.55141E-04	45.1149
2.55362E-04	43.2313
2.55436E-04	42.4621
2.55510E-04	41.4893
2.55657E-04	39.8759
2.55790E-04	38.3697
2.55805E-04	38.2817
2.55952E-04	36.9908
2.56085E-04	35.7049
2.56181E-04	33.9316
2.56262E-04	33.3961
2.56439E-04	32.3543
2.56557E-04	30.9384
2.56675E-04	29.7052
2.56734E-04	29.653
2.56793E-04	28.5136
2.56911E-04	27.6404
2.57040E-04	26.9102
2.57044E-04	26.8313
2.57147E-04	26.0978
2.57180E-04	25.0891
2.57236E-04	24.6321
2.57285E-04	24.1893
2.57309E-04	23.3843
2.57368E-04	22.6481
2.57390E-04	21.9965
2.57424E-04	21.3954
2.57468E-04	20.8377
2.57495E-04	20.6644
2.57516E-04	20.3322
2.57560E-04	19.8293
2.57586E-04	19.2903
2.57590E-04	19.1567
2.57619E-04	18.8038
2.57652E-04	18.3554
