MeV	"I-127(N,EL)I-127-L0"
7.75533E-05	3.17697
7.75807E-05	3.34847
7.76081E-05	3.54783
7.76264E-05	3.69884
7.76447E-05	3.86656
7.76629E-05	4.05327
7.76812E-05	4.26169
7.76995E-05	4.49501
7.77178E-05	4.75708
7.77360E-05	5.05247
7.77497E-05	5.29918
7.77634E-05	5.57048
7.77772E-05	5.86952
7.77909E-05	6.19997
7.78041E-05	6.55322
7.78164E-05	6.91588
7.78288E-05	7.31524
7.78411E-05	7.75589
7.78535E-05	8.24306
7.78658E-05	8.78265
7.78781E-05	9.38136
7.78905E-05	10.0467
7.79028E-05	10.7872
7.79151E-05	11.6123
7.79275E-05	12.5326
7.79380E-05	13.4006
7.79476E-05	14.2676
7.79572E-05	15.2127
7.79668E-05	16.243
7.79764E-05	17.3661
7.79859E-05	18.5902
7.79955E-05	19.9239
7.80051E-05	21.3766
7.80147E-05	22.9579
7.80243E-05	24.6781
7.80339E-05	26.548
7.80440E-05	28.6796
7.80540E-05	31.001
7.80641E-05	33.526
7.80741E-05	36.2685
7.80842E-05	39.2428
7.80942E-05	42.4633
7.81043E-05	45.944
7.81143E-05	49.6992
7.81235E-05	53.3625
7.81326E-05	57.2736
7.81417E-05	61.4418
7.81509E-05	65.8755
7.81600E-05	70.5826
7.81737E-05	78.17
7.81874E-05	86.4046
7.82002E-05	94.6839
7.82130E-05	103.538
7.82258E-05	112.962
7.82386E-05	122.943
7.82532E-05	135.004
7.82678E-05	147.715
7.82898E-05	167.857
7.83190E-05	196.246
7.83775E-05	254.562
7.83994E-05	275.376
7.84213E-05	294.719
7.84433E-05	312.013
7.84652E-05	326.717
7.84849E-05	337.342
7.85047E-05	345.203
7.85193E-05	349.122
7.85343E-05	351.391
7.85471E-05	351.908
7.85617E-05	350.898
7.85781E-05	347.754
7.85982E-05	341.144
7.86129E-05	334.542
7.86348E-05	322.079
7.86567E-05	306.956
7.86787E-05	289.69
7.87079E-05	264.301
7.87810E-05	196.936
7.88029E-05	177.558
7.88230E-05	160.68
7.88395E-05	147.632
7.88559E-05	135.346
7.88731E-05	123.379
7.88907E-05	112.097
7.89024E-05	105.108
7.89140E-05	98.5411
7.89257E-05	92.3889
7.89374E-05	86.6414
7.89491E-05	81.2859
7.89641E-05	74.9729
7.89778E-05	69.7109
7.89915E-05	64.9082
7.90052E-05	60.5344
7.90189E-05	56.5587
7.90326E-05	52.9501
7.90464E-05	49.6784
7.90601E-05	46.7143
7.90738E-05	44.0299
7.90875E-05	41.5987
7.91012E-05	39.396
7.91149E-05	37.3989
7.91286E-05	35.5863
7.91469E-05	33.4234
7.91651E-05	31.5135
7.91834E-05	29.8211
7.92017E-05	28.3155
7.92200E-05	26.9702
7.92382E-05	25.7628
7.92611E-05	24.4188
7.92748E-05	23.6884
7.93022E-05	22.3729
7.93296E-05	21.2208
7.93570E-05	20.2029
7.93844E-05	19.2966
7.94119E-05	18.484
7.94530E-05	17.4104
7.94859E-05	16.6557
7.95242E-05	15.8716
7.95626E-05	15.1747
7.96010E-05	14.5511
7.96586E-05	13.7297
7.97161E-05	13.0204
7.97737E-05	12.4019
7.98422E-05	11.7618
7.99108E-05	11.2068
7.99793E-05	10.7212
8.00478E-05	10.2929
8.01392E-05	9.79504
8.02306E-05	9.36525
8.03220E-05	8.99062
8.04133E-05	8.66129
8.05504E-05	8.23579
8.06874E-05	7.87556
8.08245E-05	7.5665
8.09616E-05	7.29839
8.11443E-05	6.99156
8.13271E-05	6.73046
8.15098E-05	6.50527
8.17840E-05	6.21948
8.19667E-05	6.05616
8.22423E-05	5.84165
8.25180E-05	5.65723
8.29315E-05	5.42228
8.33144E-05	5.23765
8.38045E-05	5.03371
8.43821E-05	4.82501
8.54149E-05	4.49647
8.65702E-05	4.13468
8.71653E-05	3.92308
8.74804E-05	3.79602
8.78369E-05	3.63328
8.81043E-05	3.49335
8.83365E-05	3.35561
8.85513E-05	3.21184
8.87660E-05	3.04972
8.90134E-05	2.84006
8.92607E-05	2.62315
8.93432E-05	2.56232
8.94050E-05	2.52912
8.94495E-05	2.5169
8.94734E-05	2.51636
8.95093E-05	2.5266
8.95452E-05	2.55516
8.95691E-05	2.5883
8.95930E-05	2.63656
8.96109E-05	2.68529
8.96268E-05	2.73945
8.96466E-05	2.82458
8.96614E-05	2.90385
8.96763E-05	2.99889
8.96911E-05	3.11246
8.97059E-05	3.24774
8.97208E-05	3.40842
8.97307E-05	3.53172
8.97406E-05	3.6696
8.97505E-05	3.82358
8.97604E-05	3.99536
8.97702E-05	4.18674
8.97793E-05	4.38108
8.97917E-05	4.67829
8.97999E-05	4.89905
8.98082E-05	5.13957
8.98164E-05	5.40135
8.98247E-05	5.68599
8.98329E-05	5.99515
8.98411E-05	6.33059
8.98494E-05	6.69413
8.98576E-05	7.08767
8.98659E-05	7.51319
8.98741E-05	7.97272
8.98824E-05	8.46837
8.98906E-05	9.00229
8.98989E-05	9.57667
8.99071E-05	10.1938
8.99170E-05	10.9938
8.99269E-05	11.8625
8.99368E-05	12.8039
8.99467E-05	13.8217
8.99566E-05	14.9197
8.99665E-05	16.1017
8.99764E-05	17.3711
8.99863E-05	18.7312
8.99961E-05	20.1848
9.00060E-05	21.7347
9.00168E-05	23.5248
9.00291E-05	25.7367
9.00415E-05	28.1074
9.00539E-05	30.6375
9.00662E-05	33.326
9.00786E-05	36.17
9.00944E-05	40.0294
9.01103E-05	44.1205
9.01274E-05	48.7892
9.01472E-05	54.4369
9.01802E-05	64.2861
9.02263E-05	78.2908
9.02527E-05	85.9446
9.02725E-05	91.3092
9.02923E-05	96.2235
9.03114E-05	100.443
9.03292E-05	103.824
9.03461E-05	106.474
9.03649E-05	108.756
9.03853E-05	110.379
9.04044E-05	111.052
9.04110E-05	111.095
9.04269E-05	110.801
9.04453E-05	109.767
9.04651E-05	107.869
9.04849E-05	105.215
9.05047E-05	101.883
9.05245E-05	97.9649
9.05508E-05	92.0054
9.05772E-05	85.4403
9.06537E-05	65.2568
9.06854E-05	57.2848
9.07085E-05	51.8465
9.07258E-05	48.0201
9.07431E-05	44.4301
9.07604E-05	41.0872
9.07777E-05	37.9961
9.07942E-05	35.2856
9.08107E-05	32.7985
9.08272E-05	30.5274
9.08437E-05	28.4625
9.08602E-05	26.5921
9.08767E-05	24.9036
9.08932E-05	23.3834
9.09097E-05	22.0177
9.09262E-05	20.7928
9.09426E-05	19.6954
9.09591E-05	18.7125
9.09756E-05	17.8322
9.09921E-05	17.0432
9.10086E-05	16.3352
9.10251E-05	15.6988
9.10416E-05	15.1256
9.10663E-05	14.3679
9.10910E-05	13.7134
9.11158E-05	13.1441
9.11405E-05	12.6449
9.11652E-05	12.204
9.12023E-05	11.6308
9.12394E-05	11.142
9.12765E-05	10.719
9.13136E-05	10.3488
9.13693E-05	9.8712
9.14249E-05	9.46664
9.14806E-05	9.11885
9.15362E-05	8.81625
9.15981E-05	8.52278
9.16599E-05	8.26593
9.17424E-05	7.96931
9.18248E-05	7.71468
9.19114E-05	7.4833
9.20474E-05	7.17763
9.21835E-05	6.92593
9.23112E-05	6.72662
9.24761E-05	6.50993
9.26410E-05	6.3283
9.28884E-05	6.10456
9.31357E-05	5.9237
9.33831E-05	5.77402
9.36799E-05	5.62482
9.40756E-05	5.46332
9.44713E-05	5.33223
