E(MeV)	pendfb7/Ba135:1
1.29994E-06	3.50968551
1.33662E-06	3.49712026
1.37433E-06	3.48467981
1.41311E-06	3.47236134
1.45298E-06	3.46017034
1.51506E-06	3.44208721
1.57948E-06	3.42429219
1.64696E-06	3.40665581
1.71699E-06	3.38933328
1.79035E-06	3.37215266
1.86647E-06	3.35526222
1.94622E-06	3.33849703
2.02897E-06	3.32200196
2.11565E-06	3.30561354
2.20561E-06	3.28947445
2.29984E-06	3.27342894
2.39764E-06	3.25768148
2.50007E-06	3.24188929
2.60638E-06	3.2263414
2.71773E-06	3.2108473
2.83329E-06	3.19554421
2.95433E-06	3.18027965
3.12341E-06	3.160119
3.30216E-06	3.14011602
3.49114E-06	3.12023631
3.63958E-06	3.1054744
3.84787E-06	3.08576712
4.06809E-06	3.06612601
4.30090E-06	3.04654024
4.54704E-06	3.02698359
4.80726E-06	3.00741688
5.15408E-06	2.98292488
5.52485E-06	2.95842482
5.92344E-06	2.93381788
6.34955E-06	2.90916721
7.09711E-06	2.86952393
7.60913E-06	2.84456512
8.15651E-06	2.81968565
8.62330E-06	2.79973802
9.24542E-06	2.77494407
1.02435E-05	2.73530366
1.09825E-05	2.70927609
1.16111E-05	2.68949603
1.21048E-05	2.67552808
1.25562E-05	2.66423644
1.26219E-05	2.66215752
1.31586E-05	2.64722628
1.39117E-05	2.63020285
1.43042E-05	2.62366636
1.48116E-05	2.61783905
1.48376E-05	2.61767711
1.51228E-05	2.61349365
1.55495E-05	2.60992095
1.58786E-05	2.60946714
1.62139E-05	2.61143628
1.63538E-05	2.61344076
1.65554E-05	2.61434603
1.69033E-05	2.61943631
1.71418E-05	2.62537724
1.73803E-05	2.6336034
1.75336E-05	2.64059207
1.76255E-05	2.64366992
1.78707E-05	2.65504014
1.81228E-05	2.67054391
1.83749E-05	2.69073725
1.85371E-05	2.70659086
1.85693E-05	2.70929503
1.87638E-05	2.7289801
1.89600E-05	2.75299442
1.91599E-05	2.78258016
1.93253E-05	2.8118398
1.93599E-05	2.81747005
1.95635E-05	2.85760393
1.97006E-05	2.88917462
1.98376E-05	2.92493986
1.98706E-05	2.93468254
1.99746E-05	2.96390401
2.01155E-05	3.00904066
2.02564E-05	3.06059848
2.03973E-05	3.11949903
2.04313E-05	3.13570302
2.05383E-05	3.18493658
2.06831E-05	3.26177614
2.07918E-05	3.32718447
2.09004E-05	3.40020013
2.10078E-05	3.4807893
2.10091E-05	3.48177991
2.11178E-05	3.5707771
2.12295E-05	3.67358346
2.13412E-05	3.79000029
2.14529E-05	3.92228898
2.15647E-05	4.07279948
2.16392E-05	4.18473251
2.17136E-05	4.30717115
2.18121E-05	4.48729702
2.19106E-05	4.69132162
2.19762E-05	4.84259547
2.20419E-05	5.00771141
2.20866E-05	5.13075418
2.21075E-05	5.18869905
2.21732E-05	5.38789241
2.22389E-05	5.60663511
2.23150E-05	5.88889156
2.23188E-05	5.90313878
2.23720E-05	6.12344386
2.24253E-05	6.3626069
2.24672E-05	6.56703795
2.24786E-05	6.62352269
2.25319E-05	6.91060615
2.25852E-05	7.22397885
2.26384E-05	7.56685745
2.26651E-05	7.75398493
2.26860E-05	7.90313791
2.27488E-05	8.39681851
2.27907E-05	8.75919445
2.28325E-05	9.1561267
2.28744E-05	9.58673695
2.29163E-05	10.0599221
2.29581E-05	10.5753058
2.30000E-05	11.1437995
2.30190E-05	11.4296544
2.30514E-05	11.9201504
2.30761E-05	12.3325061
2.30856E-05	12.4927267
2.31199E-05	13.116291
2.31332E-05	13.3791115
2.31541E-05	13.796596
2.31884E-05	14.5383293
2.31903E-05	14.5831971
2.32226E-05	15.3530542
2.32283E-05	15.5013084
2.32569E-05	16.2486263
2.32664E-05	16.5197421
2.32873E-05	17.121424
2.33044E-05	17.6628938
2.33273E-05	18.3912458
2.33387E-05	18.7905954
2.33539E-05	19.327812
2.33729E-05	20.0524372
2.33805E-05	20.3450802
2.34072E-05	21.4523753
2.34338E-05	22.6642961
2.34414E-05	23.0404654
2.34605E-05	23.9893636
2.34671E-05	24.3510344
2.34871E-05	25.444865
2.34928E-05	25.7834609
2.35092E-05	26.7623975
2.35185E-05	27.363432
2.35312E-05	28.1927057
2.35442E-05	29.101429
2.35533E-05	29.7490632
2.35699E-05	31.0190801
2.35754E-05	31.4460893
2.35883E-05	32.5319287
2.35975E-05	33.3043888
2.36081E-05	34.2842271
2.36195E-05	35.3427957
2.36279E-05	36.1891498
2.36416E-05	37.5859719
2.36477E-05	38.2648371
2.36637E-05	40.0626455
2.36675E-05	40.533028
2.36865E-05	42.9063764
2.36873E-05	43.011248
2.37071E-05	45.7636553
2.37093E-05	46.0846426
2.37268E-05	48.8117182
2.37322E-05	49.6503467
2.37444E-05	51.7445822
2.37474E-05	52.2731012
2.37596E-05	54.54829
2.37626E-05	55.1223269
2.37748E-05	57.5989239
2.37778E-05	58.2240124
2.37900E-05	60.921789
2.37923E-05	61.4326986
2.38052E-05	64.5511026
2.38060E-05	64.7364656
2.38197E-05	68.3312211
2.38205E-05	68.547044
2.38334E-05	72.2539262
2.38357E-05	72.9627128
2.38471E-05	76.5399061
2.38585E-05	80.4593023
2.38608E-05	81.2507199
2.38707E-05	84.9865246
2.38745E-05	86.4380882
2.38829E-05	89.9287888
2.38882E-05	92.1736606
2.38951E-05	95.3320432
2.39011E-05	98.170324
2.39072E-05	101.27108
2.39133E-05	104.407404
2.39194E-05	107.836614
2.39255E-05	111.301458
2.39285E-05	113.202797
2.39377E-05	118.958822
2.39468E-05	125.360775
2.39499E-05	127.516747
2.39559E-05	132.222477
2.39590E-05	134.6002
2.39651E-05	139.739862
2.39681E-05	142.337858
2.39742E-05	147.966759
2.39773E-05	150.813186
2.39833E-05	156.994706
2.39864E-05	160.121825
2.39925E-05	166.978776
2.39970E-05	172.183629
2.40016E-05	177.903451
2.40062E-05	183.684586
2.40085E-05	186.846134
2.40153E-05	196.418312
2.40222E-05	207.007519
2.40244E-05	210.572813
2.40290E-05	218.397444
2.40336E-05	226.305095
2.40366E-05	232.09974
2.40427E-05	243.817868
2.40442E-05	247.002695
2.40496E-05	258.275156
2.40518E-05	263.468512
2.40564E-05	273.973846
2.40595E-05	281.504283
2.40633E-05	291.026995
2.40671E-05	301.22423
2.40694E-05	307.41509
2.40747E-05	322.946317
2.40770E-05	329.6823
2.40823E-05	346.710615
2.40846E-05	354.09565
2.40899E-05	372.754463
2.40922E-05	380.841336
2.40968E-05	398.341869
2.40998E-05	410.131632
2.41036E-05	426.062183
2.41074E-05	442.157554
2.41105E-05	456.059369
2.41150E-05	477.123692
2.41173E-05	488.476834
2.41226E-05	515.230839
2.41242E-05	523.426405
2.41295E-05	552.387269
2.41310E-05	561.306084
2.41379E-05	601.815323
2.41386E-05	606.359965
