E(MeV)	Gd-160
2.226540E-04	175.645
2.226670E-04	166.762
2.226760E-04	160.522
2.226810E-04	156.968
2.226950E-04	147.858
2.226970E-04	146.898
2.227100E-04	139.467
2.227180E-04	134.768
2.227240E-04	131.646
2.227380E-04	124.386
2.227400E-04	123.877
2.227530E-04	117.488
2.227610E-04	114.242
2.227690E-04	110.663
2.227820E-04	105.61
2.227850E-04	104.392
2.228010E-04	98.6607
2.228030E-04	97.9406
2.228170E-04	93.434
2.228240E-04	91.1484
2.228330E-04	88.6319
2.228460E-04	85.0769
2.228490E-04	84.2201
2.228650E-04	80.1862
2.228670E-04	79.6785
2.228810E-04	76.511
2.228920E-04	74.1534
2.228970E-04	73.1069
2.229130E-04	69.9862
2.229160E-04	69.3
2.229310E-04	66.6724
2.229410E-04	65.0463
2.229510E-04	63.4452
2.229660E-04	61.2768
2.229710E-04	60.5245
2.229910E-04	57.8811
2.229990E-04	56.9197
2.230110E-04	55.4742
2.230310E-04	53.2548
2.230320E-04	53.1709
2.230510E-04	51.2596
2.230650E-04	49.9529
2.230710E-04	49.4023
2.230910E-04	47.7008
2.230980E-04	47.1439
2.231170E-04	45.633
2.231300E-04	44.6695
2.231390E-04	44.0859
2.231650E-04	42.4282
2.231800E-04	41.4467
2.231900E-04	40.894
2.232150E-04	39.496
2.232300E-04	38.7249
2.232500E-04	37.7911
2.232800E-04	36.3766
2.232830E-04	36.2381
2.233180E-04	34.8447
2.233300E-04	34.3492
2.233510E-04	33.5756
2.233860E-04	32.4003
2.234050E-04	31.754
2.234240E-04	31.1863
2.234660E-04	29.958
2.234800E-04	29.5792
2.235090E-04	28.8463
2.235510E-04	27.8148
2.235570E-04	27.6918
2.235940E-04	26.8884
2.236360E-04	26.0118
2.236790E-04	25.2265
2.237160E-04	24.5677
2.237210E-04	24.4792
2.237690E-04	23.7172
2.237960E-04	23.3127
2.238220E-04	22.9351
2.238750E-04	22.2147
2.239020E-04	21.8697
2.239280E-04	21.5509
2.239820E-04	20.9402
2.240190E-04	20.5294
2.240350E-04	20.3671
2.240880E-04	19.8472
2.241410E-04	19.3463
2.241460E-04	19.298
2.242020E-04	18.8312
2.242710E-04	18.2769
2.242740E-04	18.2565
2.243400E-04	17.7835
2.244010E-04	17.3655
2.244090E-04	17.3153
2.244780E-04	16.8976
2.245470E-04	16.4952
2.245710E-04	16.3605
2.246160E-04	16.125
2.246780E-04	15.817
2.246850E-04	15.7799
2.247620E-04	15.4339
2.248480E-04	15.0661
2.248900E-04	14.8885
2.249320E-04	14.7286
2.250180E-04	14.42
2.251020E-04	14.1215
2.251870E-04	13.8595
2.252730E-04	13.6055
2.253150E-04	13.4821
2.253570E-04	13.3697
2.254530E-04	13.1243
2.255280E-04	12.9394
2.255590E-04	12.8682
2.256660E-04	12.6389
2.257720E-04	12.4166
2.258460E-04	12.2653
2.258780E-04	12.208
2.259840E-04	12.0224
2.260910E-04	11.8418
2.261650E-04	11.7185
2.261970E-04	11.6714
2.263140E-04	11.5033
2.264410E-04	11.3249
2.264840E-04	11.267
2.265690E-04	11.1656
2.266960E-04	11.0175
2.268240E-04	10.873
2.269510E-04	10.7319
2.269620E-04	10.7204
2.271430E-04	10.5528
2.272700E-04	10.4376
2.274400E-04	10.2877
2.276100E-04	10.1629
2.277800E-04	10.0412
2.279500E-04	9.92239
2.280770E-04	9.83515
2.281200E-04	9.81051
2.282900E-04	9.71418
2.284600E-04	9.61985
2.286300E-04	9.52733
2.287150E-04	9.48192
2.288210E-04	9.43206
2.290120E-04	9.34415
2.291400E-04	9.28663
2.292040E-04	9.26178
2.293950E-04	9.18871
2.296820E-04	9.08153
2.299690E-04	8.9769
2.300750E-04	8.93884
2.301600E-04	8.91365
2.304260E-04	8.8364
2.306910E-04	8.76067
2.309570E-04	8.68625
2.310100E-04	8.6716
2.312220E-04	8.62287
2.314880E-04	8.56301
2.317540E-04	8.50408
2.320190E-04	8.44599
2.321150E-04	8.4254
2.324070E-04	8.3748
2.327740E-04	8.3126
2.331400E-04	8.25144
2.335070E-04	8.19122
2.337300E-04	8.15506
2.338730E-04	8.13647
2.342400E-04	8.08967
2.346040E-04	8.04381
2.349680E-04	7.99852
2.352600E-04	7.96272
2.354540E-04	7.94381
2.359400E-04	7.89723
2.364710E-04	7.84704
2.369030E-04	7.80669
2.373360E-04	7.76674
2.375660E-04	7.74566
2.379120E-04	7.72084
2.384890E-04	7.68002
2.390650E-04	7.63969
