E(MeV)	Mo-nat
4.446900E-05	346.781
4.448360E-05	367.923
4.448530E-05	370.468
4.449940E-05	392.55
4.449990E-05	393.471
4.451460E-05	418.351
4.451510E-05	419.346
4.452920E-05	445.245
4.453090E-05	448.474
4.454380E-05	474.244
4.454660E-05	480.06
4.455840E-05	505.473
4.456240E-05	514.259
4.457310E-05	539.051
4.457810E-05	551.218
4.458770E-05	575.184
4.459730E-05	600.094
4.460630E-05	624.535
4.461410E-05	646.777
4.462310E-05	673.158
4.463100E-05	697.07
4.464000E-05	725.374
4.464790E-05	750.969
4.465690E-05	781.193
4.466480E-05	808.583
4.467940E-05	861.195
4.468610E-05	886.407
4.470520E-05	960.177
4.470640E-05	964.67
4.473560E-05	1085.26
4.473680E-05	1090.03
4.477630E-05	1263.01
4.478490E-05	1300.63
4.482470E-05	1475.43
4.483210E-05	1507.21
4.485240E-05	1590.78
4.485870E-05	1615.66
4.487940E-05	1693.26
4.488430E-05	1710.81
4.489740E-05	1753.58
4.491000E-05	1792.33
4.491540E-05	1807.45
4.492800E-05	1839.79
4.493340E-05	1852.26
4.494600E-05	1878.1
4.495140E-05	1887.66
4.496400E-05	1906.44
4.496940E-05	1912.9
4.498200E-05	1924.13
4.498830E-05	1927.91
4.499860E-05	1931.14
4.500290E-05	1931.19
4.501760E-05	1927.06
4.502230E-05	1924.41
4.503240E-05	1915.73
4.503780E-05	1909.63
4.505040E-05	1891.95
4.505580E-05	1882.87
4.506840E-05	1857.98
4.507560E-05	1841.92
4.508590E-05	1815.81
4.509720E-05	1784.88
4.510350E-05	1765.94
4.511700E-05	1722.44
4.512440E-05	1696.75
4.514400E-05	1624.75
4.515210E-05	1593.29
4.517100E-05	1516.25
4.518900E-05	1440.13
4.522050E-05	1304.48
4.525990E-05	1134.34
4.526100E-05	1129.59
4.528120E-05	1046.17
4.529470E-05	991.878
4.530380E-05	956.818
4.531730E-05	905.837
4.532620E-05	872.94
4.533970E-05	825.375
4.534880E-05	794.739
4.535830E-05	763.377
4.536670E-05	736.734
4.538020E-05	695.71
4.538700E-05	676.091
4.540220E-05	633.84
4.540730E-05	620.411
4.542410E-05	577.682
4.542750E-05	569.486
4.543880E-05	543.456
4.544770E-05	523.345
4.545340E-05	511.38
4.546800E-05	481.378
