E(MeV)	Cr-nat			
5.93848E-03	23.8467			
5.95656E-03	23.2594			
5.96861E-03	22.8983			
5.99271E-03	22.2768			
6.01682E-03	21.7463			
6.04093E-03	21.316			
6.07709E-03	20.8483			
6.11324E-03	20.4939			
6.13735E-03	20.3381			
6.16146E-03	20.2866			
6.18556E-03	20.2353			
6.21469E-03	20.2526			
6.25788E-03	20.488			
6.26993E-03	20.5856			
6.30609E-03	20.8785			
6.32476E-03	21.0815			
6.33953E-03	21.2418			
6.40252E-03	22.101			
6.43641E-03	22.6051			
6.47079E-03	23.1158			
6.49894E-03	23.5333			
6.51099E-03	23.6967			
6.52210E-03	23.8471			
6.53510E-03	23.9724			
6.59536E-03	24.5525			
6.60742E-03	24.6683			
6.63152E-03	24.8549			
6.64236E-03	24.8832			
6.69210E-03	25.0123			
6.70384E-03	24.9905			
6.74603E-03	24.9119			
6.78602E-03	24.6991			
6.79589E-03	24.6466			
6.81013E-03	24.5361			
6.84848E-03	24.2385			
6.86053E-03	24.1175			
6.87861E-03	23.9359			
6.94490E-03	23.2717			
6.96901E-03	22.9964			
7.01722E-03	22.4457			
7.04133E-03	22.1706			
7.07748E-03	21.7584			
7.08954E-03	21.6379			
7.14980E-03	21.0358			
7.17391E-03	20.7952			
7.19801E-03	20.5977			
7.24623E-03	20.2031			
7.29444E-03	19.9189			
7.30649E-03	19.848			
7.34265E-03	19.7014			
7.36676E-03	19.6039			
7.39086E-03	19.5576			
7.41497E-03	19.5115			
7.42542E-03	19.4915			
7.43907E-03	19.4823			
7.46196E-03	19.5032			
7.49934E-03	19.5375			
7.53942E-03	19.6823			
7.54975E-03	19.7197			
7.58074E-03	19.9166			
7.60141E-03	20.048			
7.62207E-03	20.2399			
7.65307E-03	20.5279			
7.68406E-03	20.8948			
7.70473E-03	21.1395			
7.73572E-03	21.6048			
7.75639E-03	21.9152			
7.80805E-03	22.8334			
7.87004E-03	24.0924			
7.94236E-03	25.6869			
7.99402E-03	26.8254			
8.00436E-03	27.053			
8.03535E-03	27.6569			
8.05602E-03	28.0594			
8.06635E-03	28.2192			
8.09734E-03	28.6983			
8.11801E-03	28.9222			
8.13867E-03	29.1458			
8.14900E-03	29.205			
8.17897E-03	29.3763			
8.18362E-03	29.3825			
8.20066E-03	29.405			
8.22133E-03	29.3431			
8.24199E-03	29.2809			
8.25232E-03	29.1937			
8.28332E-03	28.9316			
8.29365E-03	28.7944			
8.32465E-03	28.3823			
8.34531E-03	28.0182			
8.37631E-03	27.4718			
8.40730E-03	26.8111			
8.43830E-03	26.1503			
8.52096E-03	24.2116			
8.57262E-03	23.0002			
8.62428E-03	21.7891			
8.66560E-03	20.8963			
8.69660E-03	20.2269			
8.70693E-03	20.0215			
8.73793E-03	19.4055			
