E(MeV)	pendfb7/Cs133:1
4.82677E-06	44.8228525
4.83630E-06	45.5447675
4.86023E-06	47.4934633
4.86162E-06	47.6072694
4.88694E-06	49.8349785
4.89416E-06	50.5206386
4.91226E-06	52.2447755
4.92856E-06	53.9257684
4.93806E-06	54.9076833
4.95541E-06	56.8297572
4.96297E-06	57.7147766
4.97277E-06	58.8664339
4.98877E-06	60.85715
4.99012E-06	61.0262776
5.00748E-06	63.3213887
5.01457E-06	64.3166784
5.02483E-06	65.7613194
5.03948E-06	67.951288
5.04219E-06	68.3582808
5.05955E-06	71.128263
5.06438E-06	71.9487928
5.07539E-06	73.8203361
5.08929E-06	76.329374
5.09123E-06	76.6801139
5.10707E-06	79.7259411
5.11420E-06	81.183666
5.12291E-06	82.9701572
5.13080E-06	84.6933149
5.13875E-06	86.4329691
5.14741E-06	88.4527439
5.15459E-06	90.1335408
5.16360E-06	92.3837911
5.17043E-06	94.0942768
5.17980E-06	96.6013216
5.18628E-06	98.3400966
5.19599E-06	101.136086
5.20247E-06	103.004789
5.21219E-06	106.017122
5.21867E-06	108.030621
5.22838E-06	111.282231
5.23486E-06	113.455893
5.24458E-06	116.972816
5.25106E-06	119.32409
5.26077E-06	123.098083
5.26320E-06	124.044018
5.27292E-06	128.059396
5.27535E-06	129.065436
5.28385E-06	132.806688
5.28750E-06	134.413957
5.29762E-06	139.163693
5.29964E-06	140.116292
5.31138E-06	146.001888
5.31179E-06	146.20543
5.32151E-06	151.382025
5.32515E-06	153.437543
5.33284E-06	157.787894
5.33548E-06	159.372688
5.34418E-06	164.626376
5.34580E-06	165.668686
5.35552E-06	171.936777
5.35612E-06	172.35517
5.36645E-06	179.484337
5.36685E-06	179.764623
5.37677E-06	187.108895
5.37819E-06	188.16081
5.38710E-06	195.244017
5.38953E-06	197.181456
5.39924E-06	205.497557
5.40086E-06	206.887307
5.40734E-06	212.831652
5.41058E-06	215.810369
5.41544E-06	220.609872
5.42273E-06	227.825092
5.42354E-06	228.694932
5.43163E-06	237.412416
5.43487E-06	240.907766
5.43973E-06	246.527834
5.44297E-06	250.283643
5.44783E-06	256.247684
5.45107E-06	260.233628
5.45593E-06	266.570395
5.45917E-06	270.805704
5.46403E-06	277.546992
5.46726E-06	282.052986
5.47212E-06	289.234097
5.47536E-06	294.034417
5.48022E-06	301.694557
5.48346E-06	306.815494
5.48832E-06	314.998417
5.49156E-06	320.469272
5.49642E-06	329.223786
5.49965E-06	335.077293
5.50451E-06	344.458105
5.50775E-06	350.730944
5.51261E-06	360.79943
5.51585E-06	367.532745
5.52071E-06	378.358056
5.52395E-06	385.595078
5.52678E-06	392.394124
5.53205E-06	405.051544
5.53286E-06	407.146251
5.53893E-06	422.894805
5.54014E-06	426.052819
5.54500E-06	439.665177
5.54824E-06	448.764181
5.55107E-06	457.361363
5.55634E-06	473.370136
5.55715E-06	476.008449
5.56241E-06	493.203893
5.56322E-06	496.014219
5.56848E-06	514.332031
5.56929E-06	517.329638
5.57456E-06	536.869595
5.57537E-06	540.071419
5.58063E-06	560.944398
5.58144E-06	564.369386
5.58670E-06	586.701314
5.58792E-06	592.205783
5.59278E-06	614.28693
5.59278E-06	614.286979
5.59764E-06	637.966301
5.59885E-06	643.902125
5.60249E-06	662.821137
5.60351E-06	668.090838
5.60735E-06	689.294919
5.60877E-06	697.12893
5.61221E-06	717.368094
5.61403E-06	728.113616
5.61707E-06	747.188949
5.61930E-06	761.218258
5.62193E-06	778.900103
5.62456E-06	796.634446
5.62679E-06	812.657856
5.62982E-06	834.573917
5.63165E-06	848.633034
5.63509E-06	875.277834
