E(MeV)	pendfb7/Gd157:1
1.117728E-07	37709.2136
1.122466E-07	37322.6521
1.125301E-07	37097.1841
1.131981E-07	36566.0201
1.136758E-07	36195.8024
1.139629E-07	35973.323
1.141576E-07	35822.4773
1.151254E-07	35091.9431
1.154161E-07	34878.0851
1.161013E-07	34374.2748
1.165913E-07	34023.2635
1.168858E-07	33812.3268
1.170855E-07	33669.308
1.180780E-07	32976.9545
1.183762E-07	32774.3514
1.190790E-07	32297.0599
1.198836E-07	31764.8935
1.200884E-07	31629.456
1.211064E-07	30974.0442
1.214122E-07	30782.3216
1.221330E-07	30330.665
1.229084E-07	29857.6687
1.229582E-07	29827.2606
1.231683E-07	29699.1442
1.236882E-07	29390.5683
1.242124E-07	29079.377
1.244745E-07	28927.9492
1.245261E-07	28898.1432
1.252654E-07	28471.2
1.260606E-07	28024.2345
1.261118E-07	27995.5001
1.263272E-07	27874.4354
1.268604E-07	27582.9403
1.273981E-07	27288.974
1.276670E-07	27145.9741
1.277199E-07	27117.8272
1.284781E-07	26714.6497
1.292937E-07	26292.6973
1.293462E-07	26265.5712
1.295672E-07	26151.2824
1.301140E-07	25876.1869
1.306655E-07	25598.7598
1.309413E-07	25463.8459
1.309955E-07	25437.2902
1.317732E-07	25056.9139
1.326635E-07	24633.3561
1.328902E-07	24525.5631
1.340167E-07	24004.593
1.343552E-07	23852.3863
1.351528E-07	23493.8336
1.360660E-07	23094.6835
1.362985E-07	22993.103
1.374539E-07	22502.2843
1.378010E-07	22358.9223
1.380340E-07	22262.7417
1.386191E-07	22021.2078
1.395557E-07	21645.3447
1.397941E-07	21549.6914
1.409792E-07	21087.6183
1.413352E-07	20952.6828
1.421743E-07	20634.821
1.431349E-07	20281.1304
1.433795E-07	20191.1205
1.445949E-07	19756.4016
1.449601E-07	19629.4808
1.458206E-07	19330.501
1.464361E-07	19122.7417
1.468059E-07	18997.8904
1.470567E-07	18913.2456
1.483033E-07	18504.5231
1.486779E-07	18385.2162
1.495605E-07	18104.1748
1.505711E-07	17791.5831
1.508283E-07	17712.0334
1.521069E-07	17327.9895
1.524911E-07	17215.9083
1.530726E-07	17046.3029
1.533963E-07	16951.8896
1.540437E-07	16768.4955
1.544328E-07	16658.2867
1.546967E-07	16583.5699
1.550231E-07	16493.7892
1.560080E-07	16222.9246
1.564020E-07	16117.6912
1.569985E-07	15958.4487
1.573305E-07	15869.804
1.579945E-07	15697.6457
1.583936E-07	15594.1882
1.586642E-07	15524.0496
1.589990E-07	15439.7837
1.600092E-07	15185.5574
1.604133E-07	15086.8038
1.610251E-07	14937.3682
1.613656E-07	14854.1829
1.620466E-07	14692.6516
1.624559E-07	14595.5808
1.627335E-07	14529.7722
1.630769E-07	14450.7203
1.641130E-07	14212.2251
1.645275E-07	14119.5952
1.651549E-07	13979.4275
1.655042E-07	13901.4013
1.662027E-07	13749.9093
1.666225E-07	13658.8715
1.669071E-07	13597.1534
1.676116E-07	13448.8974
1.683220E-07	13299.3849
1.687471E-07	13212.5357
1.690324E-07	13154.2731
1.697489E-07	13007.9605
1.704653E-07	12865.9419
1.708959E-07	12780.597
1.711878E-07	12722.7388
1.726390E-07	12443.6269
1.730750E-07	12362.2292
1.741025E-07	12170.4959
1.752789E-07	11957.4291
1.755783E-07	11903.2095
1.770667E-07	11641.6797
1.775139E-07	11565.4175
1.785677E-07	11385.7824
1.793214E-07	11261.1049
1.797743E-07	11186.1811
1.800814E-07	11135.3883
1.816080E-07	10890.4128
1.820666E-07	10818.9848
1.831475E-07	10650.7378
1.843850E-07	10463.8077
1.847000E-07	10416.2398
1.854795E-07	10302.0232
1.862657E-07	10186.8384
1.867361E-07	10119.9573
1.878447E-07	9962.42147
1.891139E-07	9787.40651
1.894370E-07	9742.87106
1.910429E-07	9528.11095
1.915254E-07	9465.50325
1.922558E-07	9370.76944
1.926624E-07	9318.03444
1.934755E-07	9215.70818
1.939642E-07	9154.21592
1.942956E-07	9112.52982
1.947056E-07	9062.49061
1.959426E-07	8911.52457
1.964375E-07	8852.93081
1.971866E-07	8764.2713
1.976036E-07	8714.9177
1.984376E-07	8619.15877
1.989388E-07	8561.61313
1.992787E-07	8522.60281
1.996992E-07	8475.77851
2.009680E-07	8334.51173
2.014756E-07	8279.6859
2.022439E-07	8196.7282
2.026716E-07	8150.54863
2.035270E-07	8060.95337
2.040410E-07	8007.11178
2.043896E-07	7970.6127
2.048210E-07	7926.80506
2.061222E-07	7794.63962
2.066428E-07	7743.34864
2.074309E-07	7665.74034
2.078695E-07	7622.53859
2.087469E-07	7538.72495
2.092741E-07	7488.35788
2.096316E-07	7454.21434
2.100740E-07	7413.23599
2.114087E-07	7289.60618
2.119426E-07	7241.63007
2.132008E-07	7128.62841
2.146414E-07	7003.12591
2.150081E-07	6971.19078
2.159156E-07	6894.53855
2.168307E-07	6817.2365
2.173784E-07	6772.36724
2.186688E-07	6666.68431
2.195917E-07	6593.37143
2.201463E-07	6549.31455
2.205225E-07	6519.4492
2.223918E-07	6375.47767
2.229535E-07	6333.51932
2.242770E-07	6234.69326
2.257925E-07	6124.94221
2.261782E-07	6097.01564
2.280956E-07	5962.39462
2.286717E-07	5923.16244
2.300291E-07	5830.75815
2.315834E-07	5728.14157
2.319791E-07	5702.03056
