E(MeV)	Nb-nat			
9.34065E-05	6.04519			
9.34291E-05	6.07159			
9.34460E-05	6.09361			
9.34629E-05	6.1178			
9.34697E-05	6.12846			
9.34799E-05	6.14475			
9.34968E-05	6.17467			
9.35137E-05	6.20771			
9.35306E-05	6.24426			
9.35470E-05	6.28334			
9.35622E-05	6.32344			
9.35774E-05	6.3675			
9.35927E-05	6.41596			
9.36079E-05	6.46927			
9.36231E-05	6.52793			
9.36384E-05	6.59245			
9.36536E-05	6.66339			
9.36688E-05	6.74135			
9.36840E-05	6.82692			
9.36993E-05	6.92074			
9.37123E-05	7.00765			
9.37280E-05	7.12276			
9.37438E-05	7.24874			
9.37596E-05	7.38633			
9.37754E-05	7.53619			
9.37912E-05	7.69898			
9.38070E-05	7.87528			
9.38228E-05	8.06557			
9.38402E-05	8.29154			
9.38591E-05	8.55836			
9.38781E-05	8.84653			
9.38970E-05	9.15591			
9.39191E-05	9.54287			
9.39444E-05	10.0173			
9.39661E-05	10.4486			
9.39931E-05	11.0141			
9.40473E-05	12.1984			
9.40870E-05	13.0652			
9.40924E-05	13.1834			
9.41195E-05	13.745			
9.41466E-05	14.2658			
9.41737E-05	14.7309			
9.42007E-05	15.1262			
9.42188E-05	15.3446			
9.42368E-05	15.5232			
9.42567E-05	15.6705			
9.42765E-05	15.7638			
9.42874E-05	15.782			
9.42994E-05	15.8013			
9.43235E-05	15.7592			
9.43433E-05	15.6629			
9.43632E-05	15.5128			
9.43812E-05	15.332			
9.44083E-05	14.9874			
9.44354E-05	14.5652			
9.44624E-05	14.0785			
9.44895E-05	13.5419			
9.45256E-05	12.7748			
9.45978E-05	11.1922			
9.46249E-05	10.6205			
9.46493E-05	10.1292			
9.46745E-05	9.64868			
9.46935E-05	9.31012			
9.47124E-05	8.99168			
9.47314E-05	8.69409			
9.47504E-05	8.41769			
9.47693E-05	8.16245			
9.47851E-05	7.96566			
9.48009E-05	7.78298			
9.48167E-05	7.61396			
9.48325E-05	7.45806			
9.48483E-05	7.31466			
9.48641E-05	7.18312			
9.48799E-05	7.06274			
9.48957E-05	6.95281			
9.49109E-05	6.85602			
9.49261E-05	6.76765			
9.49413E-05	6.68705			
9.49566E-05	6.61363			
9.49718E-05	6.54678			
9.49870E-05	6.48595			
9.50023E-05	6.43062			
9.50175E-05	6.38028			
9.50327E-05	6.33448			
9.50400E-05	6.3144			
9.50479E-05	6.29303			
9.50637E-05	6.2542			
9.50807E-05	6.21655			
9.50976E-05	6.18257			
9.51145E-05	6.15182			
9.51314E-05	6.12397			
9.51484E-05	6.09867			
9.51653E-05	6.07564			
9.51822E-05	6.05463			
9.52048E-05	6.02937			
9.52273E-05	6.00682			
9.52476E-05	5.98854			
9.52747E-05	5.9667			
9.53018E-05	5.94732			
9.53288E-05	5.93002			
9.53559E-05	5.91448			
9.53830E-05	5.90046			
9.54101E-05	5.88774			
9.54371E-05	5.87614			
9.54733E-05	5.8622			
9.55094E-05	5.84974			
9.55412E-05	5.83979			
9.55827E-05	5.82811			
9.56241E-05	5.81767			
9.56656E-05	5.80827			
9.57071E-05	5.79978			
9.57485E-05	5.79207			
9.58038E-05	5.78284			
9.58591E-05	5.77464			
9.59143E-05	5.7673			
9.59696E-05	5.76071			
9.60260E-05	5.75464			
9.60824E-05	5.74915			
9.61389E-05	5.74415			
9.62234E-05	5.73746			
9.63081E-05	5.73158			
9.63927E-05	5.72637			
9.64745E-05	5.72186			
9.65816E-05	5.71663			
9.66888E-05	5.71203			
9.67960E-05	5.70794			
9.69031E-05	5.70428			
9.70103E-05	5.70099			
9.71711E-05	5.69661			
9.72783E-05	5.694			
9.74249E-05	5.69077			
9.75716E-05	5.68787			
9.77915E-05	5.68401			
9.80115E-05	5.68063			
9.82315E-05	5.67762			
9.84515E-05	5.67491			
9.87119E-05	5.67203			
9.89724E-05	5.66943			
9.93196E-05	5.66635			
9.96669E-05	5.66363			
9.98405E-05	5.6624			
1.00165E-04	5.66031			
1.00480E-04	5.65856			
