E(MeV)	"HF-177(N,TOT)"	
2.19579E-06	2452.8	
2.19966E-06	2555.31	
2.20138E-06	2601.28	
2.20439E-06	2688.63	
2.20697E-06	2764.31	
2.21084E-06	2887.87	
2.21256E-06	2943.37	
2.21514E-06	3034.88	
2.21901E-06	3173.34	
2.21944E-06	3190.13	
2.22331E-06	3342.53	
2.22374E-06	3360.74	
2.22761E-06	3526.03	
2.22804E-06	3545.82	
2.23191E-06	3725.51	
2.23234E-06	3747.06	
2.23621E-06	3942.88	
2.23664E-06	3966.41	
2.24051E-06	4180.21	
2.24438E-06	4414.14	
2.24481E-06	4440.39	
2.24825E-06	4668.02	
2.24890E-06	4711.13	
2.25212E-06	4944.36	
2.25276E-06	4991.5	
2.25599E-06	5246.48	
2.25663E-06	5298.02	
2.25986E-06	5577.47	
2.26050E-06	5633.98	
2.26373E-06	5941.01	
2.26437E-06	6003.11	
2.26760E-06	6341.29	
2.26824E-06	6409.63	
2.27061E-06	6683.13	
2.27211E-06	6858.76	
2.27362E-06	7050.93	
2.27599E-06	7355.65	
2.27663E-06	7446.3	
2.27942E-06	7842.71	
2.27964E-06	7875.68	
2.28243E-06	8308.27	
2.28265E-06	8344.1	
2.28544E-06	8814.32	
2.28566E-06	8853.31	
2.28846E-06	9364.92	
2.28867E-06	9407.36	
2.29147E-06	9964.42	
2.29168E-06	10010.7	
2.29426E-06	10570.4	
2.29448E-06	10617.5	
2.29684E-06	11175.8	
2.29749E-06	11329.4	
2.29942E-06	11826.5	
2.30049E-06	12105	
2.30200E-06	12523.7	
2.30318E-06	12855.4	
2.30458E-06	13279.1	
2.30673E-06	13936.4	
2.30716E-06	14079.7	
2.30974E-06	14946.7	
2.31028E-06	15128.8	
2.31232E-06	15881.5	
2.31382E-06	16441.1	
2.31555E-06	17134.6	
2.31737E-06	17878.5	
2.31877E-06	18493.1	
2.32092E-06	19447.2	
2.32199E-06	19958.5	
2.32415E-06	20990	
2.32522E-06	21538.5	
2.32737E-06	22644.2	
2.32844E-06	23234.2	
2.33145E-06	24897.8	
2.33167E-06	25017.5	
2.33533E-06	27186.8	
2.33597E-06	27572.2	
2.33919E-06	29599.3	
2.34006E-06	30143.3	
2.34500E-06	33418.8	
2.34780E-06	35276.4	
2.35704E-06	41466.8	
2.35734E-06	41656.6	
2.36220E-06	44698.2	
2.36564E-06	46667.6	
2.36684E-06	47292.9	
2.36942E-06	48609.1	
2.37149E-06	49514.9	
2.37355E-06	50400.1	
2.37493E-06	50875.7	
2.37734E-06	51684.5	
2.37837E-06	51943.8	
2.38078E-06	52522.9	
2.38181E-06	52688.2	
2.38375E-06	52977.5	
2.38525E-06	53069.1	
2.38752E-06	53182.7	
2.38834E-06	53149.6	
2.39061E-06	53032.8	
2.39178E-06	52892	
2.39282E-06	52755.7	
2.39522E-06	52266.1	
2.39626E-06	52044.7	
2.39866E-06	51329.5	
2.39970E-06	51012.3	
2.40210E-06	50081.5	
2.40348E-06	49537.1	
2.40529E-06	48690.9	
2.40726E-06	47746.6	
2.40967E-06	46455.9	
2.41070E-06	45894.1	
2.41406E-06	43888.3	
2.41586E-06	42796.5	
2.41939E-06	40499.7	
2.42292E-06	38187.8	
2.43238E-06	31865.4	
2.43293E-06	31507.3	
2.43831E-06	28081.6	
2.43874E-06	27822.5	
2.44261E-06	25506.9	
2.44648E-06	23344.8	
2.44691E-06	23106.3	
2.44970E-06	21650.4	
2.45014E-06	21428	
2.45293E-06	20066.4	
2.45336E-06	19858.6	
2.45616E-06	18600.1	
2.45723E-06	18120.2	
2.45938E-06	17236.4	
2.46110E-06	16535.8	
2.46260E-06	15965.5	
2.46368E-06	15561.7	
2.46518E-06	15029.1	
2.46626E-06	14651.8	
2.46819E-06	14013.1	
2.46884E-06	13802.1	
2.47121E-06	13075.4	
2.47142E-06	13010	
2.47400E-06	12272.8	
2.47422E-06	12215.4	
2.47701E-06	11477.3	
2.47723E-06	11424.6	
2.48002E-06	10746.4	
2.48024E-06	10698	
2.48303E-06	10075.2	
2.48324E-06	10030.7	
2.48604E-06	9458.59	
2.48625E-06	9417.75	
2.48905E-06	8892.29	
2.48948E-06	8817.22	
2.49206E-06	8371.78	
2.49292E-06	8233.8	
2.49507E-06	7892.75	
2.49636E-06	7702.45	
2.49808E-06	7451.5	
2.49980E-06	7219.08	
2.50152E-06	6989.17	
2.50324E-06	6777.04	
2.50496E-06	6567.16	
2.50668E-06	6373.22	
2.50840E-06	6181.29	
2.51012E-06	6003.64	
2.51184E-06	5827.81	
2.51356E-06	5664.78	
2.51528E-06	5503.48	
2.51743E-06	5316.22	
2.51872E-06	5205.15	
2.52173E-06	4964.09	
2.52216E-06	4930.05	
2.52560E-06	4676.36	
2.52603E-06	4646.99	
2.52990E-06	4385.84	
2.53033E-06	4359.14	
2.53420E-06	4121.61	
2.53463E-06	4097.27	
2.53850E-06	3880.63	
2.53893E-06	3858.38	
2.54280E-06	3660.29	
2.54323E-06	3639.89	
2.54710E-06	3458.29	
2.54753E-06	3439.55	
2.55140E-06	3272.79	
2.55248E-06	3229.69	
2.55570E-06	3101.96	
2.55807E-06	3014.65	
2.56000E-06	2944.1	
2.56365E-06	2820.49	
2.56516E-06	2770.19	
2.56924E-06	2644.15	
2.57032E-06	2611.35	
2.57483E-06	2483.9	
2.57548E-06	2465.89	
2.58042E-06	2337.85	
2.58064E-06	2332.34	
2.58580E-06	2209.49	
2.58601E-06	2204.72	
2.59096E-06	2096.2	
2.59160E-06	2083.2	
2.59784E-06	1958.96	
2.59870E-06	1942.01	
2.60472E-06	1833.54	
2.61160E-06	1720.49	
2.61848E-06	1617.66	
2.62536E-06	1523.84	
2.63224E-06	1438.01	
2.63912E-06	1359.29	
2.64600E-06	1286.92	
2.65288E-06	1220.26	
2.65374E-06	1212.5	
2.66019E-06	1155.01	
2.66234E-06	1137.22	
2.66793E-06	1091.5	
2.67094E-06	1068.63	
2.67567E-06	1033.12	
2.67954E-06	1006.08	
2.68341E-06	979.344	
2.68814E-06	948.88	
2.69115E-06	929.701	
2.69674E-06	896.978	
2.70276E-06	862.109	
2.70534E-06	848.565	
2.71437E-06	801.776	
2.71824E-06	783.325	
2.72303E-06	760.77	
2.72783E-06	739.794	
2.73262E-06	719.044	
2.73741E-06	699.778	
2.74221E-06	680.76	
2.75180E-06	645.378	
2.76138E-06	612.889	
2.76618E-06	597.956	
2.77576E-06	568.531	
2.78056E-06	555.189	
2.79015E-06	528.884	
2.79494E-06	516.923	
2.80480E-06	492.668	
2.80973E-06	481.616	
2.81958E-06	459.816	
2.82451E-06	449.859	
2.83437E-06	430.21	
2.83930E-06	421.211	
2.84916E-06	403.445	
2.85409E-06	395.286	
2.86394E-06	379.173	
2.86887E-06	371.753	
2.87887E-06	356.89	
2.88394E-06	349.939	
2.89407E-06	336.229	
2.90421E-06	323.559	
2.90928E-06	317.321	
2.92448E-06	299.988	
2.93969E-06	284.138	
2.94476E-06	279.222	
2.95489E-06	269.536	
2.96531E-06	260.37	
2.97574E-06	251.335	
2.98616E-06	243.104	
2.99658E-06	234.988	
3.00700E-06	227.571	
3.01742E-06	220.254	
3.02785E-06	213.547	
3.03827E-06	206.928	
3.04898E-06	200.679	
3.05970E-06	194.512	
3.07042E-06	188.839	
3.08113E-06	183.24	
3.09185E-06	178.077	
3.10256E-06	172.978	
3.11328E-06	168.264	
3.12400E-06	163.622	
3.14603E-06	154.789	
3.16807E-06	146.751	
3.17909E-06	143.018	
3.19011E-06	139.35	
3.21215E-06	132.525	
3.23480E-06	126.101	
3.24613E-06	123.107	
3.25746E-06	120.163	
3.28012E-06	114.76	
3.29145E-06	112.102	
3.31443E-06	107.231	
3.32608E-06	104.801	
3.34938E-06	100.392	
3.36103E-06	98.2205	
3.38432E-06	94.2662	
3.39597E-06	92.3189	
3.41993E-06	88.6704	
3.43191E-06	86.8735	
3.45586E-06	83.5959	
3.46784E-06	81.9812	
3.49180E-06	79.0296	
3.50411E-06	77.5377	
3.54106E-06	73.4429	
3.57801E-06	69.7631	
3.59032E-06	68.6372	
3.61565E-06	66.3668	
3.64098E-06	64.2828	
3.65364E-06	63.2603	
3.69163E-06	60.4427	
3.73069E-06	57.8307	
3.74371E-06	57.0307	
3.76975E-06	55.461	
3.79579E-06	54.0393	
3.82257E-06	52.6048	
3.84935E-06	51.3264	
3.87612E-06	50.0719	
3.90290E-06	48.9572	
3.93043E-06	47.8327	
3.95796E-06	46.8379	
3.98549E-06	45.8623	
4.01302E-06	45.0052	
4.04133E-06	44.1412	
4.06964E-06	43.3898	
4.09795E-06	42.6539	
4.12626E-06	42.0245	
4.15536E-06	41.3917	
4.18447E-06	40.8634	
4.21358E-06	40.3475	
4.24269E-06	39.9277	
4.27261E-06	39.5073	
4.30254E-06	39.1869	
4.33247E-06	38.8766	
4.36240E-06	38.6433	
4.36681E-06	38.6103	
4.42395E-06	38.3457	
4.42842E-06	38.3262	
4.48549E-06	38.2802	
4.49003E-06	38.2778	
4.55338E-06	38.4836	
4.56459E-06	38.5663	
4.61672E-06	38.9668	
4.64459E-06	39.289	
4.66557E-06	39.5376	
4.70966E-06	40.2323	
4.71442E-06	40.3087	
4.76373E-06	41.3196	
4.77564E-06	41.6235	
4.81396E-06	42.6114	
4.82582E-06	42.9858	
4.86419E-06	44.2074	
4.87600E-06	44.6639	
4.91040E-06	46.0026	
4.91537E-06	46.1972	
4.94479E-06	47.5465	
4.94980E-06	47.7773	
4.97919E-06	49.3154	
4.98423E-06	49.5808	
5.01358E-06	51.3328	
5.01866E-06	51.6373	
5.04011E-06	53.0995	
5.05406E-06	54.0552	
5.06663E-06	55.038	
5.08946E-06	56.8314	
5.09316E-06	57.164	
5.11084E-06	58.7618	
5.12486E-06	60.0337	
5.12853E-06	60.4083	
5.14621E-06	62.2245	
5.15142E-06	62.7619	
5.16680E-06	64.5137	
5.17455E-06	65.4009	
5.18562E-06	66.808	
5.20053E-06	68.7108	
5.20313E-06	69.0445	
5.21543E-06	70.8207	
5.23034E-06	72.9815	
5.23171E-06	73.1809	
5.24524E-06	75.4096	
5.26015E-06	77.8746	
