E (MeV)	Na-23	
1.73762E-02	4.36848	
1.73821E-02	4.36815	
1.73911E-02	4.36765	
1.73955E-02	4.3674	
1.74000E-02	4.36714	
1.74046E-02	4.36688	
1.74093E-02	4.36662	
1.76975E-02	4.35042	
1.80000E-02	4.33341	
1.89340E-02	4.28089	
1.90000E-02	4.2787	
2.00000E-02	4.24552	
2.17127E-02	4.18869	
2.20000E-02	4.18376	
2.22459E-02	4.17954	
2.27142E-02	4.1715	
2.30000E-02	4.16659	
2.31227E-02	4.16449	
2.33390E-02	4.16078	
2.35025E-02	4.15797	
2.38122E-02	4.15265	
2.40000E-02	4.14943	
2.41486E-02	4.14688	
2.42607E-02	4.14495	
2.44298E-02	4.14205	
2.46000E-02	4.13913	
2.46994E-02	4.13742	
2.48492E-02	4.13485	
2.50000E-02	4.13226	
2.51992E-02	4.12885	
2.54000E-02	4.1254	
2.54994E-02	4.12369	
2.55742E-02	4.12241	
2.56869E-02	4.12047	
2.58000E-02	4.11853	
2.58998E-02	4.11682	
2.59875E-02	4.11532	
2.59937E-02	4.11521	
2.60000E-02	4.1151	
2.60062E-02	4.11499	
2.60250E-02	4.11467	
2.60437E-02	4.11435	
2.60718E-02	4.11387	
2.61000E-02	4.11338	
2.62000E-02	4.11167	
2.62712E-02	4.11044	
2.62998E-02	4.11018	
2.64000E-02	4.10925	
2.66000E-02	4.10739	
2.66499E-02	4.10692	
2.67248E-02	4.10623	
2.68000E-02	4.10553	
2.68499E-02	4.10506	
2.68873E-02	4.10471	
2.69436E-02	4.10419	
2.70000E-02	4.10367	
2.72489E-02	4.10135	
2.75000E-02	4.09902	
2.80000E-02	4.09437	
2.90000E-02	4.08507	
3.00000E-02	4.07576	
3.10000E-02	4.06646	
3.17414E-02	4.05957	
3.20000E-02	4.05803	
3.26531E-02	4.05416	
3.30000E-02	4.05246	
3.40000E-02	4.04755	
3.40207E-02	4.04745	
3.44765E-02	4.0456	
3.45000E-02	4.04551	
3.47045E-02	4.04476	
3.49324E-02	4.04404	
3.50000E-02	4.04389	
3.50464E-02	4.04379	
3.51033E-02	4.04374	
3.51603E-02	4.04383	
3.52173E-02	4.04425	
3.52458E-02	4.04477	
3.52743E-02	4.04585	
3.53028E-02	4.04825	
3.53170E-02	4.05077	
3.53313E-02	4.05574	
3.53455E-02	4.06722	
3.53526E-02	4.0812	
3.53562E-02	4.09504	
3.53598E-02	4.1209	
3.53633E-02	4.17307	
3.53669E-02	4.27941	
3.53704E-02	4.48305	
3.53829E-02	5.34276	
3.54030E-02	6.22405	
3.54188E-02	4.23808	
3.54233E-02	4.13919	
3.54278E-02	4.09901	
3.54369E-02	4.08098	
3.54459E-02	4.06504	
3.54639E-02	4.05766	
3.54820E-02	4.05078	
3.54965E-02	4.0462	
3.55361E-02	4.04587	
3.55722E-02	4.04414	
3.56083E-02	4.04325	
3.56805E-02	4.04273	
3.57526E-02	4.0421	
3.58248E-02	4.0417	
3.59692E-02	4.0414	
3.60000E-02	4.04083	
3.62579E-02	4.04013	
3.65466E-02	4.03949	
3.70000E-02	4.03885	
3.77014E-02	4.03786	
4.00000E-02	4.03951	
4.00110E-02	4.03952	
4.10000E-02	4.03197	
4.13666E-02	4.02917	
4.20000E-02	4.02957	
4.30000E-02	4.03019	
4.34971E-02	4.0305	
4.40000E-02	4.03082	
4.47557E-02	4.03129	
4.50000E-02	4.03746	
4.60000E-02	4.06272	
4.67891E-02	4.08266	
4.70000E-02	4.10024	
4.80000E-02	4.18364	
4.84837E-02	4.22397	
4.90000E-02	4.3247	
4.93309E-02	4.38925	
4.98393E-02	4.55892	
5.00000E-02	4.63738	
5.01782E-02	4.72435	
5.06865E-02	5.1094	
5.10000E-02	5.49745	
5.11403E-02	5.67107	
5.14245E-02	6.24608	
5.16140E-02	6.80079	
5.16994E-02	7.05138	
5.18701E-02	7.71377	
5.19555E-02	8.15356	
5.20000E-02	8.43181	
5.20409E-02	8.68736	
5.21263E-02	9.33689	
5.22116E-02	10.1291	
5.22970E-02	11.0933	
5.23730E-02	12.0678	
5.24490E-02	13.2511	
5.25027E-02	14.3028	
5.25563E-02	15.5013	
5.26100E-02	16.8525	
5.26636E-02	18.3731	
5.27520E-02	21.2564	
5.28690E-02	25.782	
5.29860E-02	30.5756	
5.30000E-02	31.0942	
5.30445E-02	32.7427	
5.31030E-02	34.4984	
5.31615E-02	35.6513	
5.32200E-02	36.0552	
5.32895E-02	35.513	
5.33590E-02	33.9779	
5.34634E-02	30.454	
5.36721E-02	22.5206	
5.37764E-02	19.1884	
5.38451E-02	17.3282	
5.39137E-02	15.7231	
5.39824E-02	14.3431	
5.40000E-02	14.0394	
5.40511E-02	13.1595	
5.41197E-02	12.145	
5.41884E-02	11.2743	
5.42570E-02	10.5254	
5.43257E-02	9.87943	
5.44630E-02	8.83618	
5.45317E-02	8.41445	
5.46004E-02	8.04763	
5.47377E-02	7.44388	
5.48750E-02	6.97426	
5.50000E-02	6.60213	
5.50268E-02	6.52249	
5.51785E-02	6.16287	
5.54820E-02	5.64032	
5.56338E-02	5.4489	
5.59373E-02	5.16019	
5.60000E-02	5.11545	
5.63639E-02	4.85601	
5.66389E-02	4.70273	
5.70000E-02	4.55601	
5.71888E-02	4.47932	
5.77386E-02	4.32639	
5.80000E-02	4.27744	
5.85634E-02	4.17192	
5.90000E-02	4.11727	
5.93883E-02	4.06867	
6.00000E-02	4.02198	
6.10000E-02	3.94565	
6.10331E-02	3.94313	
6.20000E-02	3.90794	
6.30000E-02	3.87155	
6.37584E-02	3.84396	
6.40000E-02	3.83891	
6.50000E-02	3.81802	
6.59386E-02	3.7984	
6.60000E-02	3.79755	
6.70000E-02	3.78363	
6.80000E-02	3.76971	
6.90000E-02	3.75579	
6.92090E-02	3.75288	
7.00000E-02	3.74532	
7.10000E-02	3.73575	
7.20000E-02	3.72619	
7.30000E-02	3.71663	
7.40000E-02	3.70706	
7.50000E-02	3.6975	
7.70000E-02	3.67837	
7.70771E-02	3.67764	
7.74984E-02	3.67527	
7.80000E-02	3.67245	
7.84984E-02	3.66965	
7.90000E-02	3.66683	
8.00000E-02	3.6612	
8.10000E-02	3.65558	
8.20000E-02	3.64996	
8.30000E-02	3.64434	
8.40000E-02	3.63872	
8.50000E-02	3.6331	
8.60000E-02	3.62748	
8.70000E-02	3.62186	
8.90000E-02	3.61061	
8.94986E-02	3.60781	
8.99890E-02	3.60505	
9.00000E-02	3.60498	
9.10000E-02	3.59801	
9.20000E-02	3.59105	
9.30000E-02	3.58408	
9.40000E-02	3.57712	
9.50000E-02	3.57016	
9.60000E-02	3.56319	
9.90000E-02	3.5423	
9.94690E-02	3.53903	
1.00000E-01	3.53642	
1.07000E-01	3.50192	
1.07125E-01	3.50131	
1.07312E-01	3.50039	
1.07890E-01	3.49754	
1.08000E-01	3.49698	
1.09000E-01	3.49187	
1.09249E-01	3.4906	
1.09624E-01	3.48869	
1.10000E-01	3.48677	
1.10271E-01	3.48539	
1.10499E-01	3.48424	
1.11000E-01	3.48173	
1.11499E-01	3.47923	
1.12000E-01	3.47671	
1.12499E-01	3.47421	
1.12652E-01	3.47344	
1.13000E-01	3.47174	
1.13499E-01	3.4693	
1.13843E-01	3.46761	
1.14000E-01	3.46687	
1.15000E-01	3.46219	
1.15033E-01	3.46203	
1.15312E-01	3.46085	
1.15500E-01	3.46006	
1.15629E-01	3.45951	
1.15926E-01	3.45845	
1.16000E-01	3.45826	
1.16224E-01	3.45768	
1.16522E-01	3.45761	
1.16670E-01	3.45819	
1.16819E-01	3.45977	
1.16968E-01	3.46367	
1.17000E-01	3.46542	
1.17042E-01	3.46773	
1.17117E-01	3.47531	
1.17191E-01	3.49068	
1.17228E-01	3.50547	
1.17249E-01	3.52286	
1.17284E-01	3.55212	
1.17303E-01	3.58367	
1.17321E-01	3.63356	
