E(MeV)	Fe-nat
2.332990E-03	7.35924
2.334480E-03	7.35763
2.335980E-03	7.35605
2.336980E-03	7.355
2.338030E-03	7.35393
2.338820E-03	7.35315
2.339600E-03	7.35239
2.340130E-03	7.35191
2.340650E-03	7.35144
2.341180E-03	7.351
2.341550E-03	7.35071
2.341910E-03	7.35044
2.342280E-03	7.3502
2.342650E-03	7.34999
2.342920E-03	7.34986
2.343200E-03	7.34976
2.343480E-03	7.34969
2.343660E-03	7.34968
2.343840E-03	7.34969
2.344030E-03	7.34974
2.344170E-03	7.3498
2.344330E-03	7.34991
2.344490E-03	7.35006
2.344640E-03	7.35026
2.344750E-03	7.35043
2.344850E-03	7.35063
2.344960E-03	7.35086
2.345060E-03	7.35114
2.345170E-03	7.35147
2.345270E-03	7.35185
2.345380E-03	7.35229
2.345480E-03	7.3528
2.345590E-03	7.35339
2.345690E-03	7.35406
2.345800E-03	7.35484
2.345900E-03	7.35569
2.346000E-03	7.35666
2.346110E-03	7.35775
2.346210E-03	7.35898
2.346310E-03	7.36036
2.346410E-03	7.3619
2.346520E-03	7.36362
2.346620E-03	7.36551
2.346720E-03	7.36761
2.346820E-03	7.36991
2.346890E-03	7.37157
2.346990E-03	7.37403
2.347080E-03	7.37668
2.347170E-03	7.37954
2.347270E-03	7.3826
2.347360E-03	7.38586
2.347460E-03	7.38933
2.347600E-03	7.3949
2.347710E-03	7.39944
2.347830E-03	7.40482
2.348010E-03	7.41337
2.348260E-03	7.42564
