E(MeV)	TB-159(N,TOT)
1.19239E-05	52.4703
1.19259E-05	52.2679
1.19572E-05	49.292
1.19658E-05	48.5512
1.19886E-05	46.6189
1.20199E-05	44.1858
1.20285E-05	43.573
1.20517E-05	41.9623
1.20835E-05	39.9302
1.20922E-05	39.4202
1.21153E-05	38.088
1.21471E-05	36.3947
1.21558E-05	35.9652
1.21789E-05	34.8505
1.22110E-05	33.4107
1.22197E-05	33.0457
1.22433E-05	32.0861
1.22755E-05	30.8577
1.22843E-05	30.5482
1.23185E-05	29.3743
1.23615E-05	28.0206
1.23703E-05	27.7643
1.24051E-05	26.7873
1.24487E-05	25.656
1.24576E-05	25.4419
1.24923E-05	24.632
1.25359E-05	23.6871
1.25448E-05	23.5064
1.25801E-05	22.8159
1.26243E-05	22.0092
1.26333E-05	21.8554
1.26685E-05	21.2763
1.27127E-05	20.596
1.27576E-05	19.9495
1.27667E-05	19.8261
1.28024E-05	19.3626
1.28697E-05	18.5554
1.29013E-05	18.2083
1.29376E-05	17.8262
1.30058E-05	17.169
1.30378E-05	16.8858
1.30740E-05	16.5784
1.31432E-05	16.0399
1.31756E-05	15.8082
1.32123E-05	15.5572
1.32818E-05	15.1234
1.33520E-05	14.725
1.33615E-05	14.676
1.34221E-05	14.3823
1.34929E-05	14.0781
1.35640E-05	13.8142
1.36115E-05	13.6639
1.36449E-05	13.5742
1.36588E-05	13.5385
1.37120E-05	13.4344
1.37179E-05	13.4253
1.37504E-05	13.3849
1.37916E-05	13.3614
1.38226E-05	13.3687
1.38536E-05	13.4023
1.38845E-05	13.4684
1.39052E-05	13.5345
1.39143E-05	13.5732
1.39258E-05	13.6197
1.39465E-05	13.7286
1.39671E-05	13.8684
1.39877E-05	14.0461
1.40032E-05	14.2097
1.40187E-05	14.4048
1.40342E-05	14.6377
1.40381E-05	14.7088
1.40497E-05	14.9117
1.40600E-05	15.1239
1.40721E-05	15.4113
1.40843E-05	15.7471
1.40934E-05	16.0366
1.41025E-05	16.3643
1.41116E-05	16.7363
1.41183E-05	17.0472
1.41207E-05	17.1586
1.41298E-05	17.6372
1.41389E-05	18.1875
1.41480E-05	18.8225
1.41541E-05	19.3003
1.41620E-05	19.9961
1.41693E-05	20.7236
1.41766E-05	21.5442
1.41839E-05	22.4704
1.41911E-05	23.5156
1.41960E-05	24.2855
1.41970E-05	24.4537
1.42018E-05	25.2936
1.42077E-05	26.4014
1.42135E-05	27.6175
1.42193E-05	28.9498
1.42242E-05	30.1549
1.42290E-05	31.4508
1.42339E-05	32.8418
1.42412E-05	35.115
1.42485E-05	37.6216
1.42504E-05	38.3542
1.42557E-05	40.3768
1.42630E-05	43.3788
1.42703E-05	46.6224
1.42776E-05	50.099
1.42795E-05	51.084
1.42849E-05	53.8009
1.42893E-05	56.1567
1.42946E-05	59.0444
1.43067E-05	65.9659
1.43087E-05	67.0984
1.43281E-05	78.4714
1.43310E-05	80.1849
1.43407E-05	85.5981
1.43475E-05	89.0897
1.43505E-05	90.5938
1.43577E-05	93.9709
1.43650E-05	96.9424
1.43723E-05	99.4454
1.43738E-05	99.8414
1.43796E-05	101.434
1.43869E-05	102.858
1.43942E-05	103.684
1.43995E-05	103.899
1.44048E-05	103.785
1.44112E-05	103.214
1.44185E-05	102
1.44214E-05	101.302
1.44248E-05	100.48
1.44335E-05	97.7118
1.44408E-05	94.8838
1.44427E-05	94.0052
1.44505E-05	90.4723
1.44602E-05	85.4964
1.44602E-05	85.4964
