E(MeV)	mcnp/Cd:1
6.55444E-05	6.013498716
6.55972E-05	6.157974898
0.00006565	6.353457146
6.56842E-05	6.517458163
6.57141E-05	6.693060544
6.57441E-05	6.906727935
6.57665E-05	7.097961497
0.000065789	7.321339074
6.58227E-05	7.730626587
0.000065848	8.109835441
6.58734E-05	8.56549207
6.58987E-05	9.113081689
0.000065924	9.771102452
6.59565E-05	10.81049573
0.000065989	12.11833027
6.60092E-05	13.09320233
6.60269E-05	14.06227942
6.60424E-05	15.00909752
6.60696E-05	16.9114357
6.60899E-05	18.56510318
6.61052E-05	19.94515003
6.61281E-05	22.26090449
0.000066151	24.89308006
0.000066163	26.40498511
6.61925E-05	30.53107204
6.62099E-05	33.26583577
6.62521E-05	40.78764077
6.62766E-05	45.76645221
6.63184E-05	55.22487968
6.63749E-05	69.70452459
6.64907E-05	101.948357
6.65578E-05	118.5189044
0.000066598	126.3528215
0.000066613	128.7319023
6.66565E-05	133.7085371
0.0000667	135.5549616
6.67435E-05	134.1315875
0.000066787	129.5595292
0.000066825	123.2719753
0.000066863	115.2222453
6.69142E-05	102.3826132
6.70149E-05	74.7228904
6.70689E-05	60.72504401
6.71204E-05	48.92895716
6.71461E-05	43.71354962
6.71799E-05	37.59818559
6.72025E-05	33.9831646
0.000067225	30.72518012
6.72465E-05	27.93758331
0.000067268	25.44509979
6.73027E-05	21.9931497
6.73306E-05	19.67926948
6.73567E-05	17.83261193
6.73812E-05	16.34966125
6.74042E-05	15.14904392
6.74258E-05	14.16879776
6.74474E-05	13.31070307
6.74662E-05	12.6473288
6.74851E-05	12.05541986
6.75182E-05	11.16515029
6.75471E-05	10.51147393
6.75724E-05	10.01754639
6.76168E-05	9.292597292
6.76501E-05	8.84164744
0.000067675	8.545556642
6.77125E-05	8.158091406
0.00006775	7.82811662
0.000067795	7.495953592
0.00006784	7.221662946
0.000067886	6.991319279
0.000067932	6.802310973
6.79926E-05	6.603264848
6.80532E-05	6.446742555
6.80987E-05	6.349687713
6.81442E-05	6.265960587
6.82126E-05	6.159994602
6.82639E-05	6.093964182
6.83152E-05	6.03929759
6.83666E-05	5.996666637
0.000068418	5.967218629
0.000068466	5.952436113
6.85371E-05	5.95367091
6.85906E-05	5.971969956
0.000068644	6.003135461
0.000068751	6.090009419
0.000068855	6.171444564
0.000068911	6.197076717
6.89555E-05	6.202314164
0.000069	6.191636092
6.90445E-05	6.164088952
0.000069089	6.120159999
0.000069129	6.068236905
0.000069159	6.022833369
0.000069249	5.864995667
6.93075E-05	5.756372918
6.93912E-05	5.609971463
6.94182E-05	5.567374431
6.94586E-05	5.50866045
0.000069499	5.456599557
0.000069534	5.416949728
6.96006E-05	5.354530193
6.96671E-05	5.30658907
6.97172E-05	5.277879748
6.97672E-05	5.253767734
6.98673E-05	5.214601248
6.99676E-05	5.182639068
0.000070068	5.155620136
0.000070199	5.126758816
7.04327E-05	5.087957567
7.06664E-05	5.055204235
0.000071137	4.995004584
0.000071493	4.958745911
0.000071849	4.926376742
0.000072327	4.889476353
0.000072561	4.87446882
7.54074E-05	4.730499772
0.000075814	4.711031786
7.62628E-05	4.693226696
7.67117E-05	4.676573916
7.73919E-05	4.653140537
7.84236E-05	4.6214694
7.89463E-05	4.607635897
0.000079469	4.594980282
0.000079562	4.59324564
7.99351E-05	4.588683527
0.00008031	4.5876057
0.000080593	4.590353625
8.08247E-05	4.5959077
0.000081057	4.605704456
8.12558E-05	4.619108802
0.000081455	4.639108863
8.16354E-05	4.664449738
8.19068E-05	4.717774313
8.20429E-05	4.75788367
8.21109E-05	4.786325293
0.000082179	4.824974549
8.22475E-05	4.879912679
0.000082316	4.959388572
0.000082365	5.037967524
0.000082414	5.141600325
8.24546E-05	5.252133114
8.24901E-05	5.372287329
8.25211E-05	5.499269105
8.25522E-05	5.65047697
8.25989E-05	5.932109392
8.26339E-05	6.194620075
8.26602E-05	6.424993364
8.26864E-05	6.687151934
8.27127E-05	6.983885228
0.000082739	7.317609501
8.27752E-05	7.840174763
8.28069E-05	8.362788254
0.000082861	9.387399762
8.29194E-05	10.6679269
8.30762E-05	14.54590727
8.31479E-05	16.1354064
0.000083191	16.90079074
0.000083207	17.13774471
8.32535E-05	17.65855258
0.0000833	17.90739521
8.33465E-05	17.87339512
0.000083393	17.56771627
8.34352E-05	17.08125939
8.34669E-05	16.60765798
0.000083562	14.82939544
8.36636E-05	12.82620427
0.000083697	12.24782358
0.000083738	11.63688043
8.37687E-05	11.26635189
8.37995E-05	10.98372976
8.38302E-05	10.80007205
0.000083861	10.7268976
8.38878E-05	10.76253256
8.39145E-05	10.89991185
8.39413E-05	11.14933543
0.000083968	11.52272343
0.000084	12.15152938
0.000084032	13.00533466
0.000084064	14.11760032
0.000084096	15.52564314
8.41157E-05	16.55918274
8.41503E-05	18.71136692
0.000084175	20.54515431
8.41956E-05	22.2893238
8.42248E-05	25.10403021
0.000084267	29.97198365
8.43031E-05	34.95377578
8.43343E-05	39.92634827
8.43775E-05	47.81649999
0.000084421	57.00804132
8.44542E-05	64.81182595
0.000084497	75.74279862
8.45703E-05	96.17490575
8.46653E-05	123.2117414
8.47207E-05	137.3903991
8.47564E-05	145.2209822
0.000084792	151.7016889
0.000084846	158.4168924
0.0000849	160.8907875
0.000084954	158.9052111
0.000085008	152.656409
8.50395E-05	147.2630021
0.000085071	140.771867
0.000085134	125.2772059
8.52852E-05	83.20745144
0.000085333	70.84891294
8.53824E-05	59.34437216
8.54203E-05	51.55147934
8.54549E-05	45.23421662
8.54831E-05	40.68801827
8.55212E-05	35.3510493
0.000085544	32.57999067
8.55705E-05	29.75028244
0.000085597	27.30987297
0.000085627	24.98474231
0.000085657	23.08551169
0.000085687	21.57193997
0.000085717	20.40700197
8.57458E-05	19.58185506
8.57747E-05	19.0139464
0.000085818	18.58239647
8.58613E-05	18.57700873
8.59047E-05	18.9155178
0.000085948	19.51997034
0.000086028	21.07585241
8.61458E-05	23.52238924
0.000086203	24.38927191
0.0000863	24.90443518
8.63495E-05	24.61864073
0.000086399	23.9638802
8.64747E-05	22.3522892
8.65233E-05	21.02721321
8.67006E-05	15.66305339
8.67932E-05	13.2630052
8.68493E-05	12.08763293
0.000086883	11.4914949
8.69217E-05	10.90623734
8.69605E-05	10.42279038
8.69992E-05	10.03374633
0.000087038	9.730364285
8.70755E-05	9.509372076
0.000087113	9.35060914
8.71571E-05	9.231923467
8.72013E-05	9.174863782
8.72895E-05	9.204317658
8.73778E-05	9.376652082
0.000087484	9.728136164
8.75965E-05	10.25113762
8.77092E-05	10.93410039
8.77656E-05	11.34538685
8.78503E-05	12.07285976
0.000087935	12.96913775
0.000088	13.80574528
8.80861E-05	15.17535114
8.81508E-05	16.45828211
8.82478E-05	18.95776738
8.82964E-05	20.55950355
0.000088345	22.47601979
8.83808E-05	24.13816118
8.84167E-05	26.05986751
8.84705E-05	29.54151905
8.84906E-05	31.06999898
0.000088526	34.09856948
8.85512E-05	36.5754636
0.000088579	39.64902051
8.86055E-05	42.97126797
0.000088632	46.72399508
8.86647E-05	52.02750692
8.87139E-05	61.62098253
0.000088763	73.57520481
0.0000888	84.41686878
8.88492E-05	101.6949014
8.88715E-05	110.7418723
8.89121E-05	129.3161648
8.89489E-05	148.767674
8.89811E-05	167.9574036
8.90093E-05	186.5003989
8.90556E-05	220.5537332
8.91076E-05	264.1793261
0.000089179	332.4873789
8.93194E-05	482.6703091
8.93754E-05	540.6100798
0.000089409	572.4495621
0.000089467	619.305741
8.95335E-05	656.1768899
0.0000896	671.025597
8.96665E-05	662.1626574
0.000089733	630.8164473
0.000089763	610.2964553
8.98351E-05	548.3099767
8.99342E-05	446.234023
8.99996E-05	376.795674
9.00611E-05	314.916739
9.01333E-05	250.0002377
