E(MeV)	Y-89-nat			
2.59870E-03	243.423			
2.59883E-03	235.36			
2.59885E-03	233.921			
2.59897E-03	224.412			
2.59899E-03	222.792			
2.59912E-03	212.141			
2.59919E-03	205.964			
2.59932E-03	194.436			
2.59963E-03	164.944			
2.59978E-03	151.212			
2.59981E-03	148.483			
2.59989E-03	141.547			
2.59998E-03	133.369			
2.60001E-03	131.332			
2.60012E-03	122.442			
2.60013E-03	121.24			
2.60021E-03	114.806			
2.60025E-03	112.462			
2.60031E-03	107.606			
2.60037E-03	103.757			
2.60041E-03	100.822			
2.60049E-03	95.7401			
2.60052E-03	93.7245			
2.60061E-03	88.411			
2.60061E-03	88.2076			
2.60071E-03	83.1767			
2.60073E-03	81.7828			
2.60080E-03	78.5139			
2.60085E-03	75.8208			
2.60089E-03	74.184			
2.60096E-03	71.0065			
2.60098E-03	70.2174			
2.60107E-03	66.6794			
2.60108E-03	66.587			
2.60117E-03	63.3255			
2.60118E-03	62.8164			
2.60126E-03	60.367			
2.60129E-03	59.3793			
2.60135E-03	57.6844			
2.60140E-03	56.3335			
2.60144E-03	55.2598			
2.60151E-03	53.6483			
2.60155E-03	52.8105			
2.60162E-03	51.2901			
2.60165E-03	50.6505			
2.60173E-03	49.2297			
2.60176E-03	48.7539			
2.60184E-03	47.438			
2.60186E-03	47.0966			
2.60195E-03	45.8905			
2.60198E-03	45.4884			
2.60209E-03	44.1619			
2.60210E-03	44.0975			
2.60222E-03	42.9615			
2.60224E-03	42.7765			
2.60234E-03	42.0256			
2.60239E-03	41.6848			
2.60246E-03	41.2606			
2.60253E-03	40.8506			
2.60258E-03	40.6525			
2.60268E-03	40.2462			
2.60270E-03	40.1891			
2.60281E-03	39.8677			
2.60282E-03	39.8512			
2.60297E-03	39.6516			
2.60299E-03	39.6425			
2.60311E-03	39.6335			
2.60317E-03	39.6814			
2.60323E-03	39.7415			
2.60335E-03	39.9722			
2.60335E-03	39.9816			
2.60347E-03	40.3359			
2.60352E-03	40.5177			
2.60359E-03	40.8007			
2.60369E-03	41.2927			
2.60371E-03	41.3698			
2.60382E-03	42.0843			
2.60386E-03	42.3298			
2.60394E-03	42.9191			
2.60403E-03	43.6448			
2.60406E-03	43.8693			
2.60417E-03	44.9835			
2.60420E-03	45.272			
2.60429E-03	46.2726			
2.60437E-03	47.2487			
2.60441E-03	47.702			
2.60450E-03	48.9876			
2.60452E-03	49.3371			
2.60462E-03	50.8537			
2.60464E-03	51.1906			
2.60477E-03	53.5368			
2.60477E-03	53.6266			
2.60488E-03	55.7548			
2.60489E-03	56.0093			
2.60499E-03	58.2218			
2.60501E-03	58.6772			
2.60510E-03	60.9605			
2.60512E-03	61.6584			
2.60521E-03	64.0105			
2.60526E-03	65.5766			
2.60533E-03	67.7677			
2.60540E-03	70.3384			
2.60542E-03	71.0343			
2.60550E-03	73.882			
2.60552E-03	74.6397			
2.60560E-03	77.7392			
2.60562E-03	78.5633			
2.60570E-03	81.9309			
2.60571E-03	82.8245			
2.60579E-03	86.4757			
2.60581E-03	87.4434			
2.60589E-03	91.3933			
2.60591E-03	92.4377			
2.60599E-03	96.7002			
2.60601E-03	97.8408			
2.60610E-03	103.651			
2.60613E-03	105.429			
2.60620E-03	109.9			
2.60628E-03	115.104			
2.60630E-03	116.5			
2.60639E-03	123.599			
2.60642E-03	125.772			
2.60654E-03	135.041			
2.60657E-03	137.41			
2.60668E-03	147.445			
2.60671E-03	150.002			
2.60683E-03	160.76			
2.60686E-03	163.494			
2.60697E-03	174.972			
2.60705E-03	182.738			
2.60717E-03	194.913			
2.60729E-03	208.274			
2.60770E-03	252.167			
2.60778E-03	260.434			
2.60790E-03	272.225			
2.60797E-03	279.909			
2.60809E-03	290.596			
2.60817E-03	297.501			
2.60823E-03	302.901			
2.60834E-03	311.062			
2.60838E-03	313.624			
2.60850E-03	320.928			
2.60851E-03	321.438			
2.60862E-03	327.159			
2.60863E-03	327.532			
2.60877E-03	332.21			
2.60878E-03	332.427			
2.60891E-03	334.739			
2.60891E-03	334.851			
2.60900E-03	335.242			
2.60900E-03	335.231			
2.60914E-03	333.955			
2.60915E-03	333.76			
2.60928E-03	330.297			
2.60929E-03	329.997			
2.60939E-03	326.048			
2.60944E-03	323.636			
2.60952E-03	318.912			
2.60959E-03	314.578			
2.60966E-03	309.986			
2.60974E-03	304.047			
2.60980E-03	298.636			
2.60988E-03	291.845			
2.60995E-03	285.727			
2.61003E-03	278.186			
2.61014E-03	266.609			
2.61022E-03	258.406			
2.61043E-03	235.442			
2.61061E-03	216.358			
2.61082E-03	193.087			
2.61090E-03	184.904			
2.61102E-03	172.817			
2.61109E-03	165.065			
2.61116E-03	158.391			
2.61124E-03	151.083			
2.61131E-03	144.797			
2.61138E-03	137.965			
2.61145E-03	132.105			
2.61153E-03	125.779			
2.61160E-03	120.366			
2.61167E-03	114.559			
2.61174E-03	109.58			
2.61177E-03	107.587			
2.61187E-03	101.061			
2.61189E-03	99.7777			
2.61197E-03	94.9531			
2.61199E-03	93.7691			
2.61206E-03	89.2683			
2.61208E-03	88.1647			
2.61216E-03	83.9763			
2.61218E-03	82.9498			
2.61226E-03	79.0606			
2.61228E-03	78.1072			
2.61235E-03	74.5018			
2.61237E-03	73.6188			
2.61245E-03	70.281			
2.61247E-03	69.4639			
2.61255E-03	66.3781			
2.61257E-03	65.6229			
2.61264E-03	62.7731			
2.61266E-03	62.0753			
2.61274E-03	59.5538			
2.61280E-03	57.6425			
2.61283E-03	56.5329			
2.61291E-03	54.3606			
2.61293E-03	53.7508			
2.61302E-03	51.363			
2.61302E-03	51.1769			
2.61312E-03	48.6334			
2.61315E-03	48.0722			
2.61325E-03	45.8299			
2.61327E-03	45.3478			
2.61335E-03	43.7761			
2.61341E-03	42.526			
2.61345E-03	41.8613			
2.61355E-03	40.0831			
2.61355E-03	40.0829			
2.61364E-03	38.4732			
2.61368E-03	37.8988			
2.61379E-03	36.2506			
2.61382E-03	35.9237			
2.61394E-03	34.2642			
2.61395E-03	34.1397			
2.61406E-03	32.8463			
2.61409E-03	32.5283			
2.61418E-03	31.5572			
2.61429E-03	30.3836			
2.61434E-03	29.9605			
2.61449E-03	28.5724			
2.61449E-03	28.5215			
2.61465E-03	27.2373			
2.61467E-03	27.0928			
2.61481E-03	26.0738			
2.61485E-03	25.7712			
2.61497E-03	25.0126			
2.61503E-03	24.584			
2.61512E-03	24.0484			
2.61528E-03	23.1779			
2.61530E-03	23.0511			
2.61549E-03	22.0648			
2.61552E-03	21.9447			
2.61569E-03	21.177			
2.61576E-03	20.8561			
2.61588E-03	20.3657			
2.61600E-03	19.887			
2.61607E-03	19.6225			
2.61624E-03	19.0197			
2.61627E-03	18.9414			
2.61646E-03	18.3302			
2.61661E-03	17.8817			
2.61666E-03	17.7477			
2.61687E-03	17.1587			
2.61697E-03	16.903			
2.61712E-03	16.5575			
2.61733E-03	16.0518			
2.61736E-03	16.0008			
2.61760E-03	15.5034			
2.61770E-03	15.3088			
2.61784E-03	15.0429			
2.61806E-03	14.6528			
2.61809E-03	14.6133			
2.61833E-03	14.227			
2.61847E-03	13.9998			
2.61857E-03	13.8635			
2.61884E-03	13.4965			
2.61898E-03	13.3005			
2.61913E-03	13.1249			
2.61942E-03	12.7816			
2.61949E-03	12.6975			
2.61971E-03	12.4702			
2.62000E-03	12.1732			
2.62000E-03	12.1732			
2.62029E-03	11.9131			
2.62068E-03	11.5744			
2.62073E-03	11.5366			
2.62102E-03	11.315			
2.62127E-03	11.1294			
2.62139E-03	11.0443			
2.62177E-03	10.7988			
2.62201E-03	10.6436			
2.62214E-03	10.5677			
2.62252E-03	10.3582			
2.62276E-03	10.2289			
2.62290E-03	10.1606			
2.62327E-03	9.97989			
2.62350E-03	9.87106			
2.62365E-03	9.81007			
2.62402E-03	9.65531			
2.62449E-03	9.46419			
2.62451E-03	9.4599			
2.62499E-03	9.29211			
2.62548E-03	9.12756			
2.62560E-03	9.08714			
2.62596E-03	8.9816			
2.62645E-03	8.84345			
2.62681E-03	8.74155			
2.62693E-03	8.71184			
2.62741E-03	8.59503			
2.62790E-03	8.48007			
2.62802E-03	8.45179			
2.62850E-03	8.35477			
2.62911E-03	8.23577			
2.62972E-03	8.11879			
2.62984E-03	8.09575			
2.63032E-03	8.01803			
2.63093E-03	7.92248			
2.63153E-03	7.82835			
2.63165E-03	7.80978			
2.63214E-03	7.74619			
2.63274E-03	7.66786			
2.63347E-03	7.57527			
2.63353E-03	7.5687			
2.63432E-03	7.48484			
2.63511E-03	7.40234			
2.63583E-03	7.32728			
2.63589E-03	7.32198			
2.63668E-03	7.25403			
2.63747E-03	7.18701			
2.63814E-03	7.13102			
2.63826E-03	7.12253			
2.63904E-03	7.06808			
2.64001E-03	7.00199			
2.64098E-03	6.93682			
2.64159E-03	6.89659			
2.64195E-03	6.87624			
2.64292E-03	6.82266			
2.64389E-03	6.76973			
2.64389E-03	6.76973			
2.64486E-03	6.72574			
2.64583E-03	6.68226			
2.64680E-03	6.63925			
2.64789E-03	6.59135			
2.64825E-03	6.57554			
2.64898E-03	6.54989			
2.65007E-03	6.51184			
2.65170E-03	6.45545			
2.65261E-03	6.42454			
2.65334E-03	6.4044			
2.65497E-03	6.35971			
2.65673E-03	6.31232			
2.65794E-03	6.28002			
2.65855E-03	6.26686			
2.66037E-03	6.22789			
2.66218E-03	6.18936			
2.66327E-03	6.16647			
2.66400E-03	6.15453			
2.66582E-03	6.12502			
2.66763E-03	6.09581			
2.66945E-03	6.06685			
2.67127E-03	6.03812			
2.67297E-03	6.01149			
2.67309E-03	6.01006			
2.67490E-03	5.98877			
2.67733E-03	5.96063			
2.67975E-03	5.93274			
2.68217E-03	5.90507			
2.68266E-03	5.89957			
2.68460E-03	5.88328			
2.68702E-03	5.86308			
2.68944E-03	5.84302			
2.69186E-03	5.8231			
2.69429E-03	5.80329			
2.69671E-03	5.78359			
2.69719E-03	5.77966			
2.69913E-03	5.76874			
2.70156E-03	5.75517			
2.70398E-03	5.74167			
2.70664E-03	5.7269			
2.70931E-03	5.7122			
2.71331E-03	5.69028			
2.71609E-03	5.67507			
2.71755E-03	5.66717			
2.71900E-03	5.66187			
2.72336E-03	5.64608			
2.72760E-03	5.63082			
2.73160E-03	5.61652			
2.73560E-03	5.60229			
2.73984E-03	5.58725			
2.74420E-03	5.57185			
2.74468E-03	5.57014			
2.74856E-03	5.56137			
2.75292E-03	5.55155			
2.75728E-03	5.54177			
2.76019E-03	5.53527			
2.76573E-03	5.52293			
2.77127E-03	5.51064			
2.77681E-03	5.49839			
2.78235E-03	5.48618			
2.78419E-03	5.48212			
2.78788E-03	5.47714			
2.79342E-03	5.46968			
2.79896E-03	5.46226			
2.80450E-03	5.45485			
2.81189E-03	5.44501			
2.81927E-03	5.4352			
2.82666E-03	5.42542			
2.83404E-03	5.41566			
2.84143E-03	5.40592			
2.84881E-03	5.40029			
2.85620E-03	5.39467			
2.86358E-03	5.38906			
2.87097E-03	5.38347			
2.87835E-03	5.37789			
2.88574E-03	5.37232			
2.89312E-03	5.36676			
2.90051E-03	5.36121			
2.91159E-03	5.35289			
2.92266E-03	5.34459			
2.93374E-03	5.3363			
2.93744E-03	5.33354			
2.94482E-03	5.33052			
2.95590E-03	5.326			
2.96698E-03	5.32148			
2.97805E-03	5.31698			
2.98913E-03	5.31248			
2.99652E-03	5.30948			
3.01129E-03	5.3035			
3.02606E-03	5.29752			
