E(MeV)	pendfb7/Kr83:1
2.67992E-06	23.4198967
2.71773E-06	23.2428806
2.75554E-06	23.0677881
2.87326E-06	22.5479267
2.99543E-06	22.0382332
3.12341E-06	21.5338381
3.16686E-06	21.370941
3.21154E-06	21.2056837
3.34810E-06	20.7231127
3.49114E-06	20.2451782
3.63958E-06	19.776696
3.69093E-06	19.6236004
3.79508E-06	19.3183051
3.95645E-06	18.8716915
4.12548E-06	18.4299869
4.30090E-06	17.9972179
4.48464E-06	17.5781701
4.67534E-06	17.1677505
4.87508E-06	16.7620813
5.01264E-06	16.4982861
5.08237E-06	16.3679204
5.29951E-06	15.9852019
5.52485E-06	15.6106188
5.76088E-06	15.2423222
5.84103E-06	15.1235905
6.00584E-06	14.8868805
6.26243E-06	14.5394816
6.52871E-06	14.1995632
6.80764E-06	13.863722
7.09711E-06	13.5467646
7.40032E-06	13.2338981
7.71499E-06	12.9278587
7.93268E-06	12.728356
8.04459E-06	12.6300533
8.38666E-06	12.3475204
8.74496E-06	12.0686943
9.11680E-06	11.7963088
9.37405E-06	11.6189724
9.50630E-06	11.5323327
9.91052E-06	11.2841178
1.04777E-05	10.9604179
1.09253E-05	10.7228869
1.13899E-05	10.4945527
1.15506E-05	10.4189644
1.20417E-05	10.2064519
1.25562E-05	9.9993841
1.30901E-05	9.80046589
1.36493E-05	9.60955209
1.42297E-05	9.4287778
1.49561E-05	9.22818602
1.58120E-05	9.03131245
1.62582E-05	8.94576883
1.63538E-05	8.9303062
1.67169E-05	8.86327645
1.71886E-05	8.79294388
1.76736E-05	8.7398821
1.77776E-05	8.73271549
1.80477E-05	8.70571229
1.84287E-05	8.68291715
1.88169E-05	8.6773602
1.90601E-05	8.68784448
1.92123E-05	8.68901609
1.94834E-05	8.7052701
1.97544E-05	8.73494915
1.98706E-05	8.75424539
2.00331E-05	8.77509131
2.03118E-05	8.82899773
2.05984E-05	8.9061081
2.07195E-05	8.9494135
2.08850E-05	9.00182686
2.11059E-05	9.09167801
2.13041E-05	9.19001386
2.13269E-05	9.20041188
2.15500E-05	9.32442727
2.17772E-05	9.47606359
2.19053E-05	9.57979384
2.20044E-05	9.65532195
2.22359E-05	9.86869697
2.24696E-05	10.1280471
2.25234E-05	10.1975201
2.26253E-05	10.3244458
2.27833E-05	10.5473835
2.29434E-05	10.803867
2.29978E-05	10.9026669
2.31036E-05	11.0906056
2.32637E-05	11.4143898
2.34261E-05	11.7885023
2.34811E-05	11.9330099
2.35908E-05	12.218014
2.37555E-05	12.7083813
2.38790E-05	13.1233642
2.40025E-05	13.5843601
2.41295E-05	14.112519
2.42565E-05	14.7029403
2.43835E-05	15.3640534
2.45104E-05	16.1051327
2.45694E-05	16.4920374
2.46374E-05	16.942473
2.47587E-05	17.8467126
2.48249E-05	18.4026307
2.48770E-05	18.844291
2.49798E-05	19.8244951
2.49954E-05	19.9743287
2.51137E-05	21.2600779
2.51347E-05	21.5132499
2.51926E-05	22.2171599
2.52509E-05	22.9889069
2.52715E-05	23.2641202
2.53444E-05	24.3217773
2.53671E-05	24.6859196
2.54446E-05	25.9362756
2.55197E-05	27.3081443
2.55448E-05	27.7691407
2.55949E-05	28.7864428
2.56116E-05	29.1284811
2.56701E-05	30.4264683
2.56784E-05	30.6136411
2.57452E-05	32.2397771
2.58120E-05	34.0267338
2.58204E-05	34.269272
2.58721E-05	35.7862556
2.58767E-05	35.934059
2.59331E-05	37.7623749
2.59523E-05	38.3909925
2.59895E-05	39.748374
2.60325E-05	41.3338292
2.60458E-05	41.8751358
2.60859E-05	43.5127795
2.60893E-05	43.6603051
2.61327E-05	45.5927714
2.61394E-05	45.8925857
2.61761E-05	47.6774101
2.61928E-05	48.495723
2.62195E-05	49.9157285
2.62463E-05	51.3483579
2.62630E-05	52.3282634
2.63064E-05	54.899111
2.63080E-05	54.9989962
2.63498E-05	57.7346599
2.63607E-05	58.4533151
2.63932E-05	60.8047328
2.64133E-05	62.2652879
2.64266E-05	63.3302814
2.64600E-05	66.0145947
2.64659E-05	66.4885705
2.64934E-05	68.9382275
2.65185E-05	71.1851967
2.65268E-05	72.0084109
2.65602E-05	75.3308575
2.65703E-05	76.3374482
2.65936E-05	78.9194905
2.66204E-05	81.8996565
2.66270E-05	82.720352
2.66604E-05	86.8646075
2.66705E-05	88.1201219
2.66872E-05	90.4316915
2.67139E-05	94.1621731
2.67206E-05	95.1035563
2.67406E-05	98.1783946
2.67540E-05	100.247556
2.67673E-05	102.46773
2.67874E-05	105.829825
2.67941E-05	107.034644
2.68208E-05	111.900756
2.68475E-05	117.266653
2.68659E-05	120.995093
2.68742E-05	122.841658
2.68959E-05	127.690988
2.68976E-05	128.09151
2.69210E-05	133.752316
2.69260E-05	134.977942
2.69444E-05	139.809726
2.69561E-05	142.916829
2.69678E-05	146.264838
2.69861E-05	151.582112
2.69911E-05	153.14838
2.70145E-05	160.536586
2.70162E-05	161.070589
2.70379E-05	168.580367
2.70462E-05	171.503504
2.70613E-05	177.177381
2.70721E-05	181.330425
2.70888E-05	188.26328
2.71047E-05	194.930628
2.71072E-05	196.087477
2.71256E-05	204.654222
2.71373E-05	210.164002
2.71439E-05	213.635233
2.71623E-05	223.281602
2.71698E-05	227.27301
2.71807E-05	233.540638
2.71915E-05	239.88023
2.71991E-05	244.584623
2.72133E-05	253.572221
2.72166E-05	255.843727
2.72333E-05	267.326934
2.72350E-05	268.488742
2.72500E-05	279.803129
2.72600E-05	287.4354
2.72667E-05	292.989709
2.72834E-05	307.040031
2.72851E-05	308.463264
2.73001E-05	322.4824
2.73101E-05	331.949915
2.73168E-05	338.885301
2.73335E-05	356.449077
2.73352E-05	358.229899
2.73494E-05	374.632561
2.73519E-05	377.565914
2.73644E-05	393.242628
2.73686E-05	398.53805
2.73794E-05	413.282419
2.73853E-05	421.330311
2.73945E-05	434.900636
2.74020E-05	446.159464
2.74095E-05	458.26554
2.74187E-05	473.274476
2.74245E-05	483.566397
2.74354E-05	502.961563
2.74396E-05	511.017637
2.74521E-05	535.550053
2.74546E-05	540.860706
2.74688E-05	571.405049
2.74822E-05	603.039647
2.74855E-05	611.069159
2.74955E-05	637.232251
2.75022E-05	654.943186
2.75089E-05	674.139357
2.75172E-05	698.508901
2.75222E-05	714.318441
2.75323E-05	746.438133
2.75356E-05	758.032613
2.75473E-05	799.263644
2.75490E-05	805.650915
2.75623E-05	857.577784
2.75748E-05	911.265269
2.75774E-05	922.175254
2.75865E-05	965.59245
2.75924E-05	993.646765
2.75982E-05	1024.12047
2.76074E-05	1072.73681
2.76099E-05	1087.14547
2.76216E-05	1155.39621
2.76224E-05	1160.34987
2.76333E-05	1229.59774
2.76341E-05	1235.00956
2.76450E-05	1309.96008
2.76458E-05	1315.81724
2.76567E-05	1396.88509
2.76575E-05	1403.2141
2.76671E-05	1480.64336
2.76692E-05	1497.74796
2.76809E-05	1599.53879
2.76926E-05	1709.51704
2.76947E-05	1730.34276
2.77043E-05	1827.75974
2.77085E-05	1873.03778
2.77201E-05	2001.90042
2.77222E-05	2026.47122
2.77327E-05	2151.26532
2.77360E-05	2193.45345
2.77452E-05	2311.15351
2.77485E-05	2356.22608
2.77577E-05	2481.80534
2.77611E-05	2530.10077
2.77736E-05	2713.44091
2.77744E-05	2725.83363
2.77903E-05	2975.11434
2.77911E-05	2988.39656
2.78028E-05	3183.82582
2.78078E-05	3268.45091
2.78179E-05	3446.33022
2.78329E-05	3716.26039
2.78404E-05	3857.37276
2.79097E-05	5175.80049
2.79164E-05	5296.29877
2.79303E-05	5543.86425
2.79364E-05	5646.36121
2.79508E-05	5880.59678
2.79565E-05	5965.24104
2.79645E-05	6082.22463
2.79698E-05	6151.94911
