MeV	Ni-nat
5.52417E-03	20.9862
5.52427E-03	20.9937
5.52438E-03	21.002
5.52448E-03	21.0111
5.52458E-03	21.0212
5.52468E-03	21.0321
5.52479E-03	21.0441
5.52489E-03	21.057
5.52499E-03	21.0711
5.52509E-03	21.0864
5.52520E-03	21.1029
5.52530E-03	21.1206
5.52540E-03	21.1397
5.52551E-03	21.1601
5.52561E-03	21.1819
5.52571E-03	21.2051
5.52583E-03	21.2371
5.52596E-03	21.2712
5.52608E-03	21.3075
5.52620E-03	21.346
5.52633E-03	21.3866
5.52651E-03	21.4515
5.52670E-03	21.5209
5.52688E-03	21.5945
5.52707E-03	21.6718
5.52734E-03	21.7933
5.52807E-03	22.1253
5.52838E-03	22.2589
5.52863E-03	22.3575
5.52885E-03	22.437
5.52909E-03	22.5102
5.52914E-03	22.5245
5.52928E-03	22.5551
5.52945E-03	22.586
5.52960E-03	22.6058
5.52979E-03	22.62
5.52999E-03	22.6229
5.53000E-03	22.6227
5.53020E-03	22.6117
5.53038E-03	22.5909
5.53055E-03	22.5612
5.53074E-03	22.5203
5.53092E-03	22.4701
5.53109E-03	22.4137
5.53129E-03	22.3408
5.53151E-03	22.255
5.53179E-03	22.1315
5.53220E-03	21.941
5.53270E-03	21.7042
5.53294E-03	21.5975
5.53318E-03	21.4926
5.53334E-03	21.4253
5.53351E-03	21.3614
5.53367E-03	21.3011
5.53384E-03	21.2446
5.53397E-03	21.201
5.53409E-03	21.1644
5.53422E-03	21.1299
5.53434E-03	21.0973
5.53446E-03	21.0668
5.53458E-03	21.0382
5.53470E-03	21.0115
5.53482E-03	20.9866
5.53494E-03	20.9634
5.53506E-03	20.9419
5.53518E-03	20.9219
5.53529E-03	20.9053
5.53540E-03	20.8898
5.53550E-03	20.8753
5.53561E-03	20.8619
5.53572E-03	20.8493
5.53583E-03	20.8377
5.53594E-03	20.8268
5.53604E-03	20.8166
5.53615E-03	20.8072
5.53626E-03	20.7984
5.53637E-03	20.7901
5.53648E-03	20.7824
5.53658E-03	20.7752
5.53669E-03	20.7685
5.53680E-03	20.7621
5.53691E-03	20.7561
5.53705E-03	20.7485
5.53720E-03	20.7415
5.53722E-03	20.7406
5.53735E-03	20.7361
5.53750E-03	20.7314
5.53764E-03	20.7271
5.53779E-03	20.723
5.53794E-03	20.7193
5.53809E-03	20.7157
5.53828E-03	20.7113
5.53848E-03	20.7072
5.53867E-03	20.7034
5.53887E-03	20.6997
5.53916E-03	20.6945
5.53946E-03	20.6895
5.53966E-03	20.6864
5.54005E-03	20.6802
5.54052E-03	20.6732
5.54099E-03	20.6664
5.54130E-03	20.662
5.54193E-03	20.6534
5.54256E-03	20.6449
5.54319E-03	20.6366
5.54413E-03	20.6244
5.54507E-03	20.6123
5.54625E-03	20.5975
5.54743E-03	20.5828
5.54900E-03	20.5634
5.55057E-03	20.5441
5.55308E-03	20.5135
5.55481E-03	20.4925
5.55826E-03	20.4507
5.56171E-03	20.4091
5.56781E-03	20.3359
5.57572E-03	20.2409
5.58626E-03	20.1145
5.60811E-03	19.8529
5.63723E-03	19.5042
5.65179E-03	19.3473
5.69548E-03	18.8767
5.72460E-03	18.563
5.75373E-03	18.2798
5.83876E-03	17.4529
5.92847E-03	16.6762
6.01584E-03	16.004
6.04496E-03	15.78
6.12660E-03	15.2216
6.15800E-03	15.0068
6.23986E-03	14.5133
6.29815E-03	14.162
6.36045E-03	13.829
6.42275E-03	13.4961
6.48505E-03	13.201
6.57850E-03	12.7585
6.62834E-03	12.5526
6.74808E-03	12.0581
6.79344E-03	11.8931
6.82022E-03	11.7957
6.83331E-03	11.7482
6.84203E-03	11.7166
6.84857E-03	11.6929
6.85511E-03	11.6694
6.85947E-03	11.6537
6.86274E-03	11.6421
6.86492E-03	11.6344
6.86711E-03	11.6268
6.86874E-03	11.6211
6.87038E-03	11.6156
6.87201E-03	11.6101
6.87333E-03	11.6058
6.87450E-03	11.6022
6.87528E-03	11.5998
6.87606E-03	11.5976
6.87684E-03	11.5955
6.87742E-03	11.594
6.87801E-03	11.5927
6.87840E-03	11.5919
6.87879E-03	11.5912
6.87918E-03	11.5907
6.87947E-03	11.5904
6.87976E-03	11.5902
6.88005E-03	11.5901
6.88034E-03	11.5903
6.88054E-03	11.5905
6.88073E-03	11.5909
6.88093E-03	11.5915
6.88112E-03	11.5922
6.88132E-03	11.5932
6.88146E-03	11.5942
6.88161E-03	11.5953
6.88175E-03	11.5966
6.88190E-03	11.5981
6.88203E-03	11.5997
6.88215E-03	11.6015
6.88228E-03	11.6036
6.88241E-03	11.6059
6.88253E-03	11.6085
6.88266E-03	11.6115
6.88279E-03	11.6149
6.88291E-03	11.6187
6.88304E-03	11.6229
6.88317E-03	11.6277
6.88329E-03	11.633
6.88342E-03	11.6389
6.88355E-03	11.6455
6.88367E-03	11.6527
6.88380E-03	11.6608
6.88393E-03	11.6696
6.88402E-03	11.677
6.88408E-03	11.6818
6.88412E-03	11.6853
6.88422E-03	11.6946
6.88432E-03	11.7046
6.88441E-03	11.7152
6.88456E-03	11.7323
6.88470E-03	11.7509
6.88485E-03	11.7712
6.88500E-03	11.7932
6.88514E-03	11.817
6.88529E-03	11.8426
6.88543E-03	11.8701
6.88561E-03	11.906
6.88574E-03	11.9338
6.88593E-03	11.9783
6.88613E-03	12.0261
6.88632E-03	12.077
6.88651E-03	12.1307
6.88679E-03	12.2135
6.88707E-03	12.3005
6.88793E-03	12.5747
6.88826E-03	12.6734
6.88851E-03	12.7434
6.88878E-03	12.8106
6.88902E-03	12.8608
6.88920E-03	12.8941
6.88944E-03	12.9272
6.88953E-03	12.9361
6.88961E-03	12.9436
6.88984E-03	12.9542
6.89000E-03	12.9552
6.89017E-03	12.9503
6.89036E-03	12.9387
6.89059E-03	12.9145
6.89082E-03	12.879
6.89106E-03	12.8334
6.89125E-03	12.7918
6.89146E-03	12.7367
6.89177E-03	12.6511
6.89212E-03	12.543
6.89299E-03	12.2599
6.89326E-03	12.1748
6.89348E-03	12.1098
6.89370E-03	12.048
6.89386E-03	12.0042
6.89402E-03	11.9635
6.89418E-03	11.9251
6.89434E-03	11.8889
6.89450E-03	11.8551
6.89466E-03	11.8235
6.89482E-03	11.7941
6.89494E-03	11.7736
6.89506E-03	11.7543
6.89519E-03	11.7348
6.89533E-03	11.7143
6.89548E-03	11.6954
6.89563E-03	11.6781
6.89572E-03	11.6673
6.89582E-03	11.6571
6.89592E-03	11.6476
6.89602E-03	11.6386
6.89611E-03	11.6301
6.89621E-03	11.6221
6.89631E-03	11.6146
