MeV	"TL-205(N,TOT)"
1.44215E-03	8.98295
1.44223E-03	8.98334
1.44230E-03	8.98366
1.44236E-03	8.98402
1.44242E-03	8.98442
1.44248E-03	8.98486
1.44254E-03	8.98537
1.44261E-03	8.98594
1.44265E-03	8.98637
1.44270E-03	8.98703
1.44275E-03	8.98768
1.44280E-03	8.98841
1.44285E-03	8.98924
1.44290E-03	8.99018
1.44294E-03	8.99088
1.44297E-03	8.99164
1.44300E-03	8.99247
1.44303E-03	8.99338
1.44307E-03	8.99437
1.44310E-03	8.99546
1.44313E-03	8.99665
1.44317E-03	8.99795
1.44320E-03	8.99938
1.44323E-03	9.00069
1.44326E-03	9.00244
1.44330E-03	9.00435
1.44333E-03	9.00645
1.44336E-03	9.00875
1.44340E-03	9.01126
1.44343E-03	9.01401
1.44347E-03	9.017
1.44350E-03	9.02027
1.44353E-03	9.02382
1.44357E-03	9.02767
1.44360E-03	9.03132
1.44364E-03	9.03622
1.44367E-03	9.04153
1.44371E-03	9.04729
1.44375E-03	9.05351
1.44378E-03	9.0602
1.44382E-03	9.06737
1.44386E-03	9.07504
1.44391E-03	9.08558
1.44395E-03	9.09591
1.44399E-03	9.10691
1.44401E-03	9.11135
1.44404E-03	9.11857
1.44409E-03	9.13507
1.44415E-03	9.1514
1.44423E-03	9.17662
1.44437E-03	9.2229
1.44446E-03	9.25587
1.44453E-03	9.27689
1.44460E-03	9.29655
1.44466E-03	9.31432
1.44473E-03	9.32971
1.44478E-03	9.33942
1.44480E-03	9.34314
1.44483E-03	9.34738
1.44488E-03	9.35344
1.44494E-03	9.35807
1.44500E-03	9.35972
1.44500E-03	9.35972
1.44506E-03	9.35817
1.44512E-03	9.35397
1.44517E-03	9.34812
1.44521E-03	9.34037
1.44526E-03	9.33086
1.44533E-03	9.3157
1.44540E-03	9.29811
1.44546E-03	9.2786
1.44556E-03	9.24685
1.44577E-03	9.17652
1.44584E-03	9.15436
1.44590E-03	9.13592
1.44596E-03	9.11934
1.44600E-03	9.10762
1.44605E-03	9.09654
1.44609E-03	9.08613
1.44614E-03	9.07506
1.44617E-03	9.06818
1.44621E-03	9.06169
1.44624E-03	9.05559
1.44627E-03	9.04986
1.44630E-03	9.04451
1.44634E-03	9.03951
1.44638E-03	9.0343
1.44641E-03	9.03027
1.44644E-03	9.02652
1.44647E-03	9.02303
1.44650E-03	9.01979
1.44653E-03	9.01679
1.44656E-03	9.01401
1.44659E-03	9.01144
1.44662E-03	9.00906
1.44665E-03	9.00687
1.44668E-03	9.00485
1.44671E-03	9.00323
1.44674E-03	9.00173
1.44678E-03	8.99966
1.44682E-03	8.9978
1.44686E-03	8.99614
1.44690E-03	8.99465
1.44694E-03	8.99332
1.44698E-03	8.99212
1.44702E-03	8.99104
1.44706E-03	8.99007
1.44710E-03	8.9892
1.44713E-03	8.98855
1.44717E-03	8.98786
1.44721E-03	8.98723
1.44725E-03	8.98666
1.44729E-03	8.98613
1.44734E-03	8.98542
1.44740E-03	8.98479
1.44746E-03	8.98423
1.44752E-03	8.98373
1.44757E-03	8.98328
1.44763E-03	8.98287
1.44769E-03	8.9825
1.44775E-03	8.98213
1.44783E-03	8.98171
1.44791E-03	8.98134
1.44798E-03	8.98101
1.44803E-03	8.9808
1.44814E-03	8.98042
1.44824E-03	8.98008
1.44834E-03	8.97977
1.44845E-03	8.9795
1.44855E-03	8.97924
1.44868E-03	8.97895
1.44881E-03	8.97869
1.44895E-03	8.97845
1.44908E-03	8.97823
1.44921E-03	8.97803
1.44934E-03	8.97784
1.44952E-03	8.97761
1.44969E-03	8.97741
1.44987E-03	8.97722
1.45008E-03	8.97701
1.45020E-03	8.97689
1.45045E-03	8.97668
1.45070E-03	8.97648
1.45095E-03	8.9763
1.45119E-03	8.97613
1.45144E-03	8.97598
1.45181E-03	8.97575
1.45214E-03	8.97557
1.45256E-03	8.97535
1.45297E-03	8.97515
1.45338E-03	8.97496
1.45380E-03	8.97477
1.45441E-03	8.97451
1.45503E-03	8.97425
1.45578E-03	8.97396
1.45658E-03	8.97365
1.45739E-03	8.97335
1.45846E-03	8.97296
1.45953E-03	8.97258
1.46077E-03	8.97215
1.46263E-03	8.97151
1.46449E-03	8.97088
1.46697E-03	8.97004
1.46944E-03	8.96922
1.47558E-03	8.96718
